#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
LDESC_ANTITANK;Anti-Tank weapons will increase the 'Hard Attack' capability of your units, making them more effective against Armoured and Mechanized units.;Des armes antichars augmentent la capacité d’attaque de vos unités sur cible blindée, causant ainsi plus de dégâts aux unités blindées et mécanisées.;Le armi anticarro aumentano la caratteristica Attacco pesante delle tue unità, infliggendo danni maggiori alle unità corazzate e meccanizzate.;Las armas anticarro aumentarán los atributos de 'ataque anticarro' de tus unidades e infligirán más daño a las unidades blindadas y mecanizadas.;Panzerabwehrwaffen erhöhen die 'Hard Attack'-Attribute Ihrer Einheiten wodurch diese gepanzerte und mechanisierte Einheiten stärker beschädigen können.;Broñ przeciwpancerna zwiêksza atrybuty 'ataku przeciw sile pancernej' jednostek, powoduj¹c wiêksze zniszczenia wœród jednostek pancernych i zmechanizowanych.;;;;;X
NAME_ANTITANK;Anti-tank Brigade;Brigade antichar;Brigata anticarro;Brigada anticarro;Panzerabwehrbrigade;Brygada przeciwpancerna;;;;;X
SDESC_ANTITANK;This division has an anti-tank brigade.;Cette division comporte une brigade antichar.;Questa divisione possiede una brigata anticarro.;Esta división tiene una brigada anticarro.;Diese Division verfügt über eine Panzerabwehr-Brigade.;Ta dywizja zawiera brygadê przeciwpancern¹.;;;;;X
SNAME_ANTITANK;AT;(AC);AC;ACa;PA;P-panc.;;;;;X
LDESC_SP_ROCKET_ARTILLERY;SP, or Self-Propelled, Rocket Artillery gives your armored and mechanized units added capability against soft units such as infantry. They are very effective against enemy infantry, and do not reduce the speed of your fast units like normal rocket artillery.;L’artillerie de missiles AM, ou automotorisée, donne à vos unités blindées et mécanisées des capacités supplémentaires contre les unités légères, comme l’infanterie. Elles sont particulièrement efficaces contre l’infanterie ennemie, et ne réduisent pas la vitesse de vos unités rapides comme c’est normalement le cas avec l’artillerie de missiles normale.;L’Artiglieria AP (a propulsione) o Artiglieria a propulsione lanciamissili conferisce alle tue unità corazzate e meccanizzate capacità aggiuntive contro le unità leggere come la fanteria. Sono molto efficaci contro la fanteria nemica, senza ridurre la velocità delle tue unità veloci come l’artiglieria lanciamissili normale.;La artillería lanzacohetes APr (o autopropulsada) proporciona a tus unidades blindadas y mecanizadas una capacidad adicional contra unidades blandas, como la infantería. Son muy eficaces contra la infantería enemiga y no reducen la velocidad de tus unidades rápidas como hace la artillería lanzacohetes normal.;Selbstangetriebene Raketenartillerie erhöht die 'Soft Attack'-Attribute Ihrer gepanzerten und mechanisierten Einheiten gegen Infanterie. Sie ist sehr wirksam gegen feindliche Infanterie und verlangsamt die Geschwindigkeit Ihrer Einheit nicht so sehr wie mit normaler Raketenartillerie.;S-b czyli samobie¿na artyleria rakietowa, zwiêksza zdolnoœci ataku jednostek pancernych i zmechanizowanych w atakach przeciwko sile ¿ywej. Jest ona bardzo efektywna przeciwko wrogiej piechocie, a jednoczeœnie nie ogranicza szybkoœci jednostek tak, jak normalna artyleria rakietowa.;;;;;X
NAME_SP_ROCKET_ARTILLERY;Self-Propelled Rocket Artillery;Lance-roquettes AM;Artiglieria lanciamissili a propulsione;Artillería lanzac. autopropulsada;Selbstangetrieb. Raketenartillerie;Samobie¿na artyleria rakietowa;;;;;X
SDESC_SP_ROCKET_ARTILLERY;This division has a self-propelled rocket artillery brigade.;Cette division bénéficie d’une brigade d’artillerie de missiles AM.;Questa divisione possiede una brigata di artiglieria lanciamissili a propulsione.;Esta división tiene una brigada de artillería lanzacohetes y autopropulsada.;Diese Division verfügt über eine selbstangetriebene Raketenartillerie-Brigade.;Ta dywizja zawiera brygadê samobie¿nej artylerii rakietowej.;;;;;X
SNAME_SP_ROCKET_ARTILLERY;SP R Art;Art. R AM;Art S L;A LCo APr;SA Rak-Art.;S-b. art. rak.;;;;;X
LDESC_ROCKET_ARTILLERY;Rocket Artillery gives your units an added capability against soft units. Rockets are an area weapon, saturating an area with explosions, and are thus most effective against Infantry concentrations.;L’artillerie de missiles donne à vos unités des capacités supplémentaires contre les unités légères. Les missiles sont des armes de secteur, qui saturent d’explosions une zone particulière , ils sont de cette manière plus efficaces contre les concentrations d’infanterie.;L’Artiglieria lanciamissili conferisce alle tue unità capacità aggiuntive contro le unità leggere. I missili sono un’arma in grado di bombardare a tappeto una zona e sono quindi efficaci perlopiù contro le concentrazioni di fanteria.;La artillería lanzacohetes proporciona a tus unidades más capacidad contra unidades blandas. Los cohetes son armas de área que saturan de explosiones una zona, por lo que resultan más eficaces contra las concentraciones de infantería.;Raketenartillerie erhöht die 'Soft Attack'-Attribute Ihrer Einheiten. Raketen sind Bereichswaffen, die ein Gebiet mit Explosionen bedecken und deshalb äußerst wirksam gegen eine Infanterie-Konzentration sind.;Artyleria rakietowa zwiêksza zdolnoœci ataku jednostek przeciwko sile ¿ywej. Rakiety s¹ broni¹ strefow¹, dok³adnie wype³niaj¹ pole ra¿enia eksplozjami i w zwi¹zku z tym s¹ najbardziej efektywne przeciwko zgrupowaniom piechoty.;;;;;X
NAME_ROCKET_ARTILLERY;Rocket Artillery;Lance-roquettes;Lanciamissili;Artillería lanzacohetes;Raketenartillerie;Artyleria rakietowa;;;;;X
