#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
## Generic strings;;;;;;;;;;;X
##;;;;;;;;;;;X
ACTION_NAME_OK;Okay;OK;Ok;Esta bien;Ok;OK;;Îê;;;X
ACTION_NAME_GREAT;Great!;Super!;Ottimo!;¡Estupendo!;Großartig!;Wspaniale!;;Âåëèêîëåïíî !;;;X
ACTION_NAME_ACCEPT;Accept;Accepter;Accetta;Aceptar;Wir akzeptieren;ZgódŸ siê;;Ïðèíÿòü !;;;X
ACTION_NAME_REFUSE;Refuse;Refuser;Rifiuta;Rechazar;Wir weigern uns;Odmów;;Îòêàçàòüñÿ !;;;X
ACTION_NAME_DAMN;Damn!;Nom de dieu !;Dannazione!;¡Maldición!;Verdammt!;Do diab³a!;;Ïðîêëÿòüå!;;;X
ACTION_NAME_YES;Yes!;Oui !;Sì!;¡Sí!;Ja!;Tak!;;Äà!;;;X
ACTION_NAME_NO;No!;Non !;No!;¡No!;Nein!;Nie!;;Íåò!;;;X
ACTION_NAME_HURRAH;Hurrah!;Hourrah !;Urrà!;Hurrah!;Ausgezeichnet;Hurra!;;Óðà!;;;X
ACTION_NAME_OF_COURSE;Of course;Bien sûr;Certamente;Fuera los Yankees!;Natürlich;Oczywiœcie;;Êîíå÷íî !;;;X
ACTION_NAME_GOOD;Good!;Bien !;Bene!;¡Bien!;Gut!;Œwietnie!;;Õîðîøî !;;;X
ACTION_NAME_DECLINE;Decline;Refuser;Rifiuta;Rehusar;Wir lehnen ab;Odmów;;Îòêëîíèòü !;;;X
ACTION_NAME_EXCELLENT;Excellent!;Excellent !;Eccellente!;¡Excelente!;Ausgezeichnet!;Doskonale!;;Îòëè÷íî !;;;X
ACTION_NAME_PRELUDE;Prelude;Prélude;Preludio;Preludio;Auftakt;Preludium;;Íà÷àòü !;;;X
ACTION_NAME_NEVER;Never!;Jamais!;Mai!;¡Nunca!;Niemals!;Nigdy!;;Íèêîãäà !;;;X
ACTION_NAME_FIGHT;Fight!;Combattre!;Combatti!;¡Luchar!;Wir kämpfen;Walcz!;;Âîéíà !;;;X
ACTION_NAME_AGREE;Agree;Accepter;Accetta;Acceder;Einverstanden;Zgoda;;Ñîãëàñèòüñÿ !;;;X
## New with 1.03;;;;;;;;;;;X
ACTION_NAME_JOIN_ENTENTE;Join the Entente;Rejoindre l'Entente;Entrare nell'Intesa;Unirse a la Entente;Der Beitritt zur Entente;Przy³¹cz siê do Ententy;;Âñòóïëåíèå â 'Àíòàíòó';;;X
ACTION_NAME_JOIN_CENTRAL;Join the Central Powers;Rejoindre les Puissances Centrales;Entra negli Imperi Centrali;Unirse a la Triple Alianza;Der Beitritt zu den Mittelmächten;Przy³¹cz siê do pañstw centralnych;;Ïðèñîåäèíåíèå ê Öåíòðàëüíûì äåðæàâàì ;;;X
