Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
'To move swiftly, strike vigorously, and secure all the fruits of victory, is the secret of successful war.';General Thomas Stonewall Jackson;;;;;;;;;;;;;;
'I think we risk becoming the best informed society that has ever died of ignorance.';Reuben Blades;;;;;;;;;;;;;;
'It's a sad and stupid thing to have to proclaim yourself a revolutionary just to be a decent man.';David Harris;;;;;;;;;;;;;;
'It'll be a great day when education gets all the money it wants and the Air Force has to hold a bake sale to buy bombers.';Unknown;;;;;;;;;;;;;;
'If you're not outraged, you're not paying attention.';Unknown;;;;;;;;;;;;;;
'The United States is more hated today than ever before.';Unknown;;;;;;;;;;;;;;
'In a world gushing blood day and night, you never stop mopping up pain.';Aberjhani, The River of Winged Dreams;;;;;;;;;;;;;;
'Violence is the first refuge of the incompetent.';Issac Asimov;;;;;;;;;;;;;;
'They wrote in the old days that it is sweet and fitting to die for one's country. But in modern war, there is nothing sweet nor fitting in your dying. You will die like a dog for no good reason';Ernest Hemmingway;;;;;;;;;;;;;;
'We create an environment where it is okay to hate, to steal, to cheat, and to lie if we dress it up with symbols of respectibility, dignity, and love.';Whitney Moore Jr.;;;;;;;;;;;;;;
'Those persons who are burning to display heroism may rest assured that the course of social evolution will offer them every opportunity.';Havelock Ellis;;;;;;;;;;;;;;
'Nothing can be more readily disproved than the old saw, 'You can't keep a good man down.' Most human societies have been beautifully organized to keep good men down.';John W. Gardner;;;;;;;;;;;;;;
'When we think of the past, we forget the fools and remember the sage. We reverse the process for our own time.';George Boas;;;;;;;;;;;;;;
'The atom bombs are piling up in the factories, the police are prowling through the cities, the lies are streaming through the loudspeakers, but the earth is still going round the sun.';George Orwell;;;;;;;;;;;;;;
'Society honors its living conformists and its dead troublemakers.';Mignon McLaughlin;;;;;;;;;;;;;;
'Jefferson thought schools would produce free men, we prove him right by putting dropouts in jail.';Benjamin R. Barber;;;;;;;;;;;;;;
'We will export death and violence to the four corners of the earth in defense of our great nation.';'Bush at War' by Bob Woodward;;;;;;;;;;;;;;
'Free nations are peaceful nations. Free nations don't attack each other. Free nations don't develop weapons of mass destruction.';George W. Bush;;;;;;;;;;;;;;
'Every Iraqi atrocity has confirmed the justice and the urgency of our cause. Against this enemy we will accept no outcome except complete victory.';George W. Bush, March 28-2003;;;;;;;;;;;;;;
'You are either with us or you are against us in the fight against terror.';George W. Bush during a press conference with President Jacques Chirac of France (09/06/2001);;;;;;;;;;;;;;
'Si vis pacem, para bellum (If you want peace, prepare for war).';Vegetius;'Si tu veux la paix, prйpare la guerre.';Vegetius;'Si vis pacem, para bellum - se vuoi la pace, preparati alla guerra.';Vegetius;'Si vis pacem, para bellum (Si quieres paz, preparate para la guerra).';Vegetius;Si vis pacem, para bellum ( Wenn Du Frieden willst, bereite den Krieg vor ).';Vegetius;Si vis pacem, para bellum (Chcesz pokoju, szykuj siк do wojny).';Wegecjusz;;;'Si vis pacem, para bellum (Хочешь мира - готовься к войне).';Вегеций
'Bellum se ipsum alet (War feeds itself).';Marcus Porcius Cato;'Nos yeux йmerveillйs pouvaient contempler le spectacle de six engins blindйs а chenille britanniques traversant le champs de bataille, passant а travers les barbelйs,;abattant des murs en pierre et, oui, renversant mкme de petits arbres. Cela nous semblait si irrйel.' Un soldat allemand, bataille de la Somme, 1916;'Bellum se ipsum alet (La guerra si alimenta da sola)';Marcus Porcius Cato;'Bellum se ipsum alet (La guerra se alimenta a si misma).';Marcus Porcius Cato;Bellum se ipsum alet ( Der Krieg ernдhrt den Krieg ).';Marcus Porcius Cato;'Bellum se ipsum alet (Wojna karmi siebie sam№).';Marek Porcjusz Katon;;;'Bellum se ipsum alet (Война кормит себя).';Марк Порций Катон

