#######################;;;;;;;;;;;X
# muster; -1- ; -2- ; -3- ; -4- ; -5- ; -6- ;; -8- ;;;X
#######################;;;;;;;;;;;X
MODEL_AFG_12_1;MiG-23 Flogger;;;;;;;;;;X
MODEL_AFG_13_2;Mig-29 Fulcrum;;;;;;;;;;X
MODEL_AFG_13_3;F-16C Fighting Falcon;;;;;;;;;;X
MODEL_AFG_17_0;Su-25 Frogfoot;;;;;;;;;;X
MODEL_AFG_18_0;An-22 Cock;;;;;;;;;;X
MODEL_AFG_18_1;Il-76 Candid;;;;;;;;;;X
MODEL_AFG_18_2;An-124 Condor;;;;;;;;;;X
MODEL_AFG_18_3;An-225 Cossak;;;;;;;;;;X
BRIG_MODEL_AFG_8_0;Mi-8 Hip;;;;;;;;;;X
BRIG_MODEL_AFG_8_1;Mi-24 Hind;;;;;;;;;;X
BRIG_MODEL_AFG_8_2;Mi-24PN Hind-E;;;;;;;;;;X
BRIG_MODEL_AFG_8_3;AH-64D Longbow Apache;;;;AH-64D Longbow Apache;;;;;;X
#;;;;;;;;;;;
MODEL_ALB_4_0;Type 59;;;;;;;;;;X
MODEL_ALB_4_1;Type 59D;;;;;;;;;;X
MODEL_ALB_5_7;Type 59;;;;;;;;;;X
MODEL_ALB_5_8;Type 59D;;;;;;;;;;X
MODEL_ALB_12_0;Shenyang F-6;;;;;;;;;;X
MODEL_ALB_13_0;Chengdu F-6;;;;;;;;;;X
MODEL_ALB_13_1;Chengdu F-7;;;;;;;;;;X
#;;;;;;;;;;;
MODEL_ALG_4_0;T-55;;;;;;;;;;X
MODEL_ALG_4_1;T-62;;;;;;;;;;X
MODEL_ALG_4_3;T-72;;;;;;;;;;X
MODEL_ALG_4_4;T-72A;;;;;;;;;;X
MODEL_ALG_4_5;T-72BM;;;;;;;;;;X
MODEL_ALG_4_7;T-80;;;;;;;;;;X
MODEL_ALG_4_8;T-80U;;;;;;;;;;X
MODEL_ALG_4_9;T-80UM2;;;;;;;;;;X
MODEL_ALG_4_11;T-90;;;;;;;;;;X
MODEL_ALG_4_12;T-90M;;;;;;;;;;X
MODEL_ALG_4_14;T-95;;;;;;;;;;X
MODEL_ALG_4_15;T-95B;;;;;;;;;;X
MODEL_ALG_5_7;T-55;;;;;;;;;;X
MODEL_ALG_5_8;T-62;;;;;;;;;;X
MODEL_ALG_5_11;T-72;;;;;;;;;;X
MODEL_ALG_5_12;T-72A;;;;;;;;;;X
MODEL_ALG_5_13;T-72BM;;;;;;;;;;X
MODEL_ALG_5_15;T-80;;;;;;;;;;X
MODEL_ALG_5_16;T-80U;;;;;;;;;;X
MODEL_ALG_5_17;T-80UM2;;;;;;;;;;X
MODEL_ALG_5_19;T-90;;;;;;;;;;X
MODEL_ALG_5_20;T-90M;;;;;;;;;;X
MODEL_ALG_5_22;T-95;;;;;;;;;;X
MODEL_ALG_5_23;T-95B;;;;;;;;;;X
MODEL_ALG_12_0;Su-9 Fishpot;;;;Su-9 Fishpot;;;;;;X
MODEL_ALG_12_1;MiG-23 Flogger;;;;MiG-23;;;;;;X
MODEL_ALG_12_2;Su-27 Flanker;;;;MiG-29;;;;;;X
MODEL_ALG_12_3;Su-35 Flanker-F;;;;;;;;;;X
MODEL_ALG_12_4;Su-38 Firefox;;;;;;;;;;X
MODEL_ALG_12_5;Su-38B Firefox;;;;;;;;;;X
MODEL_ALG_13_0;MiG-19 Fresco-C;;;;MiG-19;;;;;;X
MODEL_ALG_13_1;MiG-21 Fishbed;;;;MiG-21;;;;;;X
MODEL_ALG_13_2;MiG-29 Fulcrum;;;;MiG-29;;;;;;X
MODEL_ALG_13_3;MiG-35 Fulcrum-F;;;;MiG-29;;;;;;X
MODEL_ALG_13_4;MiG-39 Flatpack;;;;;;;;;;X
MODEL_ALG_13_5;MiG-39B Flatpack;;;;;;;;;;X
MODEL_ALG_15_1;Su-17 Fitter;;;;SU-17 Fitter;;;;;;X
MODEL_ALG_15_2;MiG-27 Flogger;;;;MiG-27;;;;;;X
MODEL_ALG_15_3;Su-34 Fullback;;;;;;;;;;X
MODEL_ALG_15_4;MiG-40 Flatpack-S;;;;;;;;;;X
MODEL_ALG_17_0;Su-24 Fencer;;;;;;;;;;X
MODEL_ALG_17_1;Su-25 Frogfoot-T;;;;Su-25;;;;;;X
MODEL_ALG_25_0;Koni-Class;;;;;;;;;;X
MODEL_ALG_25_1;Krivak-Class;;;;;;;;;;X
MODEL_ALG_25_2;Neustrashimy-Class;;;;;;;;;;X
MODEL_ALG_25_3;Admiral Gorshkov-Class;;;;;;;;;;X
MODEL_ALG_25_4;Samara-Class;;;;;;;;;;X
MODEL_ALG_28_0;Foxtrot-Class;;;;;;;;;;X
MODEL_ALG_28_1;Improved Foxtrot-Class;;;;;;;;;;X
MODEL_ALG_28_2;Tango-Class;;;;;;;;;;X
MODEL_ALG_28_3;Improved Tango-Class;;;;;;;;;;X
MODEL_ALG_28_4;Kilo-Class;;;;;;;;;;X
MODEL_ALG_28_5;Improved Kilo-Class;;;;;;;;;;X
MODEL_ALG_28_6;Lada-Class;;;;;;;;;;X
MODEL_ALG_28_7;Lada-II-Class;;;;;;;;;;X
MODEL_ALG_28_8;Piranya-Class;;;;;;;;;;X
MODEL_ALG_28_9;Piranya-II-Class;;;;;;;;;;X
#;;;;;;;;;;;
MODEL_ANG_4_0;T-55;;;;;;;;;;X
MODEL_ANG_4_1;T-62;;;;;;;;;;X
MODEL_ANG_4_3;T-72;;;;;;;;;;X
MODEL_ANG_4_4;T-72A;;;;;;;;;;X
MODEL_ANG_4_5;T-72BM;;;;;;;;;;X
MODEL_ANG_4_7;T-80;;;;;;;;;;X
MODEL_ANG_4_8;T-80U;;;;;;;;;;X
MODEL_ANG_4_9;T-80UM2;;;;;;;;;;X
MODEL_ANG_4_11;T-90;;;;;;;;;;X
MODEL_ANG_4_12;T-90M;;;;;;;;;;X
MODEL_ANG_4_14;T-95;;;;;;;;;;X
MODEL_ANG_4_15;T-95B;;;;;;;;;;X
MODEL_ANG_5_7;T-55;;;;;;;;;;X
MODEL_ANG_5_8;T-62;;;;;;;;;;X
MODEL_ANG_5_11;T-72;;;;;;;;;;X
MODEL_ANG_5_12;T-72A;;;;;;;;;;X
MODEL_ANG_5_13;T-72BM;;;;;;;;;;X
MODEL_ANG_5_15;T-80;;;;;;;;;;X
MODEL_ANG_5_16;T-80U;;;;;;;;;;X
MODEL_ANG_5_17;T-80UM2;;;;;;;;;;X
MODEL_ANG_5_19;T-90;;;;;;;;;;X
MODEL_ANG_5_20;T-90M;;;;;;;;;;X
MODEL_ANG_5_22;T-95;;;;;;;;;;X
MODEL_ANG_5_23;T-95B;;;;;;;;;;X
MODEL_ANG_12_0;Su-9 Fishpot;;;;Su-9 Fishpot;;;;;;X
MODEL_ANG_12_1;MiG-23 Flogger;;;;MiG-23;;;;;;X
MODEL_ANG_12_2;Su-27 Flanker;;;;MiG-29;;;;;;X
MODEL_ANG_12_3;Su-35 Flanker-F;;;;;;;;;;X
MODEL_ANG_12_4;Su-38 Firefox;;;;;;;;;;X
MODEL_ANG_12_5;Su-38B Firefox;;;;;;;;;;X
MODEL_ANG_13_0;MiG-19 Fresco-C;;;;MiG-19;;;;;;X
MODEL_ANG_13_1;MiG-21 Fishbed;;;;MiG-21;;;;;;X
MODEL_ANG_13_2;MiG-29 Fulcrum;;;;MiG-29;;;;;;X
MODEL_ANG_13_3;MiG-35 Fulcrum-F;;;;MiG-29;;;;;;X
MODEL_ANG_13_4;MiG-39 Flatpack;;;;;;;;;;X
MODEL_ANG_13_5;MiG-39B Flatpack;;;;;;;;;;X
MODEL_ANG_15_0;Su-17 Fitter;;;;SU-17 Fitter;;;;;;X
MODEL_ANG_15_1;MiG-27 Flogger;;;;MiG-27;;;;;;X
MODEL_ANG_15_2;Su-34 Fullback;;;;;;;;;;X
MODEL_ANG_15_3;MiG-40 Flatpack-S;;;;;;;;;;X
MODEL_ANG_17_0;Su-25 Frogfoot-A;;;;Su-25;;;;;;X
MODEL_ANG_17_1;Su-25 Frogfoot-T;;;;Su-25;;;;;;X
BRIG_MODEL_ANG_7_0;T-55;;;;T-55;;;;;;X
BRIG_MODEL_ANG_7_1;T-62;;;;T-62;;;;;;X
BRIG_MODEL_ANG_7_2;T-64;;;;T-64;;;;;;X
BRIG_MODEL_ANG_7_3;T-72M;;;;T-72M;;;;;;X
BRIG_MODEL_ANG_7_4;T-80U;;;;T-80U;;;;;;X
BRIG_MODEL_ANG_7_5;T-90S;;;;T-90S;;;;;;X
BRIG_MODEL_ANG_7_6;T-94;;;;T-94;;;;;;X
BRIG_MODEL_ANG_10_0;BTR-60;;;;BTR-60;;;;;;X
BRIG_MODEL_ANG_10_1;BTR-70;;;;BTR-70;;;;;;X
BRIG_MODEL_ANG_10_2;BTR-80;;;;BTR-80;;;;;;X
BRIG_MODEL_ANG_8_0;Mi-24A;;;;Mi-24A;;;;;;X
BRIG_MODEL_ANG_8_1;Mi-24D;;;;Mi-24D;;;;;;X
BRIG_MODEL_ANG_8_2;Mi-35;;;;Mi-35;;;;;;X
BRIG_MODEL_ANG_8_3;Mi-28;;;;Mi-28;;;;;;X
BRIG_MODEL_ANG_8_4;Ka-50;;;;Ka-50;;;;;;X
BRIG_MODEL_ANG_11_0;Shilka;;;;Shilka;;;;;;X
BRIG_MODEL_ANG_11_1;SA-6 Kub;;;;SA-6 Kub;;;;;;X
BRIG_MODEL_ANG_11_2;2S6M Tunguzka;;;;2S6M Tunguzka;;;;;;X
#;;;;;;;;;;;
MODEL_ARG_4_0;TAM;;;;;;;;;;X
MODEL_ARG_4_1;TAM II;;;;;;;;;;X
MODEL_ARG_4_3;Leopard 1;;;;;;;;;;X
MODEL_ARG_4_4;Leopard 1A3;;;;;;;;;;X
MODEL_ARG_4_5;Leopard 1A5;;;;;;;;;;X
MODEL_ARG_4_7;Leopard 2;;;;;;;;;;X
MODEL_ARG_4_8;Leopard 2A4;;;;;;;;;;X
MODEL_ARG_4_9;Leopard 2A6;;;;;;;;;;X
MODEL_ARG_4_11;Leopard 3;;;;;;;;;;X
MODEL_ARG_4_12;Leopard 3A5;;;;;;;;;;X
MODEL_ARG_4_14;Leopard 4;;;;;;;;;;X
MODEL_ARG_4_15;Leopard 4A6;;;;;;;;;;X
MODEL_ARG_5_7;TAM;;;;;;;;;;X
MODEL_ARG_5_8;TAM II;;;;;;;;;;X
MODEL_ARG_5_11;Leopard 1;;;;;;;;;;X
MODEL_ARG_5_12;Leopard 1A3;;;;;;;;;;X
MODEL_ARG_5_13;Leopard 1A5;;;;;;;;;;X
MODEL_ARG_5_15;Leopard 2;;;;;;;;;;X
MODEL_ARG_5_16;Leopard 2A4;;;;;;;;;;X
MODEL_ARG_5_17;Leopard 2A6;;;;;;;;;;X
MODEL_ARG_5_19;Leopard 3;;;;;;;;;;X
MODEL_ARG_5_20;Leopard 3A5;;;;;;;;;;X
MODEL_ARG_5_22;Leopard 4;;;;;;;;;;X
MODEL_ARG_5_23;Leopard 4A6;;;;;;;;;;X
MODEL_ARG_13_0;IAI Nesher;;;;;;;;;;X
MODEL_ARG_13_1;IAI Dagger;;;;;;;;;;X
MODEL_ARG_15_0;FMA IA 58 Pucará;;;;;;;;;;X
MODEL_ARG_15_1;A-4AR Fightinghawk;;;;;;;;;;X
MODEL_ARG_18_0;C-130 Hercules;;;;;;;;;;X
MODEL_ARG_18_1;;;;;;;;;;;X
MODEL_ARG_22_0;;;;;;;;;;;X
MODEL_ARG_22_1;Almirante Brown-Class;;;;;;;;;;X
MODEL_ARG_22_2;;;;;;;;;;;X
MODEL_ARG_22_3;;;;;;;;;;;X
MODEL_ARG_22_4;;;;;;;;;;;X
MODEL_ARG_25_0;Azopardo-Class;;;;;;;;;;X
MODEL_ARG_25_1;Espora-Class;;;;;;;;;;X
MODEL_ARG_25_2;;;;;;;;;;;X
MODEL_ARG_25_3;;;;;;;;;;;X
MODEL_ARG_25_4;;;;;;;;;;;X
MODEL_ARG_27_0;Independencia-Class;;;;;;;;;;X
MODEL_ARG_28_2;Salta-Class;;;;;;;;;;X
MODEL_ARG_28_3;Imp. Salta-Class;;;;;;;;;;X
MODEL_ARG_28_4;TR-1700-Class;;;;;;;;;;X
#;;;;;;;;;;;
MODEL_ARM_4_0;T-55;;;;;;;;;;X
MODEL_ARM_4_1;T-62;;;;;;;;;;X
MODEL_ARM_4_3;T-72;;;;;;;;;;X
MODEL_ARM_4_4;T-72A;;;;;;;;;;X
MODEL_ARM_4_5;T-72BM;;;;;;;;;;X
MODEL_ARM_4_7;T-80;;;;;;;;;;X
MODEL_ARM_4_8;T-80U;;;;;;;;;;X
MODEL_ARM_4_9;T-80UM2;;;;;;;;;;X
MODEL_ARM_4_11;T-90;;;;;;;;;;X
MODEL_ARM_4_12;T-90M;;;;;;;;;;X
MODEL_ARM_4_14;T-95;;;;;;;;;;X
MODEL_ARM_4_15;T-95B;;;;;;;;;;X
MODEL_ARM_5_7;T-55;;;;;;;;;;X
MODEL_ARM_5_8;T-62;;;;;;;;;;X
MODEL_ARM_5_11;T-72;;;;;;;;;;X
MODEL_ARM_5_12;T-72A;;;;;;;;;;X
MODEL_ARM_5_13;T-72BM;;;;;;;;;;X
MODEL_ARM_5_15;T-80;;;;;;;;;;X
MODEL_ARM_5_16;T-80U;;;;;;;;;;X
MODEL_ARM_5_17;T-80UM2;;;;;;;;;;X
MODEL_ARM_5_19;T-90;;;;;;;;;;X
MODEL_ARM_5_20;T-90M;;;;;;;;;;X
MODEL_ARM_5_22;T-95;;;;;;;;;;X
MODEL_ARM_5_23;T-95B;;;;;;;;;;X
#;;;;;;;;;;;
MODEL_AST_4_0;Centurion;;;;;;;;;;X
MODEL_AST_4_1;Centurion Mk13;;;;;;;;;;X
MODEL_AST_4_3;Leopard 1;;;;;;;;;;X
MODEL_AST_4_4;Leopard 1A3;;;;;;;;;;X
MODEL_AST_4_5;Leopard 1A5;;;;;;;;;;X
MODEL_AST_4_7;M1 Abrams;;;;;;;;;;X
