#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#;;;;;;;;;;;X
MDS_DESC;War on Terror (2003);;;Guerra del terror (2003);Krieg gegen den Terror (2003);;;;;;x
AFG_DESC;Afghanistan's recent history is a story of war and civil unrest. The Soviet Union invaded in 1979, but was forced to withdraw 10 years later by anti-Communist mujahidin forces. The Communist regime in Kabul collapsed in 1992. Fighting that subsequently erupted among the various mujahidin factions eventually helped to spawn the Taliban, a hardline Pakistani-sponsored movement that fought to end the warlordism and civil war that gripped the country. The Taliban seized Kabul in 1996 and were able to capture most of the country outside of Northern Alliance strongholds primarily in the northeast. Following the 11 September 2001 terrorist attacks, a US, Allied, and Northern Alliance military action toppled the Taliban for sheltering Osama Bin Ladin.;;;;Die Afghanische Geschichte der Moderne, ist eine Geschichte von Leid, Bürgerkrieg, Verrat und Aufständen. Die mächtige Sowjetunion begann 1979 eine Invasion um gen indischen Meer vorzustoßen, musste sich jedoch 10 Jahre später eine große Niederlage gegen die irregulären und anti-kommunistischen Muhajedin-Truppen eingestehen. Das nun nicht mehr durch die UdSSR unterstützte Kommunistische Regime in Kabul unter Nazbullah konnte sich noch bis 1992 halten. Die anhaltenden Machtkämpfe zwischen Kabul, Muhajedin und Warlords führte unter Anderem zum auftreten der radikal-islamistischen Taliban, einer von Pakistan unterstützter Bewegung, das für eine neue islamische Ordnung kämpfte – ohne die alten Geißel Afghanistans: Warlords, Bürgerkrieg und Schlimmeren. Die Taliban eroberten Kabul 1996 und es gelang ihnen schnell weite Teile Afghanistans unter ihre Kontrolle zu bringen. Wobei sich zeigte das ihre Steinzeit-Islamistische Herrschaft, die Frauen unterdrückte und Verbrecher offen steinigte, die neue Geißel Afghanistans war. Allerdings konnte sich die Nordallianz – eine labile Ansammlung von Warlords – in Nordafghanistan gegen die Taliban behaupten. Im Zuge des 11. September 2001 wurde von den Vereinigten Staaten, ihren Verbündeten und der Nordallianz eine neue Offensive gegen die Taliban gestartet, da Afghanistan nicht nur Osama Bin-Laden beherbergte, sondern auch offen ein Terrorausbildungslager geworden war. Auch wenn der Krieg schnell gewonnen war, muss sich das weitere Schicksal Afghanistans sich noch offenbaren. ;;;;;;x
ALB_DESC;Between 1990 and 1992 Albania ended 46 years of xenophobic Communist rule and established a multiparty democracy. The transition has proven difficult as successive governments have tried to deal with high unemployment, widespread corruption, a dilapidated infrastructure, powerful organized crime networks with links to high government officials, and disruptive political opponents. International observers judged parliamentary elections in 2001 and local elections in 2003 to be acceptable and a step toward democratic development, but identified serious deficiencies.;;;;Zwischen den Jahren 1990 und 1992 entledigte sich Albanien seiner 46 Jahre andauernden fremdenfeindlichen Kommunistische Herrschaft und wurde zu einer pluralistischen Demokratie. Der Übergang gestalte sich sehr schwierig, da die neue Regierung sich mit hoher Arbeitslosigkeit, sprießender Korruption, einer katastrophalen Infrastruktur, einer mächtigen und gut strukturierten Unterwelt mit guten Verbindungen zu Staatseliten und einer extrem dekonstruktiven Opposition konfrontiert sah und sieht. Jedoch konnte internationale Beobachter den Parlamentswahlen von 2001 und den Regionalwahlen von 2003 einen akzeptablen Verlauf und somit einen großen Schritt gen stabiler demokratischer Entwicklung bescheinigen.;;;;;;x
ALG_DESC;After more than a century of rule by France, Algerians fought through much of the 1950s to achieve independence in 1962. Algeria's primary political party, the National Liberation Front (FLN), has dominated politics ever since. Many Algerians in the subsequent generation were not satisfied, however, and moved to counter the FLN's centrality in Algerian politics. The surprising first round success of the Islamic Salvation Front (FIS) in the December 1991 balloting spurred the Algerian army to intervene and postpone the second round of elections to prevent what the secular elite feared would be an extremist-led government from assuming power. The army began a crack down on the FIS that spurred FIS supporters to begin attacking government targets. The government later allowed elections featuring pro-government and moderate religious-based parties, but did not appease the activists who progressively widened their attacks. The fighting escalated into an insurgency, which saw intense fighting between 1992-98 and which resulted in over 100,000 deaths - many attributed to indiscriminate massacres of villagers by extremists. The government gained the upper hand by the late-1990s and FIS's armed wing, the Islamic Salvation Army, disbanded in January 2000. However, small numbers of armed militants persist in confronting government forces and conducting ambushes and occasional attacks on villages. The army placed Abdelaziz Bouteflika in the presidency in 1999 in a fraudulent election but claimed neutrality in his 2004 landslide reelection victory. Longstanding problems continue to face Bouteflika in his second term, including the ethnic minority Berbers' ongoing autonomy campaign, large-scale unemployment, a shortage of housing, unreliable electrical and water supplies, government inefficiencies and corruption, and the continuing - although significantly degraded - activities of extremist militants. Algeria must also diversify its petroleum-based economy, which has yielded a large cash reserve but which has not been used to redress Algeria's many social and infrastructure problems.;;;;Nach über einem Jahrhundert französischer Herrschaft, erkämpften sich die Algerier beinahe durch die kompletten 1950er Jahre um endlich 1962 ihre Unabhängigkeit zu erhalten. Die algerische Hauptpartei, die Nationale Befreiungsfront (FLN), dominiert seitdem das politische Geschehen. Jedoch sind viele Algerier der jüngeren Generation mit deren Politik nicht mehr zufrieden und beginnen die Dominanz der FLN zu determinieren. Der Überraschende Erdrutschsieg der Islamischen Befreiungsfront (FIS) im ersten Wahldurchgang 1991 zwang das algerische Militär einzugreifen und dem zweiten Wahlgang etwas nachzuhelfen was die säkularen Eliten am meisten fürchteten, ein macht hungrige und von Extremisten geführte Regierung. In der Folge begann die Armee einen Kleinkrieg gegen die FIS, was dazu führte das immer mehr FIS Sympathisanten Regierungsziele angriffen. Einige Zeit später erlaubte die Regierung Wahlen, zu der einige regierungsfreundliche und moderat religiöse Parteien zu gelassen wurden, welche jedoch keinen halt bei den Sympathisanten fanden, die ihre Attacken fortsetzten. Der Kleinkrieg dehnte sich nun immer mehr zu einen vollen bürgerkriegsähnlichen asymmetrischen Kampf aus, der von 1992-1998 dauerte und über 100.000 Opfer kostete – viele von ihnen unschuldige Dorfbewohner die von Extremisten niedergemacht wurden. In den späten 1990er Jahren gelang es der Regierung endlich die Oberhand zurück zu gewinnen und den bewaffneten Flügel der FIS, die islamische Befreiungsarmee, im Januar 2000 aufzulösen. Trotzdem bekämpfen immer noch kleinere militante Gruppen die Regierung und setzten ihre Überfälle und Raubzüge auf Städte und Dörfer fort. 1999 platzierte das Militär Abdelaziz Bouteflika nach einer zweifelhaften Wahl als Präsidenten, verspricht aber für die 2004 anstehende Wiederwahl weitestgehende Neutralität. Bouteflika sieht sich in seiner zweiten Amtszeit weiterhin mit zahllosen Problemen konfrontiert, die es zu lösen gibt, angefangen bei der andauernden Unabhängigkeitskampagne der Minderheit der Berber, der immensen Arbeitslosigkeit, einen wankenden Haushalt, eine kaum funktionierende Wasser und Stromversorgung, über eine inkompetente und korrupte Verwaltung, bis hin zu den fortschreitenden – wenn auch schon milderen – Aktivitäten der Extremisten. Algerien muss außerdem seine auf Öl-basierende Wirtschaft renovieren, die zwar zu größeren Geldreserve führte, die aber bis jetzt noch nicht genutzt wurden um die vielen sozialen und infrastrukturellen Probleme Algeriens zu lösen.;;;;;;x
ANG_DESC;Angola has begun to enjoy the fruits of peace since the end of a 27-year civil war in 2002. Fighting between the Popular Movement for the Liberation of Angola (MPLA), led by Jose Eduardo dos Santos, and the National Union for the Total Independence of Angola (UNITA), led by Jonas Savimbi, followed independence from Portugal in 1975. Peace seemed imminent in 1992 when Angola held national elections, but UNITA renewed fighting after being beaten by the MPLA at the polls. Up to 1.5 million lives may have been lost - and 4 million people displaced - in the quarter century of fighting. Savimbi's death in 2002 ended UNITA's insurgency and strengthened the MPLA's hold on power. DOS SANTOS has pledged to hold national elections in 2006.;;;;Langsam beginnt Angola die Früchte des Friedens nach dem 27 Jahre andauernden Bürgerkriegs zu genießen, nachdem endlich 2002 wieder Frieden einkehrte. Die Kämpfe zwischen der Volksbewegung für die Befreiung Angolas (MPLA), geführt von Jose Eduardo dos Santos, und dem Nationalen Bündnis für die totale Unabhängigkeit Angolas (UNITA), geführt von Jonas Savimbi, folgten der Unabhängigkeit Angolas in 1975. Bereits 1992 schien durch die nationalen Wahlen Frieden möglich, aber die UNITA setzte ihren Kampf fort, nachdem sie an den Urnen von der MLPA besiegt wurde. Mehr als 1.5 Millionen Menschen wurden wahrscheinlich getötet und über 4 Millionen weitere vertrieben und Heimatlos – in einem Vierteljahrhundert des Bürgerkrieges. 2002 beendete der Tot von Savimbi den Aufstand der UNITA und stärkte die MPLA genug um landesweit die bestimmende Macht zu werden. Dos Santos hat nun versprochen freie nationale Wahlen für 2006 anzusetzen.;;;;;;x
ARG_DESC;Following independence from Spain in 1816, Argentina experienced periods of internal political conflict between conservatives and liberals and between civilian and military factions. After World War II, a long period of Peronist authoritarian rule and interference in subsequent governments was followed by a military junta that took power in 1976. Democracy returned in 1983, and numerous elections since then have underscored Argentina's progress in democratic consolidation.;;;;Nach der Unabhängigkeit von Spanien im Jahre 1816 durch litt Argentinien eine ausgedehnte Phase von politischer Instabilität und Auseinandersetzungen zwischen Konservativen und Liberalen einerseits und zivilen und militärischen Kräften andererseits. Dem zweiten Weltkrieg folgte eine lange Periode perionistischer und autokratischer Herrschaft, wobei konsequent in den Augen der Militärs unfähige Regierungen durch Militär Juntas ersetzt wurden, wie zuletzt 1976. Nach dem verlorenen Falklandabenteuer kam 1983 die Demokratie nach Argentinien zurück und zahllose demokratische Wahlgänge haben seitdem den Demokratisierungsprozess gestärkt.;;;;;;x
ARM_DESC;Armenia prides itself on being the first nation to formally adopt Christianity (early 4th century). Despite periods of autonomy, over the centuries Armenia came under the sway of various empires including the Roman, Byzantine, Arab, Persian, and Ottoman. It was incorporated into Russia in 1828 and the USSR in 1920. Armenian leaders remain preoccupied by the long conflict with Muslim Azerbaijan over Nagorno-Karabakh, a primarily Armenian-populated region, assigned to Soviet Azerbaijan in the 1920s by Moscow. Armenia and Azerbaijan began fighting over the area in 1988the struggle escalated after both countries attained independence from the Soviet Union in 1991. By May 1994, when a cease-fire took hold, Armenian forces held not only Nagorno-Karabakh but also a significant portion of Azerbaijan proper. The economies of both sides have been hurt by their inability to make substantial progress toward a peaceful resolution. Turkey imposed an economic blockade on Armenia and closed the common border because of the Armenian occupation of Nagorno-Karabakh and surrounding areas.;;;;;;;;;;x
AST_DESC;Aboriginal settlers arrived on the continent from Southeast Asia about 40,000 years before the first Europeans began exploration in the 17th century. No formal territorial claims were made until 1770, when Capt. James Cook took possession in the name of Great Britain. Six colonies were created in the late 18th and 19th centuriesthey federated and became the Commonwealth of Australia in 1901. The new country took advantage of its natural resources to rapidly develop its agricultural and manufacturing industries and to make a major contribution to the British effort in World Wars I and II. In recent decades, Australia has transformed itself into an internationally competitive, advanced market economy. It boasted one of the OECD's fastest growing economies during the 1990's, a performance due in large part to economic reforms adopted in the 1980's. Long-term concerns include pollution, particularly depletion of the ozone layer, and management and conservation of coastal areas, especially the Great Barrier Reef.;;;;;;;;;;x
AUS_DESC;Once the center of power for the large Austro-Hungarian Empire, Austria was reduced to a small republic after its defeat in World War I. Following annexation by Nazi Germany in 1938 and subsequent occupation by the victorious Allies in 1945, Austria's status remained unclear for a decade. A State Treaty signed in 1955 ended the occupation, recognized Austria's independence, and forbade unification with Germany. A constitutional law that same year declared the country's 'perpetual neutrality' as a condition for Soviet military withdrawal. Following the Soviet Union's collapse in 1991 and Austria's entry into the European Union in 1995, some Austrians have called into question this neutrality. A prosperous, democratic country, Austria entered the Economic and Monetary Union in 1999.;;;;;;;;;;x
AZB_DESC;Azerbaijan - a nation with a Turkic and majority-Muslim population - regained its independence after the collapse of the Soviet Union in 1991. Despite a 1994 cease-fire, Azerbaijan has yet to resolve its conflict with Armenia over the Azerbaijani Nagorno-Karabakh enclave (largely Armenian populated). Azerbaijan has lost 16 percent of its territory and must support some 571,000 internally displaced persons as a result of the conflict. Corruption is ubiquitous and the promise of widespread wealth from Azerbaijan's undeveloped petroleum resources remains largely unfulfilled.;;;;;;;;;;x
BEL_DESC;Belgium became independent from the Netherlands in 1830 and was occupied by Germany during World Wars I and II. It has prospered in the past half century as a modern, technologically advanced European state and member of NATO and the EU. Tensions between the Dutch-speaking Flemings of the north and the French-speaking Walloons of the south have led in recent years to constitutional amendments granting these regions formal recognition and autonomy.;;;;;;;;;;x
