RT_ARTILLERY;Artillery Design;;;;;;;;;;X
RT_MECHANICS;AFV Design;;;;;;;;;;X
RT_ELECTRONICS;Computers;;;;;;;;;;X
RT_CHEMISTRY;Communication;;;;;;;;;;X
RT_TRAINING;Command and Control;;;;;;;;;;X
RT_GENERAL_EQUIPMENT;Infantry Equipment;;;;;;;;;;X
RT_ROCKETRY;Hi-Tech Development;;;;;;;;;;X
RT_NAVAL_ENGINEERING;Carrier Design;;;;;;;;;;X
RT_AERONAUTICS;Aircraft Design;;;;;;;;;;X
RT_NUCLEAR_PHYSICS;Nuclear Physics;;;;;;;;;;X
RT_NUCLEAR_ENGINEERING;Nuclear Engineering;;;;;;;;;;X
RT_MANAGEMENT;Targeting;;;;;;;;;;X
RT_INDUSTRIAL_ENGINEERING;Industry;;;;;;;;;;X
RT_MATHEMATICS;Cryptography;;;;;;;;;;X
RT_SMALL_UNIT_TACTICS;Vertical Envelopment;;;;;;;;;;X
RT_LARGE_UNIT_TACTICS;Mechanized Warfare;;;;;;;;;;X
RT_CENTRALIZED_EXECUTION;Logistics;;;;;;;;;;X
RT_DECENTRALIZED_EXECUTION;Amphibious Operations;;;;;;;;;;X
RT_TECHNICAL_EFFICIENCY;Helicopter Design;;;;;;;;;;X
RT_INDIVIDUAL_COURAGE;Specialist Formations;;;;;;;;;;X
RT_INFANTRY_FOCUS;Infantry Formations;;;;;;;;;;X
RT_COMBINED_ARMS_FOCUS;Armored Formations;;;;;;;;;;X
RT_LARGE_UNIT_FOCUS;Specialized Ops;;;;;;;;;;X
RT_NAVAL_ARTILLERY;Small Hull Design;;;;;;;;;;X
RT_NAVAL_TRAINING;Fleet Logistics;;;;;;;;;;X
RT_AIRCRAFT_TESTING;Naval Aviation Tactics;;;;;;;;;;X
RT_FIGHTER_TACTICS;Fighter Tactics;;;;;;;;;;X
RT_BOMBER_TACTICS;Bomber Tactics;;;;;;;;;;X
RT_LARGE_TASKFORCE_TACTICS;Surface Tactics;;;;;;;;;;X
RT_SMALL_TASKFORCE_TACTICS;Large Hull Design;;;;;;;;;;X
RT_SEAMANSHIP;Submarine Design;;;;;;;;;;X
RT_PILOTING;AWACS Ops;;;;;;;;;;X
RT_SUBMARINE_TACTICS;Submarine Tactics;;;;;;;;;;x
RT_CARRIER_TACTICS;Carrier Tactics;;;;;;;;;;x
##;;;;;;;;;;;X
TECH_CAT_MANUFACTURING;Manufacturing;;;;Produktion;;;;;;X
TECH_CAT_ROCKETRY;Rocketry;;;;Raketentechnik;;;;;;X
TECH_CAT_AGRICULTURE;Agriculture;;;;Landwirtschaft;;;;;;X
TECH_CAT_RRWARNING;Radar Warning;;;;Radarüberwachung;;;;;;X
TECH_CAT_CRYPTOGRAPHY;Communication;;;;Communication;;;;;;X
TECH_CAT_SYNTHETICOIL;Renewable Energy;;;;Renewable Energy;;;;;;X
TECH_CAT_NUCLEAR;Nuclear Energy;;;;Atom;;;;;;X
