##
## PLEASE REFER TO THE world_names FILE IN THE CONFIG FOLDER
## FOR THE CORRECT COUNTRY ID.. some of these are WRONG!!
##
AFG	Afghanistan			1 - 500
ALB	Albania		          	501 - 1000
ALG	Algeria		         	1001 - 1500
ANG	Angola		         	1501 - 2000
SCO	Antigua&Barbuda	         	2001 - 2500
ARG	Argentina			2501 - 3000
ARM	Armenia		         	3001 - 3500
AST	Australia			3501 - 4000
AUS	Austria		         	4501 - 5000
AZB	Azerbaijan			5001 - 5500
BRU	Bahamas		         	5501 - 6000
CAL	Bangladesh			6001 - 6500
DFR	Barbados			6501 - 7000
BLR	Belarus		         	7001 - 7500
BEL	Belgium		         	7501 - 8000
CSA	Belize                          8001 - 8500
BEN	Benin		         	8501 - 9000
BHU	Tamil Eelam               	9001 - 9500
BOL	Bolivia		         	9501 - 10000
BOS	Bosnia & Herzegovina      	10001 - 10500
U07	Botswana			10501 - 11000
BRA	Brazil		                11001 - 11500
BUL	Bulgaria			11501 - 12000
U08	Burkina Faso			12001 - 12500
BUR	Burma		         	12501 - 13000
CMB	Cambodia			13001 - 13500
CAM	Cameroon			13501 - 14000
CAN	Canada		         	14001 - 14500
AXI	Cap Verde			14501 - 15000
U10	Centralafrican Republic    	15001 - 15500
OTT	Chad		         	15501 - 16000
CHI	Chechnya			16001 - 16500
CHL	Chile		         	16501 - 17000
CHC	China		         	17001 - 17500
COL	Colombia			17501 - 18000
COS	Costa Rica			18001 - 18500
CRO	Croatia		         	18501 - 19000
CUB	Cuba		         	19001 - 19500
CYP	Cyprus		         	19501 - 20000
CZE	Czech Republic	         	20001 - 20500
U11	Democratic Republic of Congo	20501 - 21000
DEN	Denmark		         	21001 - 21500
DDR	Djibouti			21501 - 22000
DOM	Dominican Republic		22001 - 22500
TEX	East Timor			22501 - 23000
ECU	Ecuador		         	23001 - 23500
EGY	Egypt		         	23501 - 24000
SAL	El Salvador			24001 - 24500
EQA	Equatorial Guinea		24501 - 25000
U13	Eritrea		         	25001 - 25500
EST	Estonia		         	25501 - 26000
ETH	Ethiopia			26001 - 26500
U06	FARC			        26501 - 27000
TEX	Federation of Micronesia	27001 - 27500
FLA	Fiji			        27501 - 28000
FIN	Finland		         	28001 - 28500
FRA	France		         	28501 - 29000
SCA	FYROM		         	29001 - 29500
GAB	Gabon		         	29501 - 30000
         	        30001 - 30500
GEO	Georgia		         	30501 - 31000
GER	Germany		         	31001 - 31500
GLD	Ghana		         	31501 - 32000
GRE	Greece		         	32001 - 32500
ALS	Grenada		         	32501 - 33000
GUA	Guatemala			33001 - 33500
GUI	Guinea		         	33501 - 34000
IDC	Guinea-Bissau	         	34001 - 34500
GUY	Guyana		         	34501 - 35000
HAI	Haiti		         	35001 - 35500
HON	Honduras			35501 - 36000
HUN	Hungary		         	36001 - 36500
ICL	Iceland		         	36501 - 37000
IND	India		         	37001 - 37500
INO	Indonesia			37501 - 38000
PER	Iran		         	38001 - 38500
IRQ	Iraq		         	38501 - 39000
IRE	Ireland		         	39001 - 39500
ISR	Israel		         	39501 - 40000
ITA	Italy		         	40001 - 40500
U12	Ivory Coast			40501 - 41000
CSX	Jamaica		         	41001 - 41500
JAP	Japan		         	41501 - 42000
JOR	Jordan		         	42001 - 42500
KAZ	Kazakhstan			42501 - 43000
U15	Kenya		         	43001 - 43500
EAF	Kiribati			43501 - 44000
KUR	Kurdistan			44001 - 44500
U16	Kuwait		         	44501 - 45000
KYG	Kyrgyzstan			45001 - 45500
LAO	Laos		         	45501 - 46000
EUS	Lappland			46001 - 46500
LAT	Latvia		         	46501 - 47000
LEB	Lebanon		         	47001 - 47500
LIB	Liberia		         	47501 - 48000
LBY	Libya		         	48001 - 48500
LIT	Lithuania			48501 - 49000
LUX	Luxembourg			49001 - 49500
MAD	Madagascar			49501 - 50000
U05	Malawi		         	50001 - 50500
MLY	Malaysia			50501 - 51000
MAL	Mali		         	51001 - 51500
MAN	Malta		         	51501 - 52000
PRI	Marshall Islands		52001 - 52500
MEN	Mauritania			52501 - 53000
U02	Mauritius			53001 - 53500
