Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Daoud;280000;AFG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Etemadi;280001;AFG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Ghani;280002;AFG;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Gholam Wali;280003;AFG;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
Husain;280004;AFG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Mazharam;280005;AFG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Seraj;280006;AFG;2003;2030;2030;2030;2;4;256;0;0;5;0;;2003;2030;2030;x
Shah Ghazi;280007;AFG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Tarzi;280008;AFG;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Wali;280009;AFG;2003;2030;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Zahir;280010;AFG;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Daoud;280011;AFG;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Serafini;280012;AFG;2003;2003;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
