Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Hoxha;34587;ALB;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Jaxha;34588;ALB;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Komani;34589;ALB;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Kristo;34590;ALB;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
Nergutti;34595;ALB;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Percy;34596;ALB;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Pervizi;34597;ALB;2003;2030;2030;2030;2;4;256;0;0;5;0;;2003;2030;2030;x
Shatun;34598;ALB;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Shehu;34599;ALB;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Trajce;34600;ALB;2003;2030;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Ypi;34601;ALB;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Ghaxa;34604;ALB;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Kristo;34605;ALB;2003;2003;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Pakazi;34606;ALB;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Agolli;34607;ALB;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Musai;34610;ALB;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Pervizi;34611;ALB;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
