Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Carvalho;568001;ANG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
d'Aluz Ribeiro;568002;ANG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
da Silveira Malheiro;568003;ANG;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
de Freitas Morna;568004;ANG;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
de Morais Sarmento;568005;ANG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
de Paula Pinheido;568006;ANG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Domingues;568007;ANG;2003;2030;2030;2030;2;4;256;0;0;5;0;;2003;2030;2030;x
Fragosa de Carmona;568008;ANG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Gomes da Costa;568009;ANG;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Lopes Alves;568010;ANG;2003;2030;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Lopes Soares Branco;568011;ANG;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Macedo é Brito;568012;ANG;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Perreira de Eca;568013;ANG;2003;2003;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Placido Durarte;568014;ANG;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Rodrigues;568015;ANG;2003;2003;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
da Costa Andrade;568016;ANG;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Ribeiro;568018;ANG;2003;2003;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
d'Aluz Ribeiro;568020;ANG;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
de Freitas Morna;568021;ANG;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Fangueiro;568022;ANG;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
