Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Bardolff;2700;AUS;2003;2030;2030;2030;2;4;128;1;0;5;0;;2003;2030;2030;x
Barger;2701;AUS;2003;2030;2030;2030;2;4;8;1;0;5;0;;2003;2030;2030;x
Bassler;2702;AUS;2003;2030;2030;2030;2;4;0;4;0;5;0;;2003;2030;2030;x
Beyer;2703;AUS;2003;2030;2030;2030;2;4;4;1;0;5;0;;2003;2030;2030;x
Bornemann;2704;AUS;2003;2030;2030;2030;2;4;16;1;0;5;0;;2003;2030;2030;x
Britzelmayr;2705;AUS;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
Eglseer;2706;AUS;2003;2030;2030;2030;2;4;2;3;0;5;0;;2003;2030;2030;x
Eppich;2707;AUS;2003;2030;2030;2030;2;4;0;3;0;5;0;;2003;2030;2030;x
Ernst;2708;AUS;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Feurstein;2709;AUS;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Gebauer;2710;AUS;2003;2030;2030;2030;2;4;256;1;0;5;0;;2003;2030;2030;x
Glaise-Horstenau;2711;AUS;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Gräser;2712;AUS;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Hammer;2713;AUS;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Haselmayr;2714;AUS;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Hickmann;2715;AUS;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Kienbauer;2716;AUS;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Kotik;2717;AUS;2003;2003;2030;2030;2;4;0;3;0;5;0;;2003;2030;2030;x
Kritek;2718;AUS;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Kubena;2719;AUS;2003;2003;2030;2030;2;4;0;3;0;5;0;;2003;2030;2030;x
Leitner;2720;AUS;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Martinek;2721;AUS;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Materna;2722;AUS;2003;2030;2030;2030;2;4;0;0;0;5;1;;2003;2030;2030;x
Meixner von Zweienstamm;2723;AUS;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Mickl;2724;AUS;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Moyses;2725;AUS;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Pohl;2726;AUS;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Rendulic;2727;AUS;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Schaffarz;2728;AUS;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Schariczer von Rény;2729;AUS;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
