Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Luis Feliu;78501;U00;2003;2003;2003;2003;3;9;256;3;20;5;0;L76001;2003;2030;2030;x
Arnau Lloret;78502;U00;2003;2003;2011;2030;3;9;16;1;0;5;1;Unknown;2003;2030;2030;x
Pere Guerra;78503;U00;2003;2003;2011;2030;3;9;128;1;10;5;0;Unknown;2003;2030;2030;x
Albert Armisen;78504;U00;2003;2003;2011;2030;3;9;128;1;5;5;0;Unknown;2003;2030;2030;x
Enric Cardona;78505;U00;2003;2003;2011;2030;1;9;8;1;0;5;0;Unknown;2003;2030;2030;x
Alex Gummà;78506;U00;2003;2003;2011;2030;3;9;2;1;0;5;0;Unknown;2003;2030;2030;x
Ferran Oller;78507;U00;2003;2003;2011;2030;3;9;2048;1;0;5;0;Unknown;2003;2030;2030;x
Francesc Armengol;78508;U00;2003;2003;2011;2030;3;9;2;1;0;5;0;Unknown;2003;2030;2030;x
James Birch;78509;U00;2003;2003;2011;2030;3;9;2;1;0;5;0;Unknown;2003;2030;2030;x
Nil MB;78510;U00;2003;2003;2005;2011;3;9;131072;1;0;5;1;Unknown;2003;2020;
