Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Crisolli;517007;BLR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Domansky;517008;BLR;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Dowbor-Musnicki;517009;BLR;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Heyden;517013;BLR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Kalinovski;517014;BLR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Kaminski;517015;BLR;2003;2003;2030;2030;2;4;0;3;0;5;0;;2003;2030;2030;x
Mazuw;517016;BLR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Petrukhin;517017;BLR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Pokrovski;517018;BLR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Primakov;517021;BLR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Sharangovich;517022;BLR;2003;2030;2030;2030;2;4;0;3;0;5;1;;2003;2030;2030;x
Shermentski;517023;BLR;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Suerata;517024;BLR;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Tschernurkin;517025;BLR;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
