Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Arandos Villa;170000;BOL;2003;2030;2030;2030;2;4;128;1;0;5;0;;2003;2030;2030;x
Ballivián Rojas;170001;BOL;2003;2030;2030;2030;2;4;8;1;0;5;0;;2003;2030;2030;x
Bilbao Roja;170002;BOL;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Blanco Galindo;170003;BOL;2003;2030;2030;2030;2;4;4;1;0;5;0;;2003;2030;2030;x
Busch Beccera;170004;BOL;2003;2030;2030;2030;2;4;16;1;0;5;0;;2003;2030;2030;x
Chacón Morales;170005;BOL;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
Eduardo Sanchéz;170006;BOL;2003;2030;2030;2030;2;4;2;0;0;5;0;;2003;2030;2030;x
Franco Rafél;170007;BOL;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Kundt;170008;BOL;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Pastor Baldiviseo;170016;BOL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Peñaranda del Castillo;170017;BOL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Pinto Sanchez;170018;BOL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Quintanilla Quiroga;170019;BOL;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Salinas Arromayo;170020;BOL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Toro Ruilova;170021;BOL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Arancha Basutto;170024;BOL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Arandos Villa;170025;BOL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Ibarra Juarez;170026;BOL;2003;2030;2030;2030;2;4;0;0;0;5;2;;2003;2030;2030;x
Marzana Reyés;170027;BOL;2003;2030;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Arancha Basutto;170028;BOL;2003;2030;2030;2030;2;4;0;0;0;5;2;;2003;2030;2030;x
Bilbao Roja;170029;BOL;2003;2030;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
