Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Simic;10000;BOS;2003;2003;2003;2003;0;9;4;1;0;5;0;L10000;2003;2030;2030;x
Kukobat;10001;BOS;2003;2003;2003;2010;1;9;0;1;0;5;0;L10001;2003;2030;2030;x
Savic;10002;BOS;2003;2003;2003;2009;1;9;8;2;0;5;0;L10002;2003;2030;2030;x
Curcic;10003;BOS;2003;2003;2003;2013;1;9;0;1;0;5;0;L10003;2003;2030;2030;x
Novakovic;10004;BOS;2003;2003;2008;2015;2;9;0;2;0;5;0;L10004;2003;2030;2030;x
Paprica;10005;BOS;2003;2003;2006;2010;1;9;12;2;0;5;0;L10005;2003;2030;2030;x
Mladjenovic;10006;BOS;2003;2003;2009;2010;2;9;0;1;0;5;0;L10006;2003;2030;2030;x
Djukic;10007;BOS;2003;2003;2010;2020;2;9;0;1;0;5;0;L10007;2003;2005;x
Siljegovic;10008;BOS;2003;2003;2007;2009;0;9;288;3;0;5;0;L10008;2003;2030;2030;x
Veletic;10009;BOS;2003;2003;2010;2018;2;9;64;1;0;5;0;L10009;2003;2030;2030;x
Dudakovic;10010;BOS;2003;2003;2003;2005;0;9;84;3;0;5;0;L10010;2003;2030;2030;x
Sladojevic;10011;BOS;2003;2003;2006;2010;2;9;8;2;0;5;0;L10011;2003;2030;2030;x
Karavelic;10012;BOS;2003;2003;2006;2008;1;9;140;3;0;5;0;L10012;2003;2030;2030;x
Drekovic;10013;BOS;2003;2003;2009;2013;2;9;8;2;0;5;0;L10013;2003;2030;2030;x
Sokanovic;10014;BOS;2003;2003;2010;2018;3;9;0;1;0;5;0;L10014;2003;2030;2030;x
Zeko;10015;BOS;2003;2003;2007;2015;2;9;64;2;0;5;0;L10015;2003;2030;2030;x
Cuskic;10016;BOS;2003;2006;2010;2013;2;9;256;2;0;5;0;L10016;2003;2030;2030;x
Bisic;10017;BOS;2003;2006;2010;2013;3;9;0;1;0;5;0;L10017;2003;2030;2030;x
Ganic;10018;BOS;2003;2005;2007;2014;2;9;1;1;0;5;0;L10018;2003;2030;2030;x
Hadzic;10019;BOS;2003;2008;2013;2020;3;9;0;1;0;5;0;L10019;2003;2030;2030;x
Sedic;10020;BOS;2003;2010;2015;2020;3;9;0;0;0;5;0;L10020;2003;2030;2030;x
Bahto;10021;BOS;2003;2005;2008;2010;1;9;11;2;0;5;0;L10021;2003;2030;2030;x
Ismet;10022;BOS;2003;2009;2014;2020;3;9;512;1;0;5;0;L10022;2003;2030;2030;x
Budakovic;10023;BOS;2003;2008;2010;2013;2;9;513;2;0;5;0;L10023;2003;2030;2030;x
Lendo;10024;BOS;2003;2008;2011;2016;1;9;128;2;0;5;0;L10024;2003;2030;2030;x
Music;10025;BOS;2003;2006;2011;2020;3;9;0;1;0;5;0;L10025;2003;2030;2030;x
Sesar;10026;BOS;2003;2007;2011;2018;3;9;2;1;0;5;0;L10026;2003;2030;2030;x
Francesevic;10027;BOS;2003;2008;2014;2020;2;9;0;0;0;5;0;L10027;2003;2030;2030;x
Martic;10028;BOS;2003;2008;2014;2020;3;9;0;1;0;5;0;L10028;2003;2030;2030;x
Podzic;10029;BOS;2003;2005;2008;2010;0;9;192;2;0;5;0;L10029;2003;2030;2030;x
Dragicevic;10030;BOS;2003;2003;2008;2016;1;9;0;2;0;5;0;L10030;2003;2030;2030;x
Busic;10031;BOS;2003;2007;2011;2015;3;9;0;1;0;5;1;L10031;2003;2030;2030;x
Gelic;10032;BOS;2003;2007;2011;2015;3;9;4096;1;0;5;1;L10032;2003;2030;2030;x
Basic;10033;BOS;2003;2007;2011;2015;3;9;2048;1;0;5;1;L10033;2003;2030;2030;x
Cetkovic;10034;BOS;2003;2006;2009;2016;3;9;131072;1;0;5;2;L10034;2003;2030;2030;x
Siljegovic;10035;BOS;2003;2003;2005;2018;3;9;0;1;0;5;2;L10035;2003;2030;2030;x
Hrustic;10036;BOS;2003;2003;2005;2020;0;9;4096;2;0;5;2;L10036;2003;2030;2030;x
Mlakic;10037;BOS;2003;2006;2009;2019;1;9;65536;3;0;5;2;L10037;2003;2030;2030;x
Kecman ;10038;BOS;2003;2008;2010;2011;3;9;16384;1;0;5;2;L10038;2003;2030;2030;x
Gvozden;10039;BOS;2003;2010;2012;2016;2;9;0;1;0;5;2;L10039;2003;2030;2030;x
Zinajic;10040;BOS;2003;2005;2009;2015;2;9;0;1;0;5;2;L10040;2003;2030;2030;x
