Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Alberto Venâncio;331000;BRA;2003;2030;2030;2030;2;4;128;1;0;5;0;;2003;2030;2030;x
Aurélio de Monteiro;331002;BRA;2003;2030;2030;2030;2;4;0;3;0;5;0;;2003;2030;2030;x
Barata de Azevedo;331003;BRA;2003;2030;2030;2030;2;4;4;3;0;5;0;;2003;2030;2030;x
Barbosa;331004;BRA;2003;2030;2030;2030;2;4;16;1;0;5;0;;2003;2030;2030;x
Borges da Fonseca Neto;331005;BRA;2003;2030;2030;2030;2;4;2;2;0;5;0;;2003;2030;2030;x
Cardoso;331006;BRA;2003;2030;2030;2030;2;4;2;2;0;5;0;;2003;2030;2030;x
Cassiano;331007;BRA;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Castello Branca;331008;BRA;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Chadavec de Lavalade;331009;BRA;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Coelho Neto;331010;BRA;2003;2030;2030;2030;2;4;256;1;0;5;0;;2003;2030;2030;x
Cordeiro de Farias;331011;BRA;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Costa é Silva;331012;BRA;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
d'Alincourt Fonseca;331013;BRA;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
da Gama Leirós;331014;BRA;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
de Souza Dantas de Melo;331017;BRA;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Dilermando de Assis;331018;BRA;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
do Nascimento;331019;BRA;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
do Nascimento Lins;331020;BRA;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Falconeiro da Cunha;331022;BRA;2003;2030;2030;2030;2;4;0;3;0;5;1;;2003;2030;2030;x
Fernandes da Silva;331023;BRA;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Figueiredo;331024;BRA;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Fiuza de Castro;331025;BRA;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Floriano de Lima Brayner;331026;BRA;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Gaspar Dutra;331027;BRA;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Gleuber Viera;331028;BRA;2003;2030;2030;2030;2;4;0;3;0;5;1;;2003;2030;2030;x
Góes Depóe;331029;BRA;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Góes Monteiro;331030;BRA;2003;2030;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Guimarés;331031;BRA;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Leitão de Carvalho;331034;BRA;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Lopes Veira;331035;BRA;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Mascarenhas de Morais;331036;BRA;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Napoleão Poeta;331037;BRA;2003;2003;2030;2030;2;4;65536;3;0;5;2;;2003;2030;2030;x
Neves da Fontoura;331038;BRA;2003;2003;2030;2030;2;4;8704;2;0;5;2;;2003;2030;2030;x
Newton Cavalcanti;331039;BRA;2003;2003;2030;2030;2;4;32768;1;0;5;2;;2003;2030;2030;x
Perdra Pires;331040;BRA;2003;2030;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Pereira da Costa;331041;BRA;2003;2030;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Plinio Pitaluga;331042;BRA;2003;2030;2030;2030;2;4;0;4;0;5;1;;2003;2030;2030;x
Ramos de Andrade;331043;BRA;2003;2030;2030;2030;2;4;4;1;0;5;1;;2003;2030;2030;x
Ruschel Vasconcelos;331044;BRA;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Se Sá Serrão;331045;BRA;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Solon Ribeiro;331046;BRA;2003;2030;2030;2030;2;4;0;3;0;5;1;;2003;2030;2030;x
Tavares da Silva;331047;BRA;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Teixeira Lott;331048;BRA;2003;2030;2030;2030;2;4;128;3;0;5;0;;2003;2030;2030;x
Valgas Neves;331049;BRA;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Zenóbio da Costa;331050;BRA;2003;2030;2030;2030;2;4;256;1;0;5;0;;2003;2030;2030;x
Álvaro Alberto;331051;BRA;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Álvaro do Cabo;331052;BRA;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
