Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Atanasov;34000;BUL;2003;2030;2030;2030;2;4;128;1;0;5;0;;2003;2030;2030;x
Bakyrdjiev;34001;BUL;2003;2030;2030;2030;2;4;8;1;0;5;0;;2003;2030;2030;x
Boratchev;34002;BUL;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Boydev;34004;BUL;2003;2030;2030;2030;2;4;16;1;0;5;0;;2003;2030;2030;x
Bylgaranov;34005;BUL;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
Daskalov;34006;BUL;2003;2030;2030;2030;2;4;2;0;0;5;0;;2003;2030;2030;x
Dilchovski;34007;BUL;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Dotcev;34008;BUL;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Grekov;34014;BUL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Hadjiivanov;34015;BUL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Hadjipetkov;34016;BUL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Iliev;34017;BUL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Iovov;34018;BUL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Ivanov;34019;BUL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Kinov;34020;BUL;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Kiril Preslavski;34021;BUL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Kisiov;34022;BUL;2003;2030;2030;2030;2;4;0;0;0;5;1;;2003;2030;2030;x
Koptchev;34023;BUL;2003;2030;2030;2030;2;4;2;1;0;5;1;;2003;2030;2030;x
Kozovski;34024;BUL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Krystev;34025;BUL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Lukov;34027;BUL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Marinkov;34028;BUL;2003;2030;2030;2030;2;4;0;0;0;5;1;;2003;2030;2030;x
Markov;34031;BUL;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Martchev;34032;BUL;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Midilev;34033;BUL;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Mihov;34034;BUL;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Mintchev;34035;BUL;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Murnov;34036;BUL;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Nikolov;34038;BUL;2003;2003;2030;2030;2;4;8704;2;0;5;2;;2003;2030;2030;x
Novakov;34039;BUL;2003;2003;2030;2030;2;4;32768;1;0;5;2;;2003;2030;2030;x
