Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
An San Kham;541000;CMB;2003;2030;2030;2030;2;4;128;1;0;5;0;;2003;2030;2030;x
Chhun Lim;541001;CMB;2003;2030;2030;2030;2;4;8;1;0;5;0;;2003;2030;2030;x
Claude;541002;CMB;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Coquoin;541003;CMB;2003;2030;2030;2030;2;4;4;1;0;5;0;;2003;2030;2030;x
Kieng Vang;541007;CMB;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Lon Nol;541010;CMB;2003;2030;2030;2030;2;4;256;1;0;5;0;;2003;2030;2030;x
Sakiwat Phirun;541014;CMB;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Sihanouk Norodom;541015;CMB;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Sisowath Monireth;541016;CMB;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Sisowath Monivong;541017;CMB;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Son Sen;541019;CMB;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Tranape;541020;CMB;2003;2030;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Claude;541021;CMB;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Hy Weng;541022;CMB;2003;2030;2030;2030;2;4;0;0;0;5;1;;2003;2030;2030;x
Norodom Sihanouk;541023;CMB;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
