Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Hillier;14001;CAN;2003;2003;2003;2003;0;5;130;3;0;5;0;L14001;2003;2030;2030;x
Caron;14002;CAN;2003;2003;2003;2100;1;5;3;2;0;5;0;L14002;2003;2030;2030;x
Maissoneuve;14003;CAN;2003;2003;2003;2100;1;5;0;2;0;5;0;L14003;2003;2030;2030;x
Fitch;14004;CAN;2003;2003;2100;2100;2;5;0;1;0;5;0;L14004;2003;2030;2030;x
Tousignant;14005;CAN;2003;2003;2100;2100;2;5;257;2;0;5;0;L14005;2003;2030;2030;x
Fenton;14006;CAN;2003;2003;2100;2100;2;5;0;2;0;5;0;L14006;2003;2030;2030;x
Arp;14007;CAN;2003;2003;2100;2100;2;5;0;1;0;5;0;L14007;2003;2030;2030;x
Fitch;14008;CAN;2003;2003;2100;2100;2;5;33;2;0;5;0;L14008;2003;2030;2030;x
Gauthier;14009;CAN;2003;2003;2100;2100;2;5;0;2;0;5;0;L14009;2003;2030;2030;x
Leslie;14010;CAN;2003;2003;2100;2100;2;5;276;4;0;5;0;L14010;2003;2030;2030;x
Lessard;14011;CAN;2003;2003;2100;2100;2;5;0;1;0;5;0;L14011;2003;2030;2030;x
Pitzul;14012;CAN;2003;2003;2100;2100;2;5;0;0;0;5;0;L14012;2003;2030;2030;x
Natynczyk;14013;CAN;2003;2003;2100;2100;2;5;3;2;0;5;0;L14013;2003;2030;2030;x
Bouchard;14014;CAN;2003;2003;2100;2100;2;5;3;2;0;5;0;L14014;2003;2030;2030;x
Grant;14015;CAN;2003;2100;2100;2100;3;5;128;3;0;5;0;L14015;2003;2030;2030;x
Wynnyk;14016;CAN;2003;2100;2100;2100;3;5;32;3;0;5;0;L14016;2003;2030;2030;x
Burns;14017;CAN;2003;2100;2100;2100;3;5;0;1;0;5;0;L14017;2003;2030;2030;x
Wayne;14018;CAN;2003;2100;2100;2100;3;5;0;1;0;5;0;L14018;2003;2030;2030;x
Woiden;14019;CAN;2003;2100;2100;2100;3;5;0;1;0;5;0;L14019;2003;2030;2030;x
Collin;14020;CAN;2003;2100;2100;2100;3;5;132;2;0;5;0;L14020;2003;2030;2030;x
Beare;14021;CAN;2003;2100;2100;2100;3;5;2;2;0;5;0;L14021;2003;2030;2030;x
Simms;14022;CAN;2003;2100;2100;2100;3;5;1;2;0;5;0;L14022;2003;2030;2030;x
Barabé;14023;CAN;2003;2100;2100;2100;3;5;0;1;0;5;0;L14023;2003;2030;2030;x
Benjamin;14024;CAN;2003;2100;2100;2100;3;5;32;2;0;5;0;L14024;2003;2030;2030;x
Davis;14025;CAN;2003;2100;2100;2100;3;5;128;3;0;5;0;L14025;2003;2030;2030;x
Devlin;14026;CAN;2003;2100;2100;2100;3;5;256;3;0;5;0;L14026;2003;2030;2030;x
Giguère;14027;CAN;2003;2100;2100;2100;3;5;1;0;0;5;0;L14027;2003;2030;2030;x
MacDonald;14028;CAN;2003;2100;2100;2100;3;5;128;1;0;5;0;L14028;2003;2030;2030;x
Mitchell;14029;CAN;2003;2100;2100;2100;3;5;256;2;0;5;0;L14029;2003;2030;2030;x
Holt;14030;CAN;2003;2100;2100;2100;3;5;129;1;0;5;0;L14030;2003;2030;2030;x
Jaeger;14031;CAN;2003;2100;2100;2100;3;5;1;0;0;5;0;L14031;2003;2030;2030;x
Lacroix;14032;CAN;2003;2100;2100;2100;3;5;132;2;0;5;0;L14032;2003;2030;2030;x
McQuillan;14033;CAN;2003;2100;2100;2100;3;5;1;0;0;5;0;L14033;2003;2030;2030;x
Nordick;14034;CAN;2003;2100;2100;2100;3;5;16;1;0;5;0;L14034;2003;2030;2030;x
Pepin;14035;CAN;2003;2100;2100;2100;3;5;3;1;0;5;0;L14035;2003;2030;2030;x
Romses;14036;CAN;2003;2100;2100;2100;3;5;260;2;0;5;0;L14036;2003;2030;2030;x
Skidmore;14037;CAN;2003;2100;2100;2100;3;5;256;2;0;5;0;L14037;2003;2030;2030;x
Thibault;14038;CAN;2003;2100;2100;2100;3;5;1;1;0;5;0;L14038;2003;2030;2030;x
Ward;14039;CAN;2003;2100;2100;2100;3;5;128;1;0;5;0;L14039;2003;2030;2030;x
Bourque;14040;CAN;2003;2100;2100;2100;3;5;0;0;0;5;0;L14040;2003;2030;2030;x
Tabbernon;14041;CAN;2003;2100;2100;2100;3;5;2;1;0;5;0;L14041;2003;2030;2030;x
Young;14042;CAN;2003;2100;2100;2100;3;5;384;2;0;5;0;L14042;2003;2030;2030;x
Gillespie;14043;CAN;2003;2100;2100;2100;3;5;2;1;0;5;0;L14043;2003;2030;2030;x
Bruce;14044;CAN;2003;2100;2100;2100;3;5;0;1;0;5;0;L14044;2003;2030;2030;x
Parsons;14045;CAN;2003;2100;2100;2100;3;5;0;1;0;5;0;L14045;2003;2030;2030;x
Préfontaine;14046;CAN;2003;2100;2100;2100;3;5;0;0;0;5;0;L14046;2003;2030;2030;x
O’Brien;14047;CAN;2003;2100;2100;2100;3;5;4;1;0;5;0;L14047;2003;2030;2030;x
Buck;14048;CAN;2003;2003;2003;2100;1;5;8192;2;0;5;1;L14048;2003;2030;2030;x
Davidson;14049;CAN;2003;2003;2003;2100;1;5;0;2;0;5;1;L14049;2003;2030;2030;x
Forcier;14050;CAN;2003;2003;2003;2100;1;5;4096;2;0;5;1;L14050;2003;2030;2030;x
Jarvis;14051;CAN;2003;2003;2003;2100;1;5;0;1;0;5;1;L14051;2003;2030;2030;x
MacLean;14052;CAN;2003;2003;2003;2100;1;5;2024;3;0;5;1;L14052;2003;2030;2030;x
McNeil;14053;CAN;2003;2003;2100;2100;2;5;4096;2;0;5;1;L14053;2003;2030;2030;x
