Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Ariosto Otarés;140001;CHL;2003;2030;2030;2030;2;4;128;1;0;5;0;;2003;2030;2030;x
Arraya Stiglich;140002;CHL;2003;2030;2030;2030;2;4;8;1;0;5;0;;2003;2030;2030;x
Barrios Tirado;140003;CHL;2003;2030;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Canas Montalva;140005;CHL;2003;2030;2030;2030;2;4;4;2;0;5;0;;2003;2030;2030;x
Danus Peña;140008;CHL;2003;2030;2030;2030;2;4;16;1;0;5;0;;2003;2030;2030;x
Escudero Otarola;140009;CHL;2003;2030;2030;2030;2;4;2;1;0;5;0;;2003;2030;2030;x
Espinoza Mujica;140010;CHL;2003;2030;2030;2030;2;4;2;2;0;5;0;;2003;2030;2030;x
Fuentes Pantoja;140014;CHL;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Fuentes Rabe;140015;CHL;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Izurieta Molina;140016;CHL;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Mezzana;140018;CHL;2003;2030;2030;2030;2;4;256;1;0;5;0;;2003;2030;2030;x
Migueles Caridi;140019;CHL;2003;2003;2030;2030;2;4;0;3;0;5;0;;2003;2030;2030;x
Novoa Fuentes;140021;CHL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Osuña Marcando;140022;CHL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Parada Moreno;140024;CHL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Pastore Sanchez;140025;CHL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Ponce Arellano;140026;CHL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Portales Mourgues;140027;CHL;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Quezada Calvo;140028;CHL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Telléz Castro;140030;CHL;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Urcullu de la Vega;140031;CHL;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Urrutía;140032;CHL;2003;2030;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Vidal Vargas;140035;CHL;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Vignola Cortes;140036;CHL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Allard Pinto;140037;CHL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Alvarez Jaramillo;140038;CHL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Consiglio Rebora;140039;CHL;2003;2030;2030;2030;2;4;0;0;0;5;1;;2003;2030;2030;x
Gomez Carreño;140044;CHL;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Gustavo Silva;140045;CHL;2003;2030;2030;2030;2;4;0;0;0;5;1;;2003;2030;2030;x
Laréns Quijada;140047;CHL;2003;2030;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Meriño Bielich;140048;CHL;2003;2030;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Rodriguez Sepulveda;140051;CHL;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Aracena Aguilar;140053;CHL;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Barros Ortiz;140054;CHL;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Castro Lopez;140055;CHL;2003;2003;2030;2030;2;4;0;3;0;5;2;;2003;2030;2030;x
Celedon Palma;140056;CHL;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Cellejas Rojas;140057;CHL;2003;2003;2030;2030;2;4;0;2;0;5;2;;2003;2030;2030;x
Gonzalez Nolle;140059;CHL;2003;2003;2030;2030;3;8;65536;4;0;5;2;;2003;2030;2030;x
Grove Vallejo;140060;CHL;2003;2003;2030;2030;2;4;8704;2;0;5;2;;2003;2030;2030;x
