Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Cao ;76501;CHC;2003;2003;2003;2099;1;9;129;3;0;5;0;CL1;2003;2030;2030;x
Chen ;76502;CHC;2003;2003;2003;2099;1;9;3;2;0;5;0;CL2;2003;2030;2030;x
Guo ;76503;CHC;2003;2003;2003;2003;0;7;0;3;0;5;0;CL3;2003;2030;2030;x
Li ;76504;CHC;2003;2003;2003;2099;1;9;514;2;0;5;0;CL4;2003;2030;2030;x
Liang ;76505;CHC;2003;2003;2003;2099;1;9;20;3;0;5;0;CL5;2003;2030;2030;x
Liao ;76506;CHC;2003;2003;2003;2099;1;9;513;2;0;5;0;CL6;2003;2030;2030;x
Liu ;76507;CHC;2003;2003;2003;2099;1;9;515;2;0;5;0;CL7;2003;2030;2030;x
Chian ;76508;CHC;2003;2003;2003;2099;1;9;516;2;0;5;0;CL8;2003;2030;2030;x
Tang ;76509;CHC;2003;2003;2003;2099;1;9;513;2;0;5;0;CL9;2003;2030;2030;x
Wen ;76510;CHC;2003;2003;2003;2099;1;9;10;2;0;5;0;CL10;2003;2030;2030;x
Wu ;76511;CHC;2003;2003;2003;2099;1;9;28;2;0;5;0;CL11;2003;2030;2030;x
Wu ;76512;CHC;2003;2003;2003;2099;1;9;3;3;0;5;0;CL12;2003;2030;2030;x
Shiong ;76513;CHC;2003;2003;2003;2099;1;9;6;2;0;5;0;CL13;2003;2030;2030;x
Shu ;76514;CHC;2003;2003;2003;2099;1;9;1;2;0;5;0;CL14;2003;2030;2030;x
Yang ;76515;CHC;2003;2003;2003;2099;1;9;34;2;0;5;0;CL15;2003;2030;2030;x
Cen ;76516;CHC;2003;2003;2099;2099;2;9;257;2;0;5;0;CL16;2003;2030;2030;x
Chi ;76517;CHC;2003;2003;2099;2099;2;9;1;3;0;5;0;CL17;2003;2030;2030;x
Fan ;76518;CHC;2003;2003;2099;2099;2;9;2;2;0;5;0;CL18;2003;2030;2030;x
Gao ;76519;CHC;2003;2003;2099;2099;2;9;2;2;0;5;0;CL19;2003;2030;2030;x
Ge ;76520;CHC;2003;2003;2099;2099;2;9;6;3;0;5;0;CL20;2003;2030;2030;x
Gui ;76521;CHC;2003;2003;2099;2099;2;9;4;3;0;5;0;CL21;2003;2030;2030;x
Guo ;76522;CHC;2003;2003;2099;2099;2;9;4;2;0;5;0;CL22;2003;2030;2030;x
Gu ;76523;CHC;2003;2003;2099;2099;2;9;4;2;0;5;0;CL23;2003;2030;2030;x
Jing ;76524;CHC;2003;2003;2099;2099;2;9;245;3;0;5;0;CL24;2003;2030;2030;x
Li ;76525;CHC;2003;2003;2099;2099;2;9;24;2;0;5;0;CL25;2003;2030;2030;x
Li ;76526;CHC;2003;2003;2099;2099;2;9;1;2;0;5;0;CL26;2003;2030;2030;x
Li ;76527;CHC;2003;2003;2099;2099;2;9;6;2;0;5;0;CL27;2003;2030;2030;x
Li ;76528;CHC;2003;2003;2099;2099;2;9;168;3;0;5;0;CL28;2003;2030;2030;x
Li ;76529;CHC;2003;2003;2099;2099;2;9;168;3;0;5;0;CL29;2003;2030;2030;x
Li ;76530;CHC;2003;2003;2099;2099;2;9;6;2;0;5;0;CL30;2003;2030;2030;x
Liu ;76531;CHC;2003;2003;2099;2099;2;9;1;2;0;5;0;CL31;2003;2030;2030;x
Liu ;76532;CHC;2003;2003;2099;2099;2;9;281;2;0;5;0;CL32;2003;2030;2030;x
Liu ;76533;CHC;2003;2003;2099;2099;2;9;272;3;0;5;0;CL33;2003;2030;2030;x
Liu ;76534;CHC;2003;2003;2099;2099;2;9;253;3;0;5;0;CL34;2003;2030;2030;x
Ma ;76535;CHC;2003;2003;2099;2099;2;9;20;2;0;5;0;CL35;2003;2030;2030;x
Mao ;76536;CHC;2003;2003;2099;2099;2;9;261;2;0;5;0;CL36;2003;2030;2030;x
Meng ;76537;CHC;2003;2003;2099;2099;2;9;20;2;0;5;0;CL37;2003;2030;2030;x
Nie ;76538;CHC;2003;2003;2099;2099;2;9;32;3;4;5;0;CL38;2003;2030;2030;x
Ou ;76539;CHC;2003;2003;2099;2099;2;9;1;2;0;5;0;CL39;2003;2030;2030;x
Pan ;76540;CHC;2003;2003;2099;2099;2;9;1;2;0;5;0;CL40;2003;2030;2030;x
Peng ;76541;CHC;2003;2003;2099;2099;2;9;253;5;0;5;0;CL41;2003;2030;2030;x
Chian ;76542;CHC;2003;2003;2099;2099;2;9;1;2;0;5;0;CL42;2003;2030;2030;x
Sui ;76543;CHC;2003;2003;2099;2099;2;9;148;3;0;5;0;CL43;2003;2030;2030;x
Sun ;76544;CHC;2003;2003;2099;2099;2;9;512;2;0;5;0;CL44;2003;2030;2030;x
Sun ;76545;CHC;2003;2003;2099;2099;2;9;133;4;0;5;0;CL45;2003;2030;2030;x
Wang ;76546;CHC;2003;2003;2099;2099;2;9;133;2;0;5;0;CL46;2003;2030;2030;x
Wang ;76547;CHC;2003;2003;2099;2099;2;9;34;2;0;5;0;CL47;2003;2030;2030;x
Wang ;76548;CHC;2003;2003;2099;2099;2;9;80;4;0;5;0;CL48;2003;2030;2030;x
Wang ;76549;CHC;2003;2003;2099;2099;2;9;33;2;0;5;0;CL49;2003;2030;2030;x
Wen ;76550;CHC;2003;2003;2099;2099;2;9;3;2;0;5;0;CL50;2003;2030;2030;x
Shiong ;76551;CHC;2003;2003;2099;2099;2;9;273;2;0;5;0;CL51;2003;2030;2030;x
Ye ;76552;CHC;2003;2003;2099;2099;2;9;3;2;0;5;0;CL52;2003;2030;2030;x
Yue ;76553;CHC;2003;2003;2099;2099;2;9;2;2;0;5;0;CL53;2003;2030;2030;x
Zhang ;76554;CHC;2003;2003;2099;2099;2;9;3;3;0;5;0;CL54;2003;2030;2030;x
Zhang ;76555;CHC;2003;2003;2099;2099;2;9;6;2;0;5;0;CL55;2003;2030;2030;x
