Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
David;574000;U11;2003;2030;2030;2030;2;4;128;2;23;5;0;;2003;2030;2030;x
Gerima;574004;U11;2003;2030;2030;2030;2;6;16;1;25;5;0;;2003;2030;2030;x
Kasavubu;574005;U11;2003;2030;2030;2030;2;6;2;1;0;5;0;;2003;2030;2030;x
Manera;574008;U11;2003;2030;2030;2030;2;6;128;2;0;5;0;;2003;2030;2030;x
Mboma;574009;U11;2003;2030;2030;2030;2;6;128;2;0;5;0;;2003;2030;2030;x
Micombero;574010;U11;2003;2030;2030;2030;2;6;256;1;50;5;0;;2003;2030;2030;x
Mobutu;574011;U11;2003;2003;2030;2030;2;6;0;1;0;5;0;;2003;2030;2030;x
Renondeau;574013;U11;2003;2003;2030;2030;2;6;0;1;0;5;0;;2003;2030;2030;x
Berghen;574016;U11;2003;2003;2030;2030;2;4;0;2;30;5;2;;2003;2030;2030;x
Mbonyumutwa;574017;U11;2003;2003;2030;2030;2;4;0;1;0;5;2;;2003;2030;2030;x
Berghen;574021;U11;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Gerima;574022;U11;2003;2030;2030;2030;2;4;0;0;50;5;1;;2003;2030;2030;x
Mahongo;574023;U11;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Manera;574024;U11;2003;2030;2030;2030;2;4;0;1;80;5;1;;2003;2030;2030;x
