Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Acevedo Aléman;128000;CUB;2003;1990;1990;1990;3;3;4;0;0;4;0;;2003;2040;2040;X
Barquin;128001;CUB;2003;1990;1990;1990;3;3;0;0;0;3;0;;2003;2040;2040;X
Cancio Bello;128004;CUB;2003;2003;1990;1990;2;3;64;0;0;4;0;;2003;2040;2040;X
Costa Gomez;128006;CUB;2003;1990;1990;1990;3;3;1;0;0;3;0;;2003;2040;2040;X
Del Castillo;128007;CUB;2003;2003;1990;1990;2;3;0;1;0;3;0;;2003;2040;2040;X
Gonzalez Cruz;128008;CUB;2003;1990;1990;1990;3;3;128;0;0;4;0;;2003;2040;2040;X
Masferrer;128009;CUB;2003;2003;1990;1990;3;4;4;1;0;4;0;;2003;2040;2040;X
Perez Dameda;128010;CUB;2003;1940;1990;1990;2;3;1;1;0;3;0;;2003;2040;2040;X
Pérez y Pérez;128011;CUB;2003;1990;1990;1990;3;3;1;0;0;2;0;;2003;2040;2040;X
Raimundo Ferrer;128012;CUB;2003;1990;1990;1990;3;3;0;0;0;3;0;;2003;2040;2040;X
Rodda y Lenquita;128013;CUB;2003;1990;1990;1990;3;3;0;0;0;4;0;;2003;2040;2040;X
Sanguily;128014;CUB;2003;2003;1990;1990;2;5;128;0;0;3;0;;2003;2040;2040;X
Tabernillas;128015;CUB;2003;1990;1990;1990;3;3;128;0;0;4;0;;2003;2040;2040;X
Valdéz Hilario;128017;CUB;2003;1940;1990;1990;2;3;1;1;0;3;0;;2003;2040;2040;X
Fuentes Alaverda;128018;CUB;2003;2003;1930;1990;1;4;8704;1;0;4;1;;2003;2040;2040;X
Gonzalez;128019;CUB;2003;2003;1990;1990;2;3;0;1;0;3;1;;2003;2040;2040;X
Lopez Migoya;128020;CUB;2003;2003;1990;1990;3;3;0;0;0;4;1;;2003;2040;2040;X
Videla Carozé;128021;CUB;2003;2003;1990;1990;3;4;2024;1;0;5;1;;2003;2040;2040;X
Prendes Quintana;128023;CUB;2003;1990;1990;1990;3;4;0;0;0;2;2;;2003;2040;2040;X
Rolas Carreras;128024;CUB;2003;1990;1990;1990;3;3;131072;0;0;3;2;;2003;2040;2040;X
Tableda Silva;128025;CUB;2003;2003;1990;1990;3;4;0;1;0;4;2;;2003;2040;2040;X
