Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Vladimír Lavièka;18004;CZE;2000;2000;2040;2040;2;4;0;1;0;5;0;Vladimír Lavièka;2000;2040;2040;X
Oldøich Kubát;18005;CZE;2000;2000;2040;2040;3;5;128;2;2;3;0;Oldøich Kubát;2000;2040;2040;X
Miroslav Bálint;18006;CZE;2000;2400;2040;2040;3;5;128;2;0;5;0;Miroslav Bálint;2000;2040;2040;X
Pavel Rybák;18007;CZE;2000;2400;2040;2040;3;4;2;1;0;3;0;Pavel Rybák;2000;2040;2040;X
Aleš Opata;18008;CZE;2000;2400;2040;2040;3;4;130;1;0;3;0;Aleš Opata;2000;2040;2040;X
Jan Kaše;18009;CZE;2000;2040;2040;2040;3;4;0;1;0;3;0;Jan Kaše;2000;2040;2040;X
Josef Prokeš;18010;CZE;2000;2040;2040;2040;3;4;0;2;0;3;0;Josef Prokeš;2000;2040;2040;X
Ján Gurník;18015;CZE;2000;2040;2040;2040;3;6;2;2;0;3;0;Ján Gurník;2000;2040;2040;X
Ivo Zboøil;18016;CZE;2000;2040;2040;2040;3;4;64;2;0;5;0;Ivo Zboøil;2000;2040;2040;X
Petr Pavel;18017;CZE;2000;2040;2040;2040;3;4;0;2;0;3;0;Petr Pavel;2000;2040;2040;X
Jiøí Halaška;18018;CZE;2000;2000;2040;2040;2;6;128;3;0;3;0;Jiøí Halaška;2000;2040;2040;X
Oldøich Kubát;18019;CZE;2000;2040;2040;2040;3;5;32;2;0;3;0;Oldøich Kubát;2000;2040;2040;X
Jiøí Baloun;18021;CZE;2000;2040;2040;2040;3;6;4;2;0;5;0;Jiøí Baloun;2000;2040;2040;X
Rudolf Urban;18022;CZE;2000;2040;2040;2040;3;4;0;2;0;3;0;Rudolf Urban;2000;2040;2040;X
František Vojkovský;18023;CZE;2000;2040;2040;2040;3;5;0;2;0;3;0;František Vojkovský;2000;2040;2040;X
Pavel Štefka;18024;CZE;2000;2000;2000;2000;0;4;2;3;0;5;0;Pavel Štefka;2000;2040;2040;X
Antonín Pugzík;18028;CZE;2000;2000;2040;2040;2;4;64;3;0;3;0;Antonín Pugzík;2000;2040;2040;X
Ladislav Minaøík;18029;CZE;2000;2000;2040;2040;2;4;2;0;0;3;0;Ladislav Minaøík;2000;2040;2040;X
František Malenínský;18030;CZE;2000;2000;2040;2040;2;4;256;2;0;3;0;František Malenínský;2000;2040;2040;X
Jaroslav Kolkus;18035;CZE;2000;2000;2000;2040;1;4;0;2;0;5;0;Jaroslav Kolkus;2000;2040;2040;X
Pavel Jevula;18039;CZE;2000;2000;2040;2040;2;4;0;2;0;3;0;Pavel Jevula;2000;2040;2040;X
Josef Sedlák;18040;CZE;2000;2000;2040;2040;2;4;1;2;0;4;0;Josef Sedlák;2000;2040;2040;X
Rostislav Mazurek;18041;CZE;2000;2000;2040;2040;2;4;0;3;0;3;0;Rostislav Mazurek;2000;2040;2040;X
Ondrej Páleník;18042;CZE;2000;2000;2040;2040;2;4;0;3;0;5;0;Ondrej Páleník;2000;2040;2040;X
Emil Pupi;18043;CZE;2000;2000;2040;2040;2;5;65536;2;0;5;2;Emil Pupi;2000;2040;2040;X
Libor Krejcar;18044;CZE;2000;2040;2040;2040;3;4;0;2;0;5;2;Libor Krejcar;2000;2040;2040;X
Èestmír Tesaøík;18045;CZE;2000;2040;2040;2040;3;4;0;2;0;5;2;Èestmír Tesaøík;2000;2040;2040;X
Josef Beèváø;18046;CZE;2000;2040;2040;2040;3;5;0;2;0;5;0;Josef Beèváø;2000;2040;2040;X
Josef Prokš;18047;CZE;2000;2000;2040;2040;2;5;0;2;0;5;0;Josef Prokš;2000;2040;2040;X
Vlastimil Picek;18048;CZE;2000;2000;2040;2040;1;5;0;3;0;5;0;Vlastimil Picek;2000;2040;2040;X
František Hrabal;18049;CZE;2000;2000;2040;2040;1;5;0;3;0;5;0;generálporuèík Ing. František HRABAL;2000;2040;2040;X
