Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Albertsen;9500;DEN;2003;2030;2030;2030;3;3;2;0;0;5;0;;2003;2040;2040;X
Albrechtsen;9501;DEN;2003;2003;2030;2030;2;3;128;1;0;5;0;;2003;2040;2040;X
Benniken;9502;DEN;2003;2030;2030;2030;3;4;16;0;0;5;0;;2003;2040;2040;X
Engelhardt;9503;DEN;2003;1945;2030;2030;3;3;1;1;0;5;0;;2003;2040;2040;X
Esseman;9504;DEN;2003;2003;2030;2030;2;5;516;1;0;5;0;;2003;2040;2040;X
Gørtz;9505;DEN;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2040;2040;X
Jensen;9506;DEN;2003;2003;2030;2030;3;3;0;1;0;5;0;;2003;2040;2040;X
Jørgensen;9507;DEN;2003;2030;2030;2030;3;3;1;0;0;5;0;;2003;2040;2040;X
Knutzon;9508;DEN;2003;2030;2030;2030;3;4;0;0;0;5;0;;2003;2040;2040;X
Kryssing;9509;DEN;2003;2030;2030;2030;3;3;0;0;0;3;0;;2003;2040;2040;X
Lassen;9510;DEN;2003;2030;2030;2030;3;6;260;1;0;5;0;;2003;2040;2040;X
Hammerich;9519;DEN;2003;1939;1945;2030;2;3;0;2;0;4;1;;2003;2040;2040;X
Pontoppidan;9520;DEN;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Rechnitzer;9521;DEN;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Ulrich;9522;DEN;2003;2003;2030;2030;3;4;2024;1;0;5;1;;2003;2040;2040;X
Vedel;9523;DEN;2003;2003;2030;2030;2;5;4096;1;0;4;1;;2003;2040;2040;X
Andersen;9524;DEN;2003;2030;2030;2030;3;3;131072;0;0;5;2;;2003;2040;2040;X
Birksted;9525;DEN;2003;2030;2030;2030;3;4;4096;0;0;4;2;;2003;2040;2040;X
Esseman;9526;DEN;2003;2003;2030;2030;2;3;8704;0;0;5;2;;2003;2040;2040;X
Jacobsen;9527;DEN;2003;2003;2030;2030;3;3;16896;1;0;5;2;;2003;2040;2040;X
Kalmberg;9528;DEN;2003;2030;2030;2030;3;3;32768;0;0;5;2;;2003;2040;2040;X
Ulrich;9529;DEN;2003;2003;2030;2030;3;3;0;1;0;5;2;;2003;2040;2040;X
Markussen;9532;DEN;2003;2003;2030;2030;2;4;4;1;0;5;0;;2003;2040;2040;X
