Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Andrade Flores;200000;ECU;2003;2003;2003;1990;1;3;514;1;0;3;0;;2003;2040;2040;X
Baquerizo Davila;200001;ECU;2003;1990;1990;1990;3;3;0;0;0;2;0;;2003;2040;2040;X
Estrella Sanchéz;200006;ECU;2003;1946;1990;1990;3;3;0;1;0;3;0;;2003;2040;2040;X
Fanquil del Ponte;200007;ECU;2003;2003;1990;1990;2;5;516;1;0;4;0;;2003;2040;2040;X
Freire Posso;200008;ECU;2003;2003;2003;1990;2;5;128;2;0;4;0;;2003;2040;2040;X
Gandara Enriquez;200009;ECU;2003;1944;1947;1990;2;3;1;2;0;4;0;;2003;2040;2040;X
Gonzalez Bravo;200010;ECU;2003;1930;1930;1990;1;3;514;1;0;5;0;;2003;2040;2040;X
Hidalgo Garcia;200011;ECU;2003;1990;1990;1990;3;3;8;0;0;4;0;;2003;2040;2040;X
Ibañez y Ydigaras;200012;ECU;2003;1942;1944;1990;2;5;64;2;0;3;0;;2003;2040;2040;X
Larrea Alba;200013;ECU;2003;2003;2003;1990;1;4;0;1;0;3;0;;2003;2040;2040;X
Maldonado Alvaréz;200014;ECU;2003;1990;1990;1990;3;5;513;1;0;3;0;;2003;2040;2040;X
Mancheno Cajas;200015;ECU;2003;2003;1990;1990;3;5;4;0;0;3;0;;2003;2040;2040;X
Martinez Iguarte;200016;ECU;2003;2003;1990;1990;2;3;1;1;0;4;0;;2003;2040;2040;X
Oliva Ojeda;200017;ECU;2003;2003;1990;1990;3;4;513;2;0;3;0;;2003;2040;2040;X
Renella Barbatto;200018;ECU;2003;1942;1946;1990;2;5;128;2;0;4;0;;2003;2040;2040;X
Castro Cortes;200019;ECU;2003;1990;1990;1990;3;3;2024;0;0;4;1;;2003;2040;2040;X
Endara Peñaherrera;200020;ECU;2003;1941;1944;1990;2;4;0;2;0;3;1;;2003;2040;2040;X
Escobedo Duarté;200021;ECU;2003;1947;1990;1990;3;4;0;1;0;5;1;;2003;2040;2040;X
Guíllez Salvían;200022;ECU;2003;1990;1990;1990;3;3;0;0;0;3;1;;2003;2040;2040;X
Marques Steffanell;200023;ECU;2003;2003;2003;1990;1;3;2560;1;0;4;1;;2003;2040;2040;X
Castro Jíjon;200030;ECU;2003;1943;1990;1990;2;3;0;1;0;3;2;;2003;2040;2040;X
Gandara Enriquez;200031;ECU;2003;1944;1947;1990;2;4;0;2;0;4;2;;2003;2040;2040;X
Hidalgo Garcia;200032;ECU;2003;1946;1990;1990;3;4;32768;1;0;4;2;;2003;2040;2040;X
Ponce Trujillo;200033;ECU;2003;1945;1990;1990;3;4;4096;1;0;4;2;;2003;2040;2040;X
Renella Barbatto;200034;ECU;2003;2003;1946;1990;2;4;0;2;0;4;2;;2003;2040;2040;X
Saavedra Cruz;200035;ECU;2003;1990;1990;1990;3;3;0;0;0;5;2;;2003;2040;2040;X
Salem Gallegos;200036;ECU;2003;2003;2003;1990;3;4;0;2;0;3;2;;2003;2040;2040;X
Valdez Quintanilla;200037;ECU;2003;1990;1990;1990;3;3;65536;0;0;4;2;;2003;2040;2040;X
