Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Aflatan;512000;EGY;2003;2003;2003;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Amer;512002;EGY;2003;1990;1990;1990;3;4;4;0;0;5;0;;2003;2040;2040;X
an-Nukraishi;512003;EGY;2003;2003;1990;1990;2;3;513;1;0;5;0;;2003;2040;2040;X
Beyran;512005;EGY;2003;2003;1990;1990;2;3;514;1;0;5;0;;2003;2040;2040;X
el-Hakeem Amer;512006;EGY;2003;2003;2003;2003;1;4;0;3;0;5;0;;2003;2040;2040;X
el-Hamza Makkawi;512007;EGY;2003;1990;1990;1990;3;3;128;0;0;5;0;;2003;2040;2040;X
Fathy;512008;EGY;2003;2003;2003;2003;0;2;514;1;0;5;0;;2003;2040;2040;X
Fouad;512009;EGY;2003;2003;1990;1990;2;3;513;1;0;5;0;;2003;2040;2040;X
Ghayib;512010;EGY;2003;2003;1990;1990;2;4;128;1;0;5;0;;2003;2040;2040;X
Goktai;512011;EGY;2003;2003;2003;1990;2;5;1;2;0;5;0;;2003;2040;2040;X
Hamza;512012;EGY;2003;1990;1990;1990;3;4;16;0;0;5;0;;2003;2040;2040;X
Kamel;512013;EGY;2003;2003;2003;1990;1;3;2;1;0;5;0;;2003;2040;2040;X
Naguib;512014;EGY;2003;2003;2003;1990;1;4;1;2;0;5;0;;2003;2040;2040;X
Nashran;512015;EGY;2003;2003;1990;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Refey;512016;EGY;2003;2003;1990;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Tabril;512022;EGY;2003;2003;2003;1990;1;4;512;1;0;5;0;;2003;2040;2040;X
Tawfik;512023;EGY;2003;1990;1990;1990;3;4;256;0;0;5;0;;2003;2040;2040;X
Yahya;512024;EGY;2003;2003;1990;1990;2;4;513;1;0;5;0;;2003;2040;2040;X
Ziwar;512025;EGY;2003;2003;1990;1990;2;2;0;0;0;5;0;;2003;2040;2040;X
Aflatan;512026;EGY;2003;2003;2003;1990;2;3;0;1;0;5;1;;2003;2040;2040;X
Azmyunduk;512027;EGY;2003;2003;1990;1990;2;3;8192;1;0;5;1;;2003;2040;2040;X
Fouad;512028;EGY;2003;2003;1990;1990;2;2;0;0;0;5;1;;2003;2040;2040;X
Hamid;512029;EGY;2003;2003;1990;1990;2;3;0;0;0;5;1;;2003;2040;2040;X
Ziwar;512030;EGY;2003;2003;2003;1990;1;3;0;1;0;5;1;;2003;2040;2040;X
Azmyr;512032;EGY;2003;2003;1990;1990;2;3;131072;1;0;5;2;;2003;2040;2040;X
el-Hamza Makkawi;512033;EGY;2003;1990;1990;1990;3;3;0;0;0;5;2;;2003;2040;2040;X
Soliman;512034;EGY;2003;2003;1990;1990;2;3;4096;1;0;5;2;;2003;2040;2040;X
Tawfik;512035;EGY;2003;1990;1990;1990;3;3;0;0;0;5;2;;2003;2040;2040;X
