Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Jaakson;4903;EST;2003;2003;2003;1990;1;4;0;1;0;4;0;;2003;2040;2040;X
Jervan;4904;EST;2003;1990;1990;1990;3;4;128;0;0;4;0;;2003;2040;2040;X
Jonson;4905;EST;2003;2003;1990;1990;3;5;0;1;0;5;0;;2003;2040;2040;X
Kaerma;4906;EST;2003;1990;1990;1990;3;5;64;0;0;4;0;;2003;2040;2040;X
Kurvits;4910;EST;2003;1990;1990;1990;3;4;32;0;0;4;0;;2003;2040;2040;X
Laidoner;4911;EST;2003;2003;2003;1990;1;4;0;1;0;4;0;;2003;2040;2040;X
Rebane;4913;EST;2003;1990;1990;1990;3;4;2;0;0;4;0;;2003;2040;2040;X
Reek;4914;EST;2003;2003;2003;1990;2;4;0;2;0;4;0;;2003;2040;2040;X
Riipalu;4915;EST;2003;1990;1990;1990;3;4;16;0;0;4;0;;2003;2040;2040;X
Sinka;4916;EST;2003;1990;1990;1990;3;4;0;0;0;3;0;;2003;2040;2040;X
Tolmoff;4917;EST;2003;2003;1990;1990;2;4;8;0;0;5;0;;2003;2040;2040;X
Toomsar;4918;EST;2003;2003;1990;1990;2;4;0;1;0;4;0;;2003;2040;2040;X
Traksmaa;4919;EST;2003;2003;1990;1990;3;4;0;1;0;4;0;;2003;2040;2040;X
Tuisk;4920;EST;2003;1990;1990;1990;3;4;0;0;0;4;0;;2003;2040;2040;X
Tuuling;4921;EST;2003;1990;1990;1990;3;4;1;0;0;4;0;;2003;2040;2040;X
Vent;4922;EST;2003;2003;1990;1990;2;4;0;0;0;4;0;;2003;2040;2040;X
Vermet;4923;EST;2003;2003;1990;1990;3;5;0;1;0;4;0;;2003;2040;2040;X
Nirk;4924;EST;2003;2003;1990;1990;3;5;2024;1;0;5;1;;2003;2040;2040;X
Mere;4925;EST;2003;2003;1990;1990;3;4;0;1;0;5;1;;2003;2040;2040;X
Pitka;4926;EST;2003;2003;1990;1990;2;4;0;0;0;5;1;;2003;2040;2040;X
Tiido;4929;EST;2003;1990;1990;1990;3;4;0;0;0;5;2;;2003;2040;2040;X
Tomberg;4930;EST;2003;2003;1990;1990;2;5;0;1;0;5;2;;2003;2040;2040;X
Tõnisson;4931;EST;2003;2003;1990;1990;2;4;32768;0;0;4;2;;2003;2040;2040;X
