Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abebe Aregay;3301;ETH;2003;2003;1990;1990;2;3;16;0;0;5;0;;2003;2040;2040;X
Abiye Abebe;3302;ETH;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Adafrisau;3303;ETH;2003;2003;1990;1990;2;2;514;1;0;5;0;;2003;2040;2040;X
Aman Andom;3304;ETH;2003;1990;1990;1990;3;2;128;0;0;4;0;;2003;2040;2040;X
Balcha;3305;ETH;2003;2003;2003;1990;2;4;64;2;0;5;0;;2003;2040;2040;X
Birru Wolde;3306;ETH;2003;1990;1990;1990;3;2;1;0;0;3;0;;2003;2040;2040;X
Desta Damtew;3307;ETH;2003;2003;2003;1990;1;4;2;1;0;5;0;;2003;2040;2040;X
Fikremariam;3308;ETH;2003;2003;1990;1990;3;2;0;1;0;5;0;;2003;2040;2040;X
Gilaneh;3309;ETH;2003;1990;1990;1990;3;2;4;0;0;4;0;;2003;2040;2040;X
Hapte Mariam;3312;ETH;2003;2003;2003;1990;3;4;528;2;0;5;0;;2003;2040;2040;X
Hapte Mikael;3313;ETH;2003;2003;2003;1990;1;5;20;2;0;5;0;;2003;2040;2040;X
Ichamilch;3314;ETH;2003;1990;1990;1990;3;2;528;1;0;5;0;;2003;2040;2040;X
Imru;3315;ETH;2003;2003;1990;1990;2;2;0;1;0;5;0;;2003;2040;2040;X
Kama Sega;3316;ETH;2003;1990;1990;1990;3;2;0;1;0;3;0;;2003;2040;2040;X
Kassa;3317;ETH;2003;2003;1990;1990;2;2;4;1;0;3;0;;2003;2040;2040;X
Katama;3318;ETH;2003;2003;2003;1990;2;3;16;1;0;5;0;;2003;2040;2040;X
Mulugueta;3321;ETH;2003;2003;1990;1990;2;5;514;1;0;5;0;;2003;2040;2040;X
Seyum;3322;ETH;2003;2003;2003;1990;1;3;1;1;0;3;0;;2003;2040;2040;X
Tariku;3323;ETH;2003;2003;1990;1990;2;2;1;0;0;4;0;;2003;2040;2040;X
Wolde Rufe;3324;ETH;2003;2003;1942;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Katama;3326;ETH;2003;2003;2003;1990;2;2;0;1;0;5;1;;2003;2040;2040;X
Makonnen;3327;ETH;2003;2003;1990;1990;3;2;0;1;0;5;1;;2003;2040;2040;X
Seyum;3328;ETH;2003;2003;1990;1990;2;2;0;0;0;3;1;;2003;2040;2040;X
Wondossen Kassa;3329;ETH;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Asrate;3330;ETH;2003;1990;1990;1990;3;2;0;0;0;2;2;;2003;2040;2040;X
Gilaneh;3331;ETH;2003;1990;1990;1990;3;2;0;0;0;4;2;;2003;2040;2040;X
Mesfin Sileshi;3333;ETH;2003;2003;2003;1990;3;3;0;2;0;5;2;;2003;2040;2040;X
Wehib Pasha;3335;ETH;2003;2003;1990;1990;2;4;34;1;0;5;0;;2003;2040;2040;X
