Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Bagger;31701;U72;2003;2003;2003;2003;0;2;17;2;0;5;0;L31001;2003;2030;2030;x
Riechmann;31702;U72;2003;2003;2003;2100;1;3;0;3;0;5;0;L31002;2003;2030;2030;x
Lahl ;31703;U72;2003;2003;2003;2100;1;2;256;2;0;5;0;L31003;2003;2030;2030;x
Budde;31704;U72;2003;2003;2003;2100;1;1;129;1;0;5;0;L31004;2003;2030;2030;x
Gliemeroth;31705;U72;2003;2003;2003;2100;1;1;2;1;0;5;0;L31005;2003;2030;2030;x
Olsahausen;31706;U72;2003;2003;2003;2100;1;2;0;2;0;5;0;L31006;2003;2030;2030;x
Wiesmann;31007;U72;2003;2003;2003;2100;1;2;0;2;0;5;0;L31007;2003;2030;2030;x
Lather;31708;U72;2003;2003;2003;2100;1;3;4;3;0;5;0;L31008;2003;2030;2030;x
Dora;31709;U72;2003;2003;2003;2100;1;1;128;1;0;5;0;L31009;2003;2030;2030;x
Ruwe;31710;U72;2003;2003;2003;2100;1;2;0;2;0;5;0;L31010;2003;2030;2030;x
Ramms;31711;U72;2003;2003;2003;2100;1;2;0;2;0;5;0;L31011;2003;2030;2030;x
Bürgener;31712;U72;2003;2003;2003;2100;1;2;4;2;0;5;0;L31012;2003;2030;2030;x
Dieter;31713;U72;2003;2003;2003;2100;1;3;128;3;0;5;0;L31013;2003;2030;2030;x
Kammerhoff;31714;U72;2003;2003;2003;2100;1;2;2;2;0;5;0;L31014;2003;2030;2030;x
Dietrich;31715;U72;2003;2003;2003;2100;1;2;1;2;0;5;0;L31015;2003;2030;2030;x
Korte;31716;U72;2003;2003;2100;2100;2;1;4;1;0;5;0;L31016;2003;2030;2030;x
Henninger;31717;U72;2003;2003;2100;2100;2;2;0;2;0;5;0;L31017;2003;2030;2030;x
Beck;31718;U72;2003;2003;2100;2100;2;2;0;2;0;5;0;L31018;2003;2030;2030;x
Clauß;31719;U72;2003;2003;2100;2100;2;3;0;3;0;5;0;L31019;2003;2030;2030;x
Kather;31720;U72;2003;2003;2100;2100;2;4;0;4;0;5;0;L31020;2003;2030;2030;x
illotat;31721;U72;2003;2003;2100;2100;2;3;0;3;0;5;0;L31021;2003;2030;2030;x
Otto;31722;U72;2003;2003;2100;2100;2;1;3;1;0;5;0;L31022;2003;2030;2030;x
Keerl;31723;U72;2003;2003;2100;2100;2;2;0;2;0;5;0;L31023;2003;2030;2030;x
Widder;31724;U72;2003;2003;2100;2100;2;3;132;3;0;5;0;L31024;2003;2030;2030;x
Gubernatis;31725;U72;2003;2003;2100;2100;2;2;0;2;0;5;0;L31025;2003;2030;2030;x
Wolf;31726;U72;2003;2003;2100;2100;2;1;0;1;0;5;0;L31026;2003;2030;2030;x
Schneider;31727;U72;2003;2003;2100;2100;2;3;4;3;0;5;0;L31027;2003;2030;2030;x
Oerding;31728;U72;2003;2003;2100;2100;2;1;144;1;0;5;0;L31028;2003;2030;2030;x
Löser ;31729;U72;2003;2003;2100;2100;2;3;1;3;0;5;0;L31029;2003;2030;2030;x
Treche;31730;U72;2003;2003;2100;2100;2;2;0;2;0;5;0;L31030;2003;2030;2030;x
Viereck;31731;U72;2003;2003;2100;2100;2;2;0;2;0;5;0;L31031;2003;2030;2030;x
Priller;31732;U72;2003;2003;2100;2100;2;1;0;1;0;5;0;L31032;2003;2030;2030;x
Langheld;31733;U72;2003;2100;2100;2100;3;2;1;2;0;5;0;L31033;2003;2030;2030;x
Stier;31734;U72;2003;2100;2100;2100;3;2;128;2;0;5;0;L31034;2003;2030;2030;x
Kretschmer;31735;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31035;2003;2030;2030;x
Bergmann;31736;U72;2003;2100;2100;2100;3;1;0;1;0;5;0;L31036;2003;2030;2030;x
Scherz;31737;U72;2003;2100;2100;2100;3;3;128;3;0;5;0;L31037;2003;2030;2030;x
Sachau;31738;U72;2003;2100;2100;2100;3;1;4;1;0;5;0;L31038;2003;2030;2030;x
Schulz;31739;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31039;2003;2030;2030;x
Wolny;31740;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31040;2003;2030;2030;x
Münzner;31741;U72;2003;2100;2100;2100;3;1;16;1;0;5;0;L31041;2003;2030;2030;x
Sude;31742;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31042;2003;2030;2030;x
Schuster;31743;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31043;2003;2030;2030;x
Rossmanith;31744;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31044;2003;2030;2030;x
Schneemann;31745;U72;2003;2100;2100;2100;3;3;18;3;0;5;0;L31045;2003;2030;2030;x
Röhrs;31746;U72;2003;2100;2100;2100;3;2;1;2;0;5;0;L31046;2003;2030;2030;x
Granz;31747;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31047;2003;2030;2030;x
Von Korff;31748;U72;2003;2100;2100;2100;3;4;256;4;0;5;0;L31048;2003;2030;2030;x
Regula;31749;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31049;2003;2030;2030;x
Schowe;31750;U72;2003;2100;2100;2100;3;2;0;2;0;5;0;L31050;2003;2030;2030;x
Feldt;31751;U72;2003;2003;2003;2100;1;3;2024;3;0;5;1;L31051;2003;2030;2030;x
Nolting;31752;U72;2003;2003;2003;2100;1;2;4096;2;0;5;1;L31052;2003;2030;2030;x
