Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Kari Rimpi;28001;FIN;2003;2003;2003;2100;2;9;2;3;0;5;0;L28001;2003;2030;2030;x
Esa Tarvainen;28002;FIN;2003;2003;2003;2100;1;9;2;2;0;5;0;L28002;2003;2030;2030;x
Olavi Jäppilä;28003;FIN;2003;2003;2003;2100;1;9;8;2;0;5;0;L28003;2003;2030;2030;x
Ilkka Kylä-Harakka;28004;FIN;2003;2003;2003;2100;1;9;16;2;0;5;0;L28004;2003;2030;2030;x
Ari Puheloinen;28005;FIN;2003;2003;2003;2100;1;9;128;2;0;5;0;L28005;2003;2030;2030;x
Hannu Herranen;28006;FIN;2003;2003;2100;2100;2;9;2;3;0;5;0;L28006;2003;2030;2030;x
Heikki Holma;28007;FIN;2003;2003;2100;2100;2;9;8;1;0;5;0;L28007;2003;2030;2030;x
Kari Siiki;28008;FIN;2003;2003;2100;2100;2;9;2;3;0;5;0;L28008;2003;2030;2030;x
Kalervo Sipi;28009;FIN;2003;2003;2100;2100;2;9;1;2;0;5;0;L28009;2003;2030;2030;x
Olli-Matti Multamäki;28010;FIN;2003;2003;2100;2100;2;9;4;3;0;5;0;L28010;2003;2030;2030;x
Pertti Puonti;28011;FIN;2003;2003;2100;2100;2;9;32;2;0;5;0;L28011;2003;2030;2030;x
Arto Räty;28012;FIN;2003;2100;2100;2100;3;9;256;4;0;5;0;L28012;2003;2030;2030;x
Markku Koli;28013;FIN;2003;2100;2100;2100;3;9;64;2;0;5;0;L28013;2003;2030;2030;x
Jarmo Peltola;28014;FIN;2003;2100;2100;2100;3;9;16;3;0;5;0;L28014;2003;2030;2030;x
Juha Kilpiä;28015;FIN;2003;2100;2100;2100;3;9;2;2;0;5;0;L28015;2003;2030;2030;x
Markku Ihantola;28016;FIN;2003;2100;2100;2100;3;9;32;2;0;5;0;L28016;2003;2030;2030;x
Ilkka Aspara;28017;FIN;2003;2100;2100;2100;3;9;8;1;0;5;0;L28017;2003;2030;2030;x
Jan Laukka;28018;FIN;2003;2100;2100;2100;3;9;2;3;0;5;0;L28018;2003;2030;2030;x
Paavo Kiljunen;28019;FIN;2003;2100;2100;2100;3;9;2;2;0;5;0;L28019;2003;2030;2030;x
Jaakko Oksanen;28020;FIN;2003;2100;2100;2100;3;9;8;3;0;5;0;L28020;2003;2030;2030;x
Antti Lankinen;28021;FIN;2003;2100;2100;2100;3;9;4;4;0;5;0;L28021;2003;2030;2030;x
Jukka Pennanen;28022;FIN;2003;2100;2100;2100;3;9;8;2;0;5;0;L28022;2003;2030;2030;x
Pertti Salminen;28023;FIN;2003;2100;2100;2100;3;9;2;2;0;5;0;L28023;2003;2030;2030;x
Juhani Kaskeala;28024;FIN;2003;2003;2003;2003;0;9;4096;3;0;5;1;L28024;2003;2030;2030;x
Hans Holmström;28025;FIN;2003;2003;2003;2100;1;9;2048;4;0;5;1;L28025;2003;2030;2030;x
Esko Illi;28026;FIN;2003;2003;2003;2100;1;9;2048;2;0;5;1;Unknown;2003;2030;2030;x
Pertti Malmberg;28027;FIN;2003;2003;2100;2100;2;9;8192;2;0;5;1;L28027;2003;2030;2030;x
Juha Rannikko;28028;FIN;2003;2100;2100;2100;3;9;2048;1;0;5;1;L28028;2003;2030;2030;x
Bo Österlund;28029;FIN;2003;2100;2100;2100;3;9;4096;4;0;5;1;L28029;2003;2030;2030;x
Hanno Strang;28030;FIN;2003;2100;2100;2100;3;9;4096;3;0;5;1;L28030;2003;2030;2030;x
Jouni Pystynen;28031;FIN;2003;2003;2003;2100;1;9;4096;4;0;5;2;Unknown;2003;2030;2030;x
Matti Ahola;28032;FIN;2003;2003;2003;2100;1;9;8192;2;0;5;2;L28032;2003;2030;2030;x
Heikki Lyytinen;28033;FIN;2003;2003;2100;2100;2;9;4096;4;0;5;2;L28033;2003;2030;2030;x
Pekka Tuunanen;28034;FIN;2003;2100;2100;2100;3;9;4096;3;0;5;2;L28034;2003;2030;2030;x
Pentti Kuronen;28035;FIN;2003;2100;2100;2100;3;9;65536;2;0;5;2;L28035;2003;2030;2030;x
