Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Bidard;28552;FRA;2003;2003;2003;2003;0;9;385;2;0;5;0;L28552;2003;2030;2030;x
Roquejeoffre;28553;FRA;2003;2003;2003;2003;0;9;130;3;0;5;0;L28553;2003;2030;2030;x
Michel;28554;FRA;2003;2003;2003;2003;0;9;160;3;0;5;0;L28554;2003;2030;2030;x
Kelche;28500;FRA;2003;2003;2003;2003;0;3;3;3;0;5;0;L28500;2003;2030;2030;x
Bentegeat;28501;FRA;2003;2003;2003;2003;0;2;132;2;0;5;0;L28501;2003;2030;2030;x
Py;28502;FRA;2003;2003;2003;2003;0;2;0;2;0;5;0;L28502;2003;2030;2030;x
Neveux;28503;FRA;2003;2003;2003;2003;0;3;2;3;0;5;0;L28503;2003;2030;2030;x
Thorette;28504;FRA;2003;2003;2003;2003;0;3;128;3;0;5;0;L28504;2003;2030;2030;x
Kermabon;28555;FRA;2003;2003;2003;2100;1;5;128;3;0;5;0;L28555;2003;2030;2030;x
Zuchowicz;28556;FRA;2003;2003;2003;2100;1;9;144;5;0;5;0;L28556;2003;2030;2030;x
Poncet;28557;FRA;2003;2003;2003;2100;1;5;0;2;0;5;0;L28557;2003;2030;2030;x
de Monchy;28558;FRA;2003;2003;2003;2100;1;5;16;3;0;5;0;L28558;2003;2030;2030;x
Elie;28559;FRA;2003;2003;2003;2100;1;5;128;4;0;5;0;L28559;2003;2030;2030;x
Zeller;28505;FRA;2003;2003;2003;2100;1;4;5;4;0;5;0;L28505;2003;2030;2030;x
Valentin;28506;FRA;2003;2003;2003;2100;1;3;0;3;0;5;0;L28506;2003;2030;2030;x
Ranson;28507;FRA;2003;2003;2003;2100;1;2;64;2;0;5;0;L28507;2003;2030;2030;x
Gilles;28508;FRA;2003;2003;2003;2100;1;2;256;2;0;5;0;L28508;2003;2030;2030;x
Barri;28509;FRA;2003;2003;2003;2100;1;2;0;2;0;5;0;L28509;2003;2030;2030;x
Ladevèze;28510;FRA;2003;2003;2003;2100;1;1;2;1;0;5;0;L28510;2003;2030;2030;x
Malbec;28511;FRA;2003;2003;2003;2100;1;3;21;3;0;5;0;L28511;2003;2030;2030;x
Thomann;28512;FRA;2003;2003;2003;2100;1;1;0;1;0;5;0;L28512;2003;2030;2030;x
Poulet;28513;FRA;2003;2003;2003;2100;1;1;128;1;0;5;0;L28513;2003;2030;2030;x
Renucci;28514;FRA;2003;2003;2003;2100;1;2;130;2;0;5;0;L28514;2003;2030;2030;x
de Marnhac;28560;FRA;2003;2003;2100;2100;2;5;128;1;0;5;0;L28560;2003;2030;2030;x
DuBurg;28561;FRA;2003;2003;2100;2100;2;5;64;2;0;5;0;L28561;2003;2030;2030;x
Meille;28562;FRA;2003;2003;2100;2100;2;5;0;1;0;5;0;L28562;2003;2030;2030;x
Sommaire;28563;FRA;2003;2003;2100;2100;2;5;64;2;0;5;0;L28563;2003;2030;2030;x
Marengo;28564;FRA;2003;2003;2100;2100;2;5;256;3;0;5;0;L28564;2003;2030;2030;x
Amarger;28565;FRA;2003;2003;2100;2100;2;5;4;4;0;5;0;L28565;2003;2030;2030;x
Meyer;28566;FRA;2003;2003;2100;2100;2;5;65;3;0;5;0;L28566;2003;2030;2030;x
Lang;28567;FRA;2003;2003;2100;2100;2;5;320;3;0;5;0;L28567;2003;2030;2030;x
Goesbriand;28568;FRA;2003;2003;2100;2100;2;5;4;4;0;5;0;L28568;2003;2030;2030;x
Schwerddorfer;28569;FRA;2003;2003;2100;2100;2;5;128;2;0;5;0;L28569;2003;2030;2030;x
Richard;28515;FRA;2003;2003;2100;2100;2;2;0;2;0;5;0;L28515;2003;2030;2030;x
Cuche;28516;FRA;2003;2003;2100;2100;2;2;5;2;0;5;0;L28516;2003;2030;2030;x
Mark;28517;FRA;2003;2003;2100;2100;2;2;0;2;0;5;0;L28517;2003;2030;2030;x
Keiflin;28518;FRA;2003;2003;2100;2100;2;1;19;1;0;5;0;L28518;2003;2030;2030;x
de Bollardíre;28519;FRA;2003;2003;2100;2100;2;2;0;2;0;5;0;L28519;2003;2030;2030;x
Malaussene;28570;FRA;2003;2100;2100;2100;3;5;264;2;0;5;0;L28570;2003;2030;2030;x
