Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abkhazi;519000;GEO;2003;2003;2003;1990;1;4;576;1;0;5;0;;2003;2040;2040;X
Arndt;519001;GEO;2003;1990;1990;1990;3;4;66;0;0;5;0;;2003;2040;2040;X
Beburidzhe;519002;GEO;2003;2003;1990;1990;2;4;128;1;0;5;0;;2003;2040;2040;X
Beria;519003;GEO;2003;2003;1990;1990;2;2;0;1;0;5;0;;2003;2040;2040;X
Berkelmann;519004;GEO;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Brusilov;519005;GEO;2003;2003;2003;1990;1;3;514;1;0;5;0;;2003;2040;2040;X
Busich;519006;GEO;2003;2003;1990;1990;2;3;32;1;0;5;0;;2003;2040;2040;X
Gordaschvili;519011;GEO;2003;2003;1990;1990;2;2;8;0;0;5;0;;2003;2040;2040;X
Hieber;519012;GEO;2003;1990;1990;1990;3;3;4;0;0;5;0;;2003;2040;2040;X
Karumidzhe;519013;GEO;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Lechitski;519014;GEO;2003;2003;1990;1990;2;3;513;1;0;5;0;;2003;2040;2040;X
Maglakelidzhe;519015;GEO;2003;2003;1990;1990;3;2;4;1;0;5;0;;2003;2040;2040;X
Mzechabukishvili;519016;GEO;2003;1990;1990;1990;3;2;16;0;0;5;0;;2003;2040;2040;X
Nikoladzhe;519017;GEO;2003;2003;1990;1990;2;2;16;1;0;5;0;;2003;2040;2040;X
Nukridzhe;519018;GEO;2003;2003;2003;1990;2;4;1;1;0;5;0;;2003;2040;2040;X
Pridon-Zulukhidzhe;519019;GEO;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Razikashvili;519020;GEO;2003;2003;1990;1990;2;3;16;1;0;5;0;;2003;2040;2040;X
Scherping;519021;GEO;2003;1990;1990;1990;3;1;0;0;0;5;0;;2003;2040;2040;X
Utchashvili;519025;GEO;2003;2003;1990;1990;2;3;2;1;0;5;0;;2003;2040;2040;X
Vepkhiadzhe;519026;GEO;2003;2003;1990;1990;2;2;256;1;0;5;0;;2003;2040;2040;X
Bakradzhe;519027;GEO;2003;2003;1990;1990;2;3;8704;0;0;5;1;;2003;2040;2040;X
Biwer;519028;GEO;2003;1990;1990;1990;3;3;2024;0;0;5;1;;2003;2040;2040;X
Brusilov;519029;GEO;2003;2003;2003;1990;1;2;0;1;0;5;1;;2003;2040;2040;X
Demnadzhe;519030;GEO;2003;1990;1990;1990;3;3;4608;0;0;5;1;;2003;2040;2040;X
Muhr;519033;GEO;2003;1990;1990;1990;3;3;4096;0;0;5;2;;2003;2040;2040;X
Vepkhiadzhe;519034;GEO;2003;2003;1990;1990;2;2;0;1;0;5;2;;2003;2040;2040;X
Walland;519037;GEO;2003;1990;1990;1990;3;2;0;0;0;5;2;;2003;2040;2040;X
