Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Schneiderhan ;31000;GER;2003;2003;2003;2100;0;3;132;3;0;5;0;L31000;2003;2030;2030;x
Bagger;31001;GER;2003;2003;2003;2100;0;2;17;2;0;5;0;L31001;2003;2030;2030;x
Riechmann ;31002;GER;2003;2003;2003;2100;1;3;0;3;0;5;0;L31002;2003;2030;2030;x
Lahl ;31003;GER;2003;2003;2003;2100;1;2;256;2;0;5;0;L31003;2003;2030;2030;x
Budde;31004;GER;2003;2003;2003;2100;1;1;129;1;0;5;0;L31004;2003;2030;2030;x
Gliemeroth;31005;GER;2003;2003;2003;2100;1;1;2;1;0;5;0;L31005;2003;2030;2030;x
Olsahausen;31006;GER;2003;2003;2003;2100;1;2;0;2;0;5;0;L31006;2003;2030;2030;x
Lather;31008;GER;2003;2003;2003;2100;1;3;4;3;0;5;0;L31008;2003;2030;2030;x
Dora;31009;GER;2003;2003;2003;2100;1;1;128;1;0;5;0;L31009;2003;2030;2030;x
Ruwe;31010;GER;2003;2003;2003;2100;1;2;0;2;0;5;0;L31010;2003;2030;2030;x
Ramms;31011;GER;2003;2003;2003;2100;1;2;0;2;0;5;0;L31011;2003;2030;2030;x
Bürgener ;31012;GER;2003;2003;2003;2100;1;2;4;2;0;5;0;L31012;2003;2030;2030;x
Dieter;31013;GER;2003;2003;2003;2100;1;3;128;3;0;5;0;L31013;2003;2030;2030;x
Kammerhoff;31014;GER;2003;2003;2003;2100;1;2;2;2;0;5;0;L31014;2003;2030;2030;x
Dietrich;31015;GER;2003;2003;2003;2100;1;2;1;2;0;5;0;L31015;2003;2030;2030;x
Korte;31016;GER;2003;2003;2100;2100;2;1;4;1;0;5;0;L31016;2003;2030;2030;x
Henninger;31017;GER;2003;2003;2100;2100;2;2;0;2;0;5;0;L31017;2003;2030;2030;x
Beck;31018;GER;2003;2003;2100;2100;2;2;0;2;0;5;0;L31018;2003;2030;2030;x
Clauß;31019;GER;2003;2003;2100;2100;2;3;0;3;0;5;0;L31019;2003;2030;2030;x
Kather;31020;GER;2003;2003;2100;2100;2;4;0;4;0;5;0;L31020;2003;2030;2030;x
illotat;31021;GER;2003;2003;2100;2100;2;3;0;3;0;5;0;L31021;2003;2030;2030;x
Otto;31022;GER;2003;2003;2100;2100;2;1;3;1;0;5;0;L31022;2003;2030;2030;x
Keerl;31023;GER;2003;2003;2100;2100;2;2;0;2;0;5;0;L31023;2003;2030;2030;x
Widder;31024;GER;2003;2003;2100;2100;2;3;132;3;0;5;0;L31024;2003;2030;2030;x
Gubernatis;31025;GER;2003;2003;2100;2100;2;2;0;2;0;5;0;L31025;2003;2030;2030;x
Wolf;31026;GER;2003;2003;2100;2100;2;1;0;1;0;5;0;L31026;2003;2030;2030;x
Schneider;31027;GER;2003;2003;2100;2100;2;3;4;3;0;5;0;L31027;2003;2030;2030;x
Oerding;31028;GER;2003;2003;2100;2100;2;1;144;1;0;5;0;L31028;2003;2030;2030;x
Löser ;31029;GER;2003;2003;2100;2100;2;3;1;3;0;5;0;L31029;2003;2030;2030;x
Treche;31030;GER;2003;2003;2100;2100;2;2;0;2;0;5;0;L31030;2003;2030;2030;x
Viereck;31031;GER;2003;2003;2100;2100;2;2;0;2;0;5;0;L31031;2003;2030;2030;x
Priller;31032;GER;2003;2003;2100;2100;2;1;0;1;0;5;0;L31032;2003;2030;2030;x
Langheld;31033;GER;2003;2100;2100;2100;3;2;1;2;0;5;0;L31033;2003;2030;2030;x
Stier;31034;GER;2003;2100;2100;2100;3;2;128;2;0;5;0;L31034;2003;2030;2030;x
Kretschmer;31035;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31035;2003;2030;2030;x
Bergmann;31036;GER;2003;2100;2100;2100;3;1;0;1;0;5;0;L31036;2003;2030;2030;x
Scherz;31037;GER;2003;2100;2100;2100;3;3;128;3;0;5;0;L31037;2003;2030;2030;x
Sachau;31038;GER;2003;2100;2100;2100;3;1;4;1;0;5;0;L31038;2003;2030;2030;x
Schulz;31039;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31039;2003;2030;2030;x
Wolny;31040;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31040;2003;2030;2030;x
Münzner ;31041;GER;2003;2100;2100;2100;3;1;16;1;0;5;0;L31041;2003;2030;2030;x
Sude;31042;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31042;2003;2030;2030;x
Schuster;31043;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31043;2003;2030;2030;x
Rossmanith;31044;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31044;2003;2030;2030;x
Schneemann;31045;GER;2003;2100;2100;2100;3;3;18;3;0;5;0;L31045;2003;2030;2030;x
Röhrs ;31046;GER;2003;2100;2100;2100;3;2;1;2;0;5;0;L31046;2003;2030;2030;x
Granz;31047;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31047;2003;2030;2030;x
Von Korff;31048;GER;2003;2100;2100;2100;3;4;256;4;0;5;0;L31048;2003;2030;2030;x
Regula;31049;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31049;2003;2030;2030;x
Schowe;31050;GER;2003;2100;2100;2100;3;2;0;2;0;5;0;L31050;2003;2030;2030;x
Feldt;31051;GER;2003;2003;2003;2100;1;3;2024;3;0;5;1;L31051;2003;2030;2030;x
Nolting;31052;GER;2003;2003;2003;2100;1;2;4096;2;0;5;1;L31052;2003;2030;2030;x
Schimpf;31053;GER;2003;2003;2100;2100;2;2;0;2;0;5;1;L31053;2003;2030;2030;x
Otto;31054;GER;2003;2003;2100;2100;2;3;0;3;0;5;1;L31054;2003;2030;2030;x
Pröschel;31055;GER;2003;2003;2100;2100;2;4;10240;4;0;5;1;L31055;2003;2030;2030;x
Kolletschke;31056;GER;2003;2100;2100;2100;3;2;2024;2;0;5;1;L31056;2003;2030;2030;x
Kühn;31057;GER;2003;2100;2100;2100;3;1;4096;1;0;5;1;L31057;2003;2030;2030;x
Fischer;31058;GER;2003;2100;2100;2100;3;3;0;3;0;5;1;L31058;2003;2030;2030;x
Kujat;31059;GER;2003;2003;2003;2003;0;3;4096;3;0;5;2;L31059;2003;2030;2030;x
Stielglitz;31060;GER;2003;2003;2003;2100;1;2;139264;2;0;5;2;L31060;2003;2030;2030;x
Marzi;31061;GER;2003;2003;2003;2100;1;1;0;1;0;5;2;L31061;2003;2030;2030;x
Jarosch;31062;GER;2003;2003;2003;2100;1;2;16384;2;0;5;2;L31062;2003;2030;2030;x
Böcker;31063;GER;2003;2003;2003;2100;1;2;4096;2;0;5;2;L31063;2003;2030;2030;x
Jertz;31064;GER;2003;2003;2100;2100;2;4;0;4;0;5;2;L31064;2003;2030;2030;x
Gräber ;31065;GER;2003;2100;2100;2100;3;3;20480;3;0;5;2;L31065;2003;2030;2030;x
Baltes;31066;GER;2003;2100;2100;2100;3;2;0;2;0;5;2;L31066;2003;2030;2030;x
Fredemann;31067;GER;2003;2100;2100;2100;3;1;0;1;0;5;2;L31067;2003;2030;2030;x
Feist;31068;GER;2003;2003;2003;2030;0;3;4096;3;0;5;1;L31068;2003;2030;2030;x 
Mann;31069;GER;2003;2003;2030;2030;3;5;4096;3;0;5;1;L31069;2003;2030;2030;x 
Kalähne;31070;GER;2003;2003;2030;2030;2;5;2024;3;0;5;1;L31070;2003;2030;2030;x 
von Puttkamer;31071;GER;2003;2003;2030;2030;2;5;0;3;0;5;1;L31071;2003;2030;2030;x 
Ropers;31072;GER;2003;2003;2003;2030;1;5;4096;2;0;5;1;L31072;2003;2030;2030;x 
Stricker;31073;GER;2003;2003;2003;2030;1;5;8192;2;0;5;1;L31073;2003;2030;2030;x 
Roedig;31074;GER;2003;2030;2030;2030;3;5;4096;2;0;5;2;L31074;2003;2030;2030;x 
Back;31075;GER;2003;2003;2003;2003;0;5;65536;3;0;5;2;L31075;2003;2030;2030;x 
Wachter;31076;GER;2003;2003;2030;2030;2;5;16384;3;0;5;2;L31076;2003;2030;2030;x 
Diepenhorst;31077;GER;2003;2030;2030;2030;3;5;5;3;0;5;0;L31077;2003;2030;2030;x 
Kopp;31078;GER;2003;2003;2030;2030;2;5;0;2;0;5;0;L31078;2003;2030;2030;x 
von Kroff;31079;GER;2003;2030;2030;2030;3;5;132;3;0;5;0;L31079;2003;2030;2030;x 
Stier;31080;GER;2003;2030;2030;2030;3;5;0;3;0;5;0;L31080;2003;2030;2030;x 
Wieker;31081;GER;2003;2030;2030;2030;3;5;288;2;0;5;0;L31081;2003;2030;2030;x 
Bentler;31082;GER;2003;2030;2030;2030;3;5;32;3;0;5;0;L31082;2003;2030;2030;x 
Skodowsk;31083;GER;2003;2030;2030;2030;3;5;1;3;0;5;0;L31083;2003;2030;2030;x
Dieter;31084;GER;2003;2003;2003;2031;0;2;146;1;12;5;0;L31084;2003;2030;2030;x
Schöhnbom;31085;GER;2003;2003;2003;2032;0;4;128;2;2;5;0;L31085;2003;2030;2030;x
Lather;31086;GER;2003;2003;2003;2033;0;3;1;2;4;5;0;L31086;2003;2030;2030;x
Schuwirth;31087;GER;2003;2003;2003;2100;1;3;32;2;32;5;0;L31087;2003;2030;2030;x
Buergene;31088;GER;2003;2003;2003;2100;1;3;128;2;20;5;0;L31088;2003;2030;2030;x
Oetters;31089;GER;2003;2003;2003;2100;1;3;1;3;21;5;0;L31089;2003;2030;2030;x
Jansen;31090;GER;2003;2003;2003;2100;1;3;28;1;15;5;0;L31090;2003;2030;2030;x
Muerke;31091;GER;2003;2003;2003;2100;1;2;130;1;0;5;0;L31091;2003;2030;2030;x
Günzel;31092;GER;2003;2003;2003;2100;1;5;272;3;41;5;0;L31092;2003;2030;2030;x
Mende;31093;GER;2003;2003;2100;2100;2;2;10;1;12;5;0;L31093;2003;2030;2030;x
Korf;31094;GER;2003;2003;2100;2100;2;3;0;1;12;5;0;L31094;2003;2030;2030;x
Kelkman;31095;GER;2003;2003;2100;2100;2;2;0;2;17;5;0;L31095;2003;2030;2030;x
Rammer;31096;GER;2003;2003;2100;2100;2;2;128;1;34;5;0;L31096;2003;2030;2030;x
Befoering;31097;GER;2003;2003;2100;2100;2;3;0;1;2;5;0;L31097;2003;2030;2030;x
Pfahls;31098;GER;2003;2003;2100;2100;2;2;0;0;0;5;0;L31098;2003;2030;2030;x
Schreiber;31099;GER;2003;2003;2100;2100;2;2;0;0;0;5;0;L31099;2003;2030;2030;x
Konow;31100;GER;2003;2003;2100;2100;2;2;0;0;0;5;0;L31100;2003;2030;2030;x
Schnellst;31101;GER;2003;2100;2100;2100;3;3;256;2;23;5;0;L31101;2003;2030;2030;x
Machman;31102;GER;2003;2100;2100;2100;3;3;0;0;0;5;0;L31102;2003;2030;2030;x
Neusel;31103;GER;2003;2100;2100;2100;3;3;256;0;0;5;0;L31103;2003;2030;2030;x
Wolters;31104;GER;2003;2100;2100;2100;3;3;256;0;0;5;0;L31104;2003;2030;2030;x
Basner;31105;GER;2003;2100;2100;2100;3;3;128;0;0;5;0;L31105;2003;2030;2030;x
Büchner;31106;GER;2003;2100;2100;2100;3;3;0;0;0;5;0;L31106;2003;2030;2030;x
Peters;31107;GER;2003;2100;2100;2100;3;3;0;0;0;5;0;L31107;2003;2030;2030;x
Melker;31108;GER;2003;2100;2100;2100;3;3;0;0;0;5;0;L31108;2003;2030;2030;x
Gerke;31109;GER;2003;2100;2100;2100;3;3;128;0;0;5;0;L31109;2003;2030;2030;x
Kalker;31110;GER;2003;2003;2003;2003;0;4;12288;2;15;5;1;L31110;2003;2030;2030;x
Porzner;31111;GER;2003;2003;2003;2003;0;5;2024;2;11;5;1;L31111;2003;2030;2030;x
Schmitz;31112;GER;2003;2003;2003;2003;0;2;2048;1;11;5;1;L31112;2003;2030;2030;x
Boßbach;31113;GER;2003;2003;2003;2100;1;3;4096;1;21;5;1;L31113;2003;2030;2030;x
Heimann;31114;GER;2003;2003;2003;2100;1;2;0;0;31;5;1;L31114;2003;2030;2030;x
Morschner;31115;GER;2003;2003;2003;2100;1;2;0;0;54;5;1;L31115;2003;2030;2030;x
Kuehn;31116;GER;2003;2003;2003;2100;1;3;0;1;34;5;1;L31116;2003;2030;2030;x
Kronisch;31117;GER;2003;2003;2003;2100;1;3;2024;0;21;5;1;L31117;2003;2030;2030;x
Schneider;31118;GER;2003;2003;2100;2100;2;2;8192;2;19;5;1;L31118;2003;2030;2030;x
Kuechner;31119;GER;2003;2003;2100;2100;2;1;2024;0;13;5;1;L31119;2003;2030;2030;x
Krause;31120;GER;2003;2003;2100;2100;2;4;0;0;15;5;1;L31120;2003;2030;2030;x
Lange;31121;GER;2003;2003;2100;2100;2;3;0;0;1;5;1;L31121;2003;2030;2030;x
Bess;31122;GER;2003;2003;2100;2100;2;1;0;1;1;5;1;L31122;2003;2030;2030;x
Bremer;31123;GER;2003;2003;2100;2100;2;2;0;1;1;5;1;L31123;2003;2030;2030;x
Kratzmann;31124;GER;2003;2003;2100;2100;2;1;0;1;1;5;1;L31124;2003;2030;2030;x
Nielson;31125;GER;2003;2003;2100;2100;2;4;4096;2;1;5;1;L31125;2003;2030;2030;x
Flödler;31126;GER;2003;2100;2100;2100;3;2;0;1;1;5;1;L31126;2003;2030;2030;x
Hoch;31127;GER;2003;2100;2100;2100;3;3;0;1;1;5;1;L31127;2003;2030;2030;x
Hoops;31128;GER;2003;2100;2100;2100;3;2;0;1;1;5;1;L31128;2003;2030;2030;x
Hass;31129;GER;2003;2100;2100;2100;3;1;2024;1;1;5;1;L31129;2003;2030;2030;x
Mollenhauer;31130;GER;2003;2100;2100;2100;3;3;0;1;1;5;1;L31130;2003;2030;2030;x
von Dambrowski;31131;GER;2003;2100;2100;2100;3;3;0;2;1;5;1;L31131;2003;2030;2030;x
Bollow;31132;GER;2003;2100;2100;2100;3;5;14336;1;1;5;1;L31132;2003;2030;2030;x
Maltzan;31133;GER;2003;2100;2100;2100;3;2;0;0;1;5;1;L31133;2003;2030;2030;x
Wolf;31134;GER;2003;2100;2100;2100;3;3;0;0;1;5;1;L31134;2003;2030;2030;x
Lahnstein;31135;GER;2003;2003;2003;2003;0;2;139264;1;22;5;2;L31195;2003;2030;2030;x
Gericke;31136;GER;2003;2003;2003;2003;0;3;4096;2;23;5;2;L31196;2003;2030;2030;x
Stamm;31137;GER;2003;2003;2003;2003;0;3;0;3;31;5;2;L31197;2003;2030;2030;x
Bachmann;31138;GER;2003;2003;2003;2100;1;1;0;1;2;5;2;L31138;2003;2030;2030;x
Mißmer;31139;GER;2003;2003;2003;2100;1;4;4096;1;2;5;2;L31139;2003;2030;2030;x
Schoenmeyer;31140;GER;2003;2003;2003;2100;1;2;65536;2;2;5;2;L31140;2003;2030;2030;x
Götz;31141;GER;2003;2003;2003;2100;1;3;0;0;2;5;2;L31141;2003;2030;2030;x
Gräser;31142;GER;2003;2003;2003;2100;1;2;0;0;2;5;2;L31142;2003;2030;2030;x
Bosch;31143;GER;2003;2003;2003;2100;1;2;0;0;2;5;2;L31143;2003;2030;2030;x
Köster;31144;GER;2003;2003;2100;2100;2;4;20480;1;2;5;2;L31144;2003;2030;2030;x
Hagenbeck;31145;GER;2003;2003;2100;2100;2;1;0;1;2;5;2;L31145;2003;2030;2030;x
Kärcher;31146;GER;2003;2003;2100;2100;2;2;0;1;2;5;2;L31146;2003;2030;2030;x
Wildhagen;31147;GER;2003;2003;2100;2100;2;1;4096;1;2;5;2;L31147;2003;2030;2030;x
Koch;31148;GER;2003;2003;2100;2100;2;1;131072;1;2;5;2;L31148;2003;2030;2030;x
Sauer;31149;GER;2003;2003;2100;2100;2;2;0;0;2;5;2;L31149;2003;2030;2030;x
Lissner;31150;GER;2003;2003;2100;2100;2;2;0;0;2;5;2;L31150;2003;2030;2030;x
Summsemann;31151;GER;2003;2003;2100;2100;2;3;32768;0;2;5;2;L31151;2003;2030;2030;x
Schelzig;31152;GER;2003;2012;2018;2025;3;4;16384;2;2;5;2;L31152;2003;2030;2030;x
Meyer;31153;GER;2003;2100;2100;2100;3;1;32768;0;2;5;2;L31153;2003;2030;2030;x
Lindau;31154;GER;2003;2100;2100;2100;3;2;65536;0;2;5;2;L31154;2003;2030;2030;x
Bräunlich;31155;GER;2003;2100;2100;2100;3;2;131072;1;2;5;2;L31155;2003;2030;2030;x
Blödler;31156;GER;2003;2100;2100;2100;3;1;4096;0;2;5;2;L31156;2003;2030;2030;x
Carstens;31157;GER;2003;2100;2100;2100;3;1;0;1;2;5;2;L31157;2003;2030;2030;x
Börschner;31158;GER;2003;2100;2100;2100;3;3;0;1;2;5;2;L31158;2003;2030;2030;x
Duder;31159;GER;2003;2100;2100;2100;3;3;0;0;2;5;2;L31159;2003;2030;2030;x
Galle;31160;GER;2003;2100;2100;2100;3;5;77824;2;2;5;2;L31160;2003;2030;2030;x
