Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Brahnos;31500;GRE;2003;1990;1990;1990;3;3;32;0;0;3;0;;2003;2040;2040;X
Demestichas;31501;GRE;2003;2003;1990;1990;2;3;0;1;0;4;0;;2003;2040;2040;X
Elfthimios;31504;GRE;2003;2003;1990;1990;2;4;256;1;0;2;0;;2003;2040;2040;X
Gazes;31505;GRE;2003;2003;1990;1990;2;4;0;1;0;5;0;;2003;2040;2040;X
Karassos;31506;GRE;2003;2003;1990;1990;3;4;32;1;0;4;0;;2003;2040;2040;X
Kitsos;31507;GRE;2003;2003;1990;1990;3;4;0;1;0;2;0;;2003;2040;2040;X
Klados;31508;GRE;2003;2003;1990;1990;2;4;514;1;0;4;0;;2003;2040;2040;X
Kondylis;31509;GRE;2003;2003;2003;1990;1;5;516;1;0;3;0;;2003;2040;2040;X
Kotsalos;31510;GRE;2003;2003;1990;1990;3;4;64;1;0;3;0;;2003;2040;2040;X
Lavdas;31511;GRE;2003;2003;1990;1990;2;3;0;0;0;4;0;;2003;2040;2040;X
Lioumpas;31512;GRE;2003;1990;1990;1990;3;3;128;0;0;3;0;;2003;2040;2040;X
Markou;31513;GRE;2003;2003;1990;1990;2;4;0;1;0;2;0;;2003;2040;2040;X
Melissinos;31514;GRE;2003;1990;1990;1990;3;5;0;0;0;4;0;;2003;2040;2040;X
Metaxas;31515;GRE;2003;2003;2003;1990;1;5;2;1;0;3;0;;2003;2040;2040;X
Moutouses;31516;GRE;2003;2003;1990;1990;2;3;0;0;0;3;0;;2003;2040;2040;X
Pangalos;31517;GRE;2003;2003;2003;1990;1;4;0;1;0;3;0;;2003;2040;2040;X
Papageorgiou;31520;GRE;2003;2003;2003;1990;2;4;0;2;0;3;0;;2003;2040;2040;X
Papagos;31521;GRE;2003;2003;2003;2003;1;6;2;2;0;5;0;;2003;2040;2040;X
Papakonstinou;31522;GRE;2003;1990;1990;1990;3;4;0;0;0;4;0;;2003;2040;2040;X
Paraskevopoulos;31523;GRE;2003;2003;2003;1990;1;5;513;1;0;3;0;;2003;2040;2040;X
Pitsikas;31524;GRE;2003;2003;1990;1990;2;5;32;1;0;4;0;;2003;2040;2040;X
Roussopoulos;31525;GRE;2003;1990;1990;1990;3;3;1;0;0;2;0;;2003;2040;2040;X
Sarafis;31526;GRE;2003;2003;2003;1990;1;3;16;2;0;1;0;;2003;2040;2040;X
Stanotas;31527;GRE;2003;1990;1990;1990;3;3;0;0;0;3;0;;2003;2040;2040;X
