Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Arana;210000;GUA;2003;2003;2030;2030;3;4;0;1;0;4;0;;2003;2040;2040;X
Arbenz Guzman;210001;GUA;2003;2030;2030;2030;3;3;0;0;0;3;0;;2003;2040;2040;X
Buenaventure Pineda;210002;GUA;2003;1930;2030;2030;2;3;1;0;0;3;0;;2003;2040;2040;X
Castillo Armas;210003;GUA;2003;2003;2030;2030;2;3;0;1;0;4;0;;2003;2040;2040;X
Chacon de Leon;210004;GUA;2003;2003;2030;2030;2;5;16;1;0;4;0;;2003;2040;2040;X
Diaz de Leon;210005;GUA;2003;2030;2030;2030;3;4;4;0;0;3;0;;2003;2040;2040;X
Flores Avendano;210006;GUA;2003;2030;2030;2030;3;4;0;0;0;4;0;;2003;2040;2040;X
Orellana;210007;GUA;2003;2003;2003;2030;1;3;2;1;0;3;0;;2003;2040;2040;X
Ortiz Escaranté;210008;GUA;2003;2030;2030;2030;3;3;256;0;0;5;0;;2003;2040;2040;X
Ponce Vaides;210009;GUA;2003;1930;1930;2030;1;3;0;1;0;3;0;;2003;2040;2040;X
Ubico Castaneda;210010;GUA;2003;1930;1930;2030;1;4;1;1;0;4;0;;2003;2040;2040;X
Villafranco Mendoza;210011;GUA;2003;2030;2030;2030;3;4;0;0;0;5;0;;2003;2040;2040;X
Villagrán Ariza;210012;GUA;2003;2003;2030;2030;2;4;64;1;0;3;0;;2003;2040;2040;X
Ydigoras Fuentes;210013;GUA;2003;2030;2030;2030;3;4;128;0;0;5;0;;2003;2040;2040;X
Ezuira Abel;210014;GUA;2003;2030;2030;2030;3;3;0;0;0;3;1;;2003;2040;2040;X
Mendoza Arauja;210015;GUA;2003;2030;2030;2030;3;3;2024;0;0;4;1;;2003;2030;2030;x
Mendoza Urribe;210016;GUA;2003;2003;2030;2030;2;3;0;1;0;4;1;;2003;2030;2030;x
Torriello Garrido;210017;GUA;2003;2003;2030;2030;2;3;8192;1;0;3;1;;2003;2040;2040;X
Buenaventure Pineda;210018;GUA;2003;1930;2030;2030;2;3;0;1;0;3;2;;2003;2040;2040;X
Garcia Granados;210019;GUA;2003;2030;2030;2030;3;3;0;0;0;3;2;;2003;2040;2040;X
Martinez Castro;210020;GUA;2003;2030;2030;2030;3;3;0;0;0;2;2;;2003;2040;2040;X
Peralta Azurdia;210021;GUA;2003;2003;2030;2030;2;4;0;1;0;3;2;;2003;2040;2040;X
Tesch Orlando;210022;GUA;2003;2003;2030;2030;2;4;0;1;0;4;2;;2003;2040;2040;X
