Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Broche;537002;GUI;2003;1990;1990;1990;3;3;4;0;0;5;0;;2003;2040;2040;X
Delsol;537003;GUI;2003;1990;1990;1990;3;4;64;0;0;5;0;;2003;2040;2040;X
N'djep;537005;GUI;2003;1990;1990;1990;3;4;256;0;0;5;0;;2003;2040;2040;X
Mazana;537006;GUI;2003;1990;1990;1990;3;3;1;0;0;5;0;;2003;2040;2040;X
Terrac;537008;GUI;2003;2003;1990;1990;2;3;1;1;0;5;0;;2003;2040;2040;X
Vanier;537009;GUI;2003;2003;2003;1990;1;4;514;1;0;5;0;;2003;2040;2040;X
Kermadec;537010;GUI;2003;2003;2003;1990;2;4;4096;2;0;5;1;;2003;2040;2040;X
de Goujon de Thuisy;537011;GUI;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Bergé;537012;GUI;2003;2003;1990;1990;2;3;0;1;0;5;2;;2003;2040;2040;X
Ezanno;537014;GUI;2003;1990;1990;1990;3;3;0;1;0;5;2;;2003;2040;2040;X
