Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Újfalusi;36001;HUN;2003;2003;2003;2100;0;3;0;3;0;5;0;L36001;2003;2030;2030;x
A. Szûcs;36002;HUN;2003;2003;2003;2100;0;3;4;2;0;5;0;L36002;2003;2030;2030;x
Kovács;36003;HUN;2003;2003;2003;2100;0;3;0;1;0;5;0;L36003;2003;2030;2030;x
Petõ;36004;HUN;2003;2003;2003;2100;0;3;4096;2;0;5;2;L36004;2003;2030;2030;x
Varga;36005;HUN;2003;2003;2003;2100;0;3;4096;2;0;5;2;L36005;2003;2030;2030;x
Zsigmond;36006;HUN;2003;2003;2100;2100;1;3;0;1;0;5;0;L36006;2003;2030;2030;x
Kósa;36007;HUN;2003;2003;2100;2100;1;3;0;1;0;5;0;L36007;2003;2030;2030;x
Huszár;36008;HUN;2003;2003;2100;2100;1;3;4;2;0;5;0;L36008;2003;2030;2030;x
I. Szabó;36009;HUN;2003;2003;2100;2100;1;3;0;1;0;5;0;L36009;2003;2030;2030;x
Pálfi;36010;HUN;2003;2003;2100;2100;1;3;0;1;0;5;0;L36010;2003;2030;2030;x
Bognár;36011;HUN;2003;2003;2100;2100;1;3;1;2;0;5;0;L36011;2003;2030;2030;x
Matuz;36012;HUN;2003;2003;2100;2100;1;3;0;1;0;5;0;L36012;2003;2030;2030;x
Fürst;36013;HUN;2003;2003;2100;2100;1;3;0;1;0;5;0;L36013;2003;2030;2030;x
Kilián;36014;HUN;2003;2003;2100;2100;1;3;4096;3;0;5;2;L36014;2003;2030;2030;x
Baumann;36015;HUN;2003;2003;2100;2100;1;3;4096;3;0;5;2;L36015;2003;2030;2030;x
Orosz;36016;HUN;2003;2003;2100;2100;1;3;20480;3;0;5;2;L36016;2003;2030;2030;x
P. Szûcs;36017;HUN;2003;2003;2100;2100;1;3;12288;3;0;5;2;L36017;2003;2030;2030;x
T. Nagy;36018;HUN;2003;2003;2100;2100;1;3;0;1;0;5;2;L36018;2003;2030;2030;x
Lakatos;36019;HUN;2003;2003;2100;2100;1;3;0;1;0;5;2;L36019;2003;2030;2030;x
Gelencsér;36020;HUN;2003;2003;2100;2100;1;3;0;1;0;5;2;L36020;2003;2030;2030;x
Takács;36021;HUN;2003;2100;2100;2100;2;3;4;2;0;5;0;L36021;2003;2030;2030;x
Sándor;36022;HUN;2003;2100;2100;2100;2;3;256;2;0;5;0;L36022;2003;2030;2030;x
Fekete;36023;HUN;2003;2100;2100;2100;2;3;4;2;0;5;0;L36023;2003;2030;2030;x
Mészáros;36024;HUN;2003;2100;2100;2100;2;3;4;2;0;5;0;L36024;2003;2030;2030;x
Fehér;36025;HUN;2003;2100;2100;2100;2;3;2;2;0;5;0;L36025;2003;2030;2030;x
Manzák;36026;HUN;2003;2100;2100;2100;2;3;2;2;0;5;0;L36026;2003;2030;2030;x
Lörincz;36027;HUN;2003;2100;2100;2100;2;3;128;3;0;5;0;L36027;2003;2030;2030;x
J. Nagy;36028;HUN;2003;2100;2100;2100;2;3;128;3;0;5;0;L36028;2003;2030;2030;x
Kender;36029;HUN;2003;2100;2100;2100;3;3;256;2;0;5;0;L36029;2003;2030;2030;x
Vízi;36030;HUN;2003;2100;2100;2100;3;3;17;3;0;5;0;L36030;2003;2030;2030;x
Fábián;36031;HUN;2003;2100;2100;2100;3;3;17;3;0;5;0;L36031;2003;2030;2030;x
Tamás;36032;HUN;2003;2100;2100;2100;3;3;17;3;0;5;0;L36032;2003;2030;2030;x
Halász;36033;HUN;2003;2100;2100;2100;3;3;0;1;0;5;0;L36033;2003;2030;2030;x
L. Szabó;36034;HUN;2003;2100;2100;2100;3;3;0;1;0;5;0;L36034;2003;2030;2030;x
Harczi;36035;HUN;2003;2100;2100;2100;3;3;0;1;0;5;0;L36035;2003;2030;2030;x
Debreczeni;36036;HUN;2003;2100;2100;2100;3;3;0;1;0;5;0;L36036;2003;2030;2030;x
Lamos;36037;HUN;2003;2100;2100;2100;2;3;20480;2;0;5;2;L36037;2003;2030;2030;x
C. Varga;36038;HUN;2003;2100;2100;2100;2;3;20480;1;0;5;2;L36038;2003;2030;2030;x
A. Varga;36039;HUN;2003;2100;2100;2100;2;3;20480;1;0;5;2;L36039;2003;2030;2030;x
J. Szûcs;36040;HUN;2003;2100;2100;2100;2;3;12288;2;0;5;2;L36040;2003;2030;2030;x
Turzó;36041;HUN;2003;2100;2100;2100;3;3;12288;2;0;5;2;L36041;2003;2030;2030;x
Gáspár;36042;HUN;2003;2003;2003;2100;0;3;1;2;0;5;0;L36042;2003;2030;2030;x
Turi;36043;HUN;2003;2003;2003;2100;0;3;1;2;0;5;0;L36043;2003;2030;2030;x
Hazuga;36044;HUN;2003;2003;2003;2100;0;3;1;1;0;5;0;L36044;2003;2030;2030;x
Hajnal;36045;HUN;2003;2003;2003;2100;0;3;1;1;0;5;0;L36045;2003;2030;2030;x
Anda;36046;HUN;2003;2003;2003;2100;0;3;1;1;0;5;0;L36046;2003;2030;2030;x
Kelemen;36047;HUN;2003;2100;2100;2100;2;3;128;3;0;5;0;L36047;2003;2030;2030;x
Lippai;36048;HUN;2003;2100;2100;2100;2;3;256;2;0;5;0;L36048;2003;2030;2030;x
