Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
J. J. Singh;37001;IND;2003;2003;2003;2003;0;5;4;3;0;5;0;L37001;2003;2030;2030;x
Puri;37002;IND;2003;2003;2003;2030;1;5;3;3;0;5;0;L37002;2003;2030;2030;x
M. Singh;37003;IND;2003;2003;2003;2030;1;5;0;3;0;5;0;L37003;2003;2030;2030;x
R. Singh;37004;IND;2003;2003;2003;2030;1;5;32;3;0;5;0;L37004;2003;2030;2030;x
N. Sharma;37005;IND;2003;2003;2003;2030;1;5;5;3;0;5;0;L37006;2003;2030;2030;x
A. Sharma;37006;IND;2003;2003;2003;2030;1;5;132;3;0;5;0;L37007;2003;2030;2030;x
Vasudeva;37007;IND;2003;2003;2003;2030;1;5;2;3;0;5;0;L37007;2003;2030;2030;x
Ma. Singh ;37008;IND;2003;2003;2003;2030;2;5;17;2;0;5;0;L37008;2003;2030;2030;x
Kumar;37009;IND;2003;2003;2003;2030;1;5;0;2;0;5;0;L37009;2003;2030;2030;x
B. Singh;37010;IND;2003;2003;2003;2030;1;5;292;2;0;5;0;L37010;2003;2030;2030;x
J. L. Sharma;37011;IND;2003;2003;2003;2030;1;5;0;1;0;5;0;L37011;2003;2030;2030;x
Nagra;37012;IND;2003;2003;2003;2030;1;5;4;1;0;5;0;L37012;2003;2030;2030;x
Patankar;37013;IND;2003;2003;2003;2030;1;5;260;2;0;5;0;L37013;2003;2030;2030;x
R. B. Singh;37014;IND;2003;2003;2003;2030;1;5;0;1;0;5;0;L37014;2003;2030;2030;x
Jetley;37015;IND;2003;2003;2003;2030;1;5;0;1;0;5;0;L37015;2003;2030;2030;x
Kanwar;37016;IND;2003;2003;2003;2030;1;5;128;2;0;5;0;L37016;2003;2030;2030;x
Negi;37017;IND;2003;2003;2003;2030;1;5;0;1;0;5;0;L37017;2003;2030;2030;x
