Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abdulhamid Pontiak;577000;INO;2003;1990;1990;1990;3;2;2;2;0;5;0;;2003;2040;2040;X
Bakker;577002;INO;2003;2003;1990;1990;2;4;0;1;0;5;0;;2003;2040;2040;X
Berenschot;577003;INO;2003;2003;1990;1990;2;3;2;1;0;5;0;;2003;2040;2040;X
Boerstra;577004;INO;2003;2003;1990;1990;2;4;1;1;0;4;0;;2003;2040;2040;X
Damiri;577005;INO;2003;1990;1990;1990;3;3;64;3;0;5;0;;2003;2040;2040;X
Machmud;577007;INO;2003;2003;1990;1990;2;4;0;1;0;5;0;;2003;2040;2040;X
Malaka;577008;INO;2003;2003;2003;1990;1;7;16;2;0;5;0;;2003;2040;2040;X
Nasution;577009;INO;2003;2003;2003;1990;1;5;4;2;0;5;0;;2003;2040;2040;X
Ngabehi;577010;INO;2003;1990;1990;1990;3;3;1;0;0;5;0;;2003;2040;2040;X
Prabowo;577011;INO;2003;1990;1990;1990;3;3;4;0;0;5;0;;2003;2040;2040;X
Rachmat;577012;INO;2003;2003;2003;1990;2;4;32;2;0;5;0;;2003;2040;2040;X
Recompa;577013;INO;2003;1990;1990;1990;3;4;0;1;0;5;0;;2003;2040;2040;X
Sjamsoddin;577014;INO;2003;1990;1990;1990;3;3;1;2;0;5;0;;2003;2040;2040;X
Spoor;577015;INO;2003;2003;1990;1990;3;5;0;1;0;5;1;;2003;2040;2040;X
Sudiman;577017;INO;2003;2003;1990;1990;2;4;0;2;0;5;1;;2003;2040;2040;X
Sudirman;577019;INO;2003;2003;1990;1990;2;3;0;1;0;5;1;;2003;2040;2040;X
Suharto;577020;INO;2003;2003;1990;1990;2;6;0;1;0;5;1;;2003;2040;2040;X
Sukarno;577021;INO;2003;2003;2003;2003;1;3;0;2;0;5;2;;2003;2040;2040;X
Sumoharjo;577022;INO;2003;2003;1990;1990;2;4;0;1;0;5;2;;2003;2040;2040;X
Suratman;577023;INO;2003;1990;1990;1990;3;3;0;3;0;5;2;;2003;2040;2040;X
Suryo;577024;INO;2003;2003;1990;1990;2;5;0;1;0;5;2;;2003;2040;2040;X
Wihawartha;577029;INO;2003;1990;1990;1990;3;3;0;2;0;5;2;;2003;2040;2040;X
Jusf;577030;INO;2003;2003;2003;1990;2;3;4096;2;0;5;2;;2003;2040;2040;X
Rewrewfa;577032;INO;2003;1990;1990;1990;3;3;32768;1;0;5;2;;2003;2040;2040;X
Riyadi;577033;INO;2003;1990;1990;1990;3;3;0;1;0;5;2;;2003;2040;2040;X
Sukarno;577034;INO;2003;2003;2003;1990;1;3;131072;2;0;5;2;;2003;2040;2040;X
Suryo;577035;INO;2003;2003;1990;1990;2;3;0;1;0;5;2;;2003;2040;2040;X
Pakmehasan;577037;INO;2003;2003;2003;1990;1;4;1;2;0;5;0;;2003;2040;2040;X
