Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Naghiloo;38001;PER;2003;2003;2030;2030;2;7;20480;3;0;5;2;;2003;2030;2030;x
Tavassoly;38002;PER;2003;2030;2030;2030;3;7;16;3;0;5;0;;2003;2030;2030;x
Kazemi;38003;PER;2003;2003;2030;2030;1;6;2;2;0;5;0;;2003;2030;2030;x
Bandari;38004;PER;2003;2030;2030;2030;3;6;128;2;0;5;0;;2003;2030;2030;x
Aryanpur;38005;PER;2003;2003;2003;2030;1;7;32768;4;0;5;2;;2003;2030;2030;x
Morteza Saffari;38006;PER;2003;2003;2030;2030;2;7;2024;3;0;5;1;saffari;2003;2030;2030;x
Bahramzadah;38007;PER;2003;2003;2030;2030;2;5;4;1;0;5;0;;2003;2030;2030;x
Kashani;38008;PER;2003;2003;2003;2030;1;6;16;2;0;5;0;;2003;2030;2030;x
Ali Reza Asgari;38009;PER;2003;2030;2030;2030;3;7;96;2;0;5;0;asgari;2003;2030;2030;x
Khurasani;38010;PER;2003;2003;2030;2030;2;6;1;2;0;5;0;;2003;2030;2030;x
Mashadi;38011;PER;2003;2030;2030;2030;3;6;0;2;0;5;0;;2003;2030;2030;x
Mehrala;38012;PER;2003;2030;2030;2030;3;6;0;2;0;5;0;;2003;2030;2030;x
Jalali;38013;PER;2003;2003;2030;2030;2;6;32768;2;0;5;2;;2003;2030;2030;x
Bagherani;38014;PER;2003;2003;2030;2030;2;6;0;2;0;5;2;;2003;2030;2030;x
Samarrokai;38015;PER;2003;2030;2030;2030;3;6;0;2;0;5;1;;2003;2030;2030;x
Zayandeh;38016;PER;2003;2030;2030;2030;3;7;192;4;0;5;0;;2003;2030;2030;x
Shirazi;38017;PER;2003;2003;2030;2030;2;6;0;2;0;5;0;;2003;2030;2030;x
Mohammad Hejazi;38018;PER;2003;2003;2003;2030;1;7;18;3;0;5;0;hejazi;2003;2030;2030;x
Tehrani;38019;PER;2003;2003;2030;2030;2;6;65536;2;0;5;2;;2003;2030;2030;x
Qassem Soleimani;38020;PER;2003;2030;2030;2030;3;7;130;3;0;5;0;soleimani;2003;2030;2030;x
Bakhtiari;38021;PER;2003;2030;2030;2030;3;6;2;2;0;5;0;;2003;2030;2030;x
Razi;38022;PER;2003;2003;2030;2030;0;6;2;2;0;5;0;;2003;2030;2030;x
Makouei;38023;PER;2003;2030;2030;2030;3;5;0;4;0;5;0;;2003;2030;2030;x
Mohammed Ali Jafari;38024;PER;2003;2003;2003;2030;1;6;128;2;0;5;0;jafari;2003;2030;2030;x
Bozorgmehr;38025;PER;2003;2003;2030;2030;2;6;2;2;0;5;0;;2003;2030;2030;x
Almasi;38026;PER;2003;2003;2003;2030;1;7;4;3;0;5;0;;2003;2030;2030;x
Pilbah;38027;PER;2003;2030;2030;2030;3;7;260;3;0;5;0;;2003;2030;2030;x
Sedigeh;38028;PER;2003;2030;2030;2030;3;6;1;2;0;5;0;;2003;2030;2030;x
Reisy;38029;PER;2003;2030;2030;2030;3;5;4;1;0;5;0;;2003;2030;2030;x
Hajivand;38030;PER;2003;2030;2030;2030;3;7;6;3;0;5;0;;2003;2030;2030;x
Kiani;38031;PER;2003;2003;2003;2003;0;7;4096;3;0;5;1;;2003;2030;2030;x
Hermatkhah;38032;PER;2003;2003;2003;2030;2;6;1;2;0;5;0;;2003;2030;2030;x
Abolfazel;38033;PER;2003;2030;2030;2030;3;7;147456;3;0;5;2;;2003;2030;2030;x
Abdol Ali Najafi;38034;PER;2003;2003;2003;2030;2;7;36;3;0;5;0;najafi;2003;2030;2030;x
Khosravi;38035;PER;2003;2003;2003;2030;1;6;0;2;0;5;0;;2003;2030;2030;x
Sedigeh;38036;PER;2003;2003;2030;2030;2;7;6144;2;0;5;1;;2003;2030;2030;x
Mazloomi;38037;PER;2003;2003;2003;2030;1;6;128;2;0;5;0;;2003;2030;2030;x
Yahya Rahim Safavi;38038;PER;2003;2003;2003;2003;2;6;32;4;0;5;0;safavi;2003;2030;2030;x
Ghezelbash;38039;PER;2003;2003;2003;2003;0;7;4096;3;0;5;1;;2003;2030;2030;x
Amin;38040;PER;2003;2003;2030;2030;2;7;144;3;0;5;0;;2003;2030;2030;x
