Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Brennan;77001;IRE;2003;2003;1990;1990;2;5;516;1;0;5;0;;2003;2040;2040;X
Bryan;77002;IRE;2003;2003;1990;1990;2;4;2;1;0;5;0;;2003;2040;2040;X
Costello;77004;IRE;2003;2003;2003;1990;1;5;0;2;0;5;0;;2003;2040;2040;X
Fitzemmett;77005;IRE;2003;1990;1990;1990;3;5;514;1;0;5;0;;2003;2040;2040;X
Flynn;77007;IRE;2003;1990;1990;1990;3;3;0;0;0;5;0;;2003;2040;2040;X
Hanrahan;77008;IRE;2003;2003;1990;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Kelly;77009;IRE;2003;1990;1990;1990;3;3;64;0;0;5;0;;2003;2040;2040;X
Killane;77010;IRE;2003;2003;1990;1990;2;3;2;1;0;5;0;;2003;2040;2040;X
Kinnane;77011;IRE;2003;2003;1990;1990;2;3;64;1;0;5;0;;2003;2040;2040;X
MacNeill;77012;IRE;2003;2003;1990;1990;2;5;0;1;0;5;0;;2003;2040;2040;X
McCabe;77013;IRE;2003;1990;1990;1990;3;3;0;0;0;5;0;;2003;2040;2040;X
McKenna;77014;IRE;2003;2003;1990;1990;2;4;16;1;0;5;0;;2003;2040;2040;X
McLaughlin;77015;IRE;2003;1990;1990;1990;3;3;0;0;0;5;0;;2003;2040;2040;X
McNally;77016;IRE;2003;2003;1990;1990;2;4;32;1;0;5;0;;2003;2040;2040;X
Moore;77017;IRE;2003;2003;1990;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Murphy;77018;IRE;2003;2003;2003;1990;1;3;2;2;0;5;0;;2003;2040;2040;X
O'Connor;77019;IRE;2003;1990;1990;1990;3;3;1;0;0;2;0;;2003;2040;2040;X
O'Duffy;77020;IRE;2003;1990;1990;1990;3;3;0;0;0;2;1;;2003;2040;2040;X
O'Sullivan;77021;IRE;2003;1946;1990;1990;3;4;0;1;0;5;2;;2003;2040;2040;X
Selia;77022;IRE;2003;1990;1990;1990;3;3;0;0;0;5;2;;2003;2040;2040;X
Staines;77023;IRE;2003;1990;1990;1990;3;3;0;0;0;5;1;;2003;2040;2040;X
Green;77024;IRE;2003;2003;2003;1990;1;3;0;1;0;5;1;;2003;2040;2040;X
Jerome;77025;IRE;2003;1990;1990;1990;3;3;0;0;0;5;1;;2003;2040;2040;X
Lawlor;77026;IRE;2003;1990;1990;1990;3;3;8192;0;0;5;1;;2003;2040;2040;X
McSweeney;77027;IRE;2003;1990;1990;1990;3;4;4096;0;0;5;1;;2003;2040;2040;X
O'Muiris;77028;IRE;2003;1990;1990;1990;3;3;2024;0;0;5;1;;2003;2040;2040;X
Preston;77029;IRE;2003;2003;1946;1990;2;5;0;2;0;5;2;;2003;2040;2040;X
Delamere;77030;IRE;2003;1990;1990;1990;3;3;0;0;0;5;2;;2003;2040;2040;X
McNally;77031;IRE;2003;1990;1990;1990;3;3;0;0;0;5;2;;2003;2040;2040;X
Mulcahy;77032;IRE;2003;2003;1990;1990;2;3;4096;1;0;5;2;;2003;2040;2040;X
