Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Yaalon;39500;ISR;2003;2003;2003;2100;1;5;5;3;0;5;0;L39500;2003;2030;2030;x
Shahak;39501;ISR;2003;2003;2100;2100;2;5;128;2;0;5;0;L39501;2003;2030;2030;x
Tal;39502;ISR;2003;2003;2100;2100;2;5;0;2;0;5;0;L39502;2003;2030;2030;x
Stern;39503;ISR;2003;2003;2100;2100;2;5;2;2;0;5;0;L39503;2003;2030;2030;x
Ziv;39504;ISR;2003;2003;2100;2100;2;5;1;3;0;5;0;L39504;2003;2030;2030;x
Garshon;39505;ISR;2003;2003;2100;2100;2;5;0;3;0;5;0;L39505;2003;2030;2030;x
Levine;39506;ISR;2003;2003;2100;2100;2;5;0;1;0;5;0;L39506;2003;2030;2030;x
Mishlav;39507;ISR;2003;2003;2100;2100;2;5;0;3;0;5;0;L39507;2003;2030;2030;x
Bar;39508;ISR;2003;2003;2100;2100;2;5;128;2;0;5;0;L39508;2003;2030;2030;x
Shani;39509;ISR;2003;2003;2100;2100;2;5;0;2;0;5;0;L39509;2003;2030;2030;x
Gallant;39510;ISR;2003;2003;2100;2100;2;5;6;2;0;5;0;L39510;2003;2030;2030;x
Drori;39511;ISR;2003;2003;2100;2100;2;5;128;1;0;5;0;L39511;2003;2030;2030;x
Vilnai;39512;ISR;2003;2003;2100;2100;2;5;0;2;0;5;0;L39512;2003;2030;2030;x
Mandelbalit;39513;ISR;2003;2100;2100;2100;3;5;0;3;0;5;0;L39513;2003;2030;2030;x
Keren;39514;ISR;2003;2100;2100;2100;3;5;1;1;0;5;0;L39514;2003;2030;2030;x
Regev;39515;ISR;2003;2100;2100;2100;3;5;0;3;0;5;0;L39515;2003;2030;2030;x
Yaron;39516;ISR;2003;2100;2100;2100;3;5;4;2;0;5;0;L39516;2003;2030;2030;x
Harel;39517;ISR;2003;2100;2100;2100;3;5;0;1;0;5;0;L39517;2003;2030;2030;x
Halutz;39518;ISR;2003;2003;2003;2100;1;5;20480;3;0;5;2;L39518;2003;2030;2030;x
Shkedi;39519;ISR;2003;2003;2003;2100;2;5;0;2;0;5;2;L39519;2003;2030;2030;x
Yadlin;39520;ISR;2003;2003;2100;2100;2;5;0;2;0;5;2;L39520;2003;2030;2030;x
Epstein;39521;ISR;2003;2003;2100;2100;2;5;4096;5;0;5;2;L39521;2003;2030;2030;x
Eliyahu;39522;ISR;2003;2003;2100;2100;2;5;131072;3;0;5;2;L39522;2003;2030;2030;x
Eshel;39523;ISR;2003;2100;2100;2100;3;5;0;2;0;5;2;L39523;2003;2030;2030;x
Loker;39524;ISR;2003;2100;2100;2100;3;5;0;1;0;5;2;L39524;2003;2030;2030;x
Tankos;39525;ISR;2003;2003;2003;2003;0;5;2024;2;0;5;1;L39525;2003;2030;2030;x
Yaari;39526;ISR;2003;2003;2100;2100;2;5;4096;3;0;5;1;L39526;2003;2030;2030;x
Ben-Bashat;39527;ISR;2003;2003;2100;2100;2;5;0;1;0;5;1;L39527;2003;2030;2030;x
