Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Moschini;40001;ITA;2003;2003;2003;2003;0;6;0;1;0;5;0;L40001;2003;2030;2030;x
Cabigiosu;40002;ITA;2003;2003;2003;2100;1;6;4;2;0;5;0;L40002;2003;2030;2030;x
Mini;40003;ITA;2003;2003;2003;2100;1;6;148;4;0;5;0;L40003;2003;2030;2030;x
Cecchi;40004;ITA;2003;2003;2003;2100;1;6;144;3;0;5;0;L40004;2003;2030;2030;x
Marzo;40005;ITA;2003;2003;2003;2100;1;6;0;3;0;5;0;L40005;2003;2030;2030;x
Castagnetti;40006;ITA;2003;2003;2003;2100;1;6;1;3;0;5;0;L40006;2003;2030;2030;x
Cocozza;40007;ITA;2003;2003;2003;2100;1;6;132;2;0;5;0;L40007;2003;2030;2030;x
Del Vecchio;40008;ITA;2003;2003;2003;2100;1;6;129;2;0;5;0;L40008;2003;2030;2030;x
Gianattasio;40009;ITA;2003;2003;2003;2100;1;6;0;2;0;5;0;L40009;2003;2005;x
Mora;40010;ITA;2003;2003;2100;2100;2;6;320;2;0;5;0;L40010;2003;2030;2030;x
Marizza;40011;ITA;2003;2003;2100;2100;2;6;265;3;0;5;0;L40011;2003;2030;2030;x
Ferrari;40012;ITA;2003;2003;2100;2100;2;6;0;2;0;5;0;L40012;2003;2030;2030;x
Gay;40013;ITA;2003;2003;2100;2100;2;6;160;3;0;5;0;L40013;2003;2030;2030;x
Valotto;40014;ITA;2003;2003;2100;2100;2;6;144;3;0;5;0;L40014;2003;2030;2030;x
Pellegrino;40015;ITA;2003;2003;2100;2100;2;6;1;1;0;5;0;L40015;2003;2030;2030;x
Marioli;40016;ITA;2003;2003;2100;2100;2;6;64;1;0;5;0;L40016;2003;2030;2030;x
Lops;40017;ITA;2003;2003;2100;2100;2;6;132;2;0;5;0;L40017;2003;2030;2030;x
Vitale;40018;ITA;2003;2100;2100;2100;3;6;1;2;0;5;0;L40018;2003;2030;2030;x
Abrate;40019;ITA;2003;2100;2100;2100;3;6;8;3;0;5;0;L40019;2003;2030;2030;x
Errico;40020;ITA;2003;2100;2100;2100;3;6;128;3;0;5;0;L40020;2003;2030;2030;x
Villani;40021;ITA;2003;2100;2100;2100;3;6;0;3;0;5;0;L40021;2003;2030;2030;x
Chiarini;40022;ITA;2003;2100;2100;2100;3;6;136;3;0;5;0;L40022;2003;2030;2030;x
Di Frederico;40023;ITA;2003;2100;2100;2100;3;6;264;2;0;5;0;L40023;2003;2030;2030;x
De Maggio;40024;ITA;2003;2100;2100;2100;3;6;160;3;0;5;0;L40024;2003;2030;2030;x
Fierro;40025;ITA;2003;2100;2100;2100;3;6;320;1;0;5;0;L40025;2003;2030;2030;x
Torelli;40026;ITA;2003;2100;2100;2100;3;6;256;3;0;5;0;L40026;2003;2030;2030;x
Bosco;40027;ITA;2003;2100;2100;2100;3;6;0;1;0;5;0;L40027;2003;2030;2030;x
la Valle;40028;ITA;2003;2100;2100;2100;3;6;128;2;0;5;0;L40028;2003;2030;2030;x
G. Cecchi;40029;ITA;2003;2003;2003;2003;0;6;3072;3;0;5;1;L40029;2003;2030;2030;x
Venturoni;40030;ITA;2003;2003;2003;2003;1;6;4096;4;0;5;1;L40030;2003;2030;2030;x
Branciforte;40031;ITA;2003;2003;2003;2100;1;6;4096;2;0;5;1;L40031;2003;2030;2030;x
di Paola;40032;ITA;2003;2003;2003;2100;1;6;0;2;0;5;1;L40032;2003;2030;2030;x
Vitaloni;40033;ITA;2003;2003;2003;2100;1;6;8192;2;0;5;1;L40033;2003;2030;2030;x
Cesaretti;40034;ITA;2003;2003;2003;2100;1;6;12288;3;0;5;1;L40034;2003;2030;2030;x
Monteforte;40035;ITA;2003;2003;2003;2100;1;6;0;2;0;5;1;L40035;2003;2030;2030;x
Bettini;40036;ITA;2003;2003;2100;2100;2;6;4096;3;0;5;1;L40036;2003;2030;2030;x
Muliere;40037;ITA;2003;2003;2100;2100;2;6;0;1;0;5;1;L40037;2003;2030;2030;x
Gemignani;40038;ITA;2003;2003;2100;2100;2;6;5120;2;0;5;1;L40038;2003;2030;2030;x
Cervone;40039;ITA;2003;2100;2100;2100;3;6;4096;3;0;5;1;L40039;2003;2030;2030;x
Maltinti;40040;ITA;2003;2100;2100;2100;3;6;0;1;0;5;1;L40040;2003;2030;2030;x
La Rosa;40041;ITA;2003;2100;2100;2100;3;6;4096;3;0;5;1;L40041;2003;2030;2030;x
Pollice;40042;ITA;2003;2003;2003;2100;0;6;20480;3;0;5;2;L40042;2003;2030;2030;x
Tricarico;40043;ITA;2003;2003;2003;2100;1;6;4096;4;0;5;2;L40043;2003;2030;2030;x
Camporini;40044;ITA;2003;2003;2003;2100;1;6;139264;3;0;5;2;L40044;2003;2030;2030;x
Notari;40045;ITA;2003;2003;2100;2100;2;6;8192;2;0;5;2;L40045;2003;2030;2030;x
Finacchio;40046;ITA;2003;2003;2100;2100;2;6;0;2;0;5;2;L40046;2003;2030;2030;x
Ferro;40047;ITA;2003;2003;2100;2100;2;6;4096;1;0;5;2;L40047;2003;2030;2030;x
Marani;40048;ITA;2003;2100;2100;2100;3;6;16384;2;0;5;2;Unknown;2003;2030;2030;x
Bagozzi;40049;ITA;2003;2100;2100;2100;3;6;0;2;0;5;2;L40049;2003;2030;2030;x
