Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abe;41501;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Abe;2003;2030;2030;x
Appari;41502;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Appari;2003;2030;2030;x
Arakawa;41503;JAP;2000;2000;2030;2030;2;9;132;2;0;5;0;Arakawa;2003;2030;2030;x
Chiba;41504;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Chiba;2003;2030;2030;x
Fukunaga;41505;JAP;2000;2030;2030;2030;3;9;4;3;0;5;0;Fukunaga;2003;2030;2030;x
Hasebe;41506;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Hasebe;2003;2030;2030;x
Hayafuchi;41507;JAP;2000;2000;2030;2030;2;9;0;1;0;5;0;Hayafuchi;2003;2030;2030;x
Hayashi;41508;JAP;2000;2000;2030;2030;2;9;0;1;0;5;0;Hayashi;2003;2030;2030;x
Hibako;41509;JAP;2000;2000;2000;2030;1;9;32;3;0;5;0;Hibako;2003;2030;2030;x
Ichida;41510;JAP;2000;2030;2030;2030;3;9;256;2;0;5;0;Ichida;2003;2030;2030;x
Ito;41511;JAP;2000;2030;2030;2030;3;9;0;1;0;5;0;Ito;2003;2030;2030;x
Izumi;41512;JAP;2000;2000;2030;2030;2;9;0;3;0;5;0;Izumi;2003;2030;2030;x
Kaida;41513;JAP;2000;2030;2030;2030;3;9;16;2;0;5;0;Kaida;2003;2030;2030;x
Kawamoto;41514;JAP;2000;2030;2030;2030;3;9;0;1;0;5;0;Kawamoto;2003;2030;2030;x
Kizaki;41515;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Kizaki;2003;2030;2030;x
Koukami;41516;JAP;2000;2030;2030;2030;3;9;67108996;3;0;5;0;Koukami;2003;2030;2030;x
Matsumura;41517;JAP;2000;2030;2030;2030;3;9;268435456;3;0;5;0;Matsumura;2003;2030;2030;x
Miyashita;41518;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Miyashita;2003;2030;2030;x
Mochida;41519;JAP;2000;2000;2030;2030;2;9;0;3;0;5;0;Mochida;2003;2030;2030;x
Munakata;41520;JAP;2000;2000;2030;2030;3;9;0;2;0;5;0;Munakata;2003;2030;2030;x
Noyama;41521;JAP;2000;2030;2030;2030;3;9;1;2;0;5;0;Noyama;2003;2030;2030;x
Nozawa;41522;JAP;2000;2030;2030;2030;3;9;68;3;0;5;0;Nozawa;2003;2030;2030;x
Okubo;41523;JAP;2000;2030;2030;2030;3;9;0;1;0;5;0;Okubo;2003;2030;2030;x
Oriki;41524;JAP;2000;2000;2000;2030;1;9;0;4;0;5;0;Oriki;2003;2030;2030;x
Satô;41525;JAP;2000;2000;2030;2030;2;9;20;2;0;5;0;Sato;2003;2030;2030;x
Shibata;41526;JAP;2000;2000;2030;2030;2;9;0;3;0;5;0;Shibata;2003;2030;2030;x
Sunami;41527;JAP;2000;2000;2030;2030;2;9;4;2;0;5;0;Sunami;2003;2030;2030;x
Suzuki;41528;JAP;2000;2030;2030;2030;3;9;0;2;0;5;0;Suzuki;2003;2030;2030;x
Terui;41529;JAP;2000;2030;2030;2030;3;9;2;2;0;5;0;Terui;2003;2030;2030;x
Tomita;41530;JAP;2000;2030;2030;2030;3;9;64;1;0;5;0;Tomita;2003;2030;2030;x
Watanabe;41531;JAP;2000;2000;2030;2030;2;9;0;2;0;5;0;Watanabe;2003;2030;2030;x
Yamanoue;41532;JAP;2000;2030;2030;2030;3;9;0;1;0;5;0;Yamanoue;2003;2030;2030;x
Akahoshi;41533;JAP;2000;2000;2000;2030;1;9;4096;4;0;5;1;Akahoshi;2003;2030;2030;x
Hoshi;41534;JAP;2000;2000;2030;2030;3;9;0;2;0;5;1;Hoshi;2003;2030;2030;x
Kanakubo;41535;JAP;2000;2030;2030;2030;3;9;0;1;0;5;1;Kanakubo;2003;2030;2030;x
Kato;41536;JAP;2000;2000;2030;2030;2;9;4096;2;0;5;1;Kato;2003;2030;2030;x
Kawamura;41537;JAP;2000;2000;2030;2030;2;9;0;3;0;5;1;Kawamura;2003;2030;2030;x
Matsumoto;41538;JAP;2000;2030;2030;2030;3;9;2048;2;0;5;1;Matsumoto;2003;2030;2030;x
Matsuoka;41539;JAP;2000;2000;2030;2030;2;9;0;3;0;5;1;Matsuoka;2003;2030;2030;x
Murataka;41540;JAP;2000;2030;2030;2030;3;9;2024;3;0;5;1;Murataka;2003;2030;2030;x
Miyasaki;41541;JAP;2000;2030;2030;2030;3;9;0;2;0;5;1;Miyasaki;2003;2030;2030;x
Nemura;41542;JAP;2000;2030;2030;2030;3;9;0;1;0;5;1;Nemura;2003;2030;2030;x
Noi;41543;JAP;2000;2030;2030;2030;3;9;0;1;0;5;1;Noi;2003;2030;2030;x
Sugimoto;41544;JAP;2000;2000;2030;2030;2;9;0;4;0;5;1;Sugimoto;2003;2030;2030;x
Takeda;41545;JAP;2000;2000;2030;2030;2;9;0;3;0;5;1;Takeda;2003;2030;2030;x
Tsukigi;41546;JAP;2000;2030;2030;2030;3;9;0;2;0;5;1;Tsukigi;2003;2030;2030;x
Yamamoto;41547;JAP;2000;2030;2030;2030;3;9;8192;2;0;5;1;Yamamoto1;2003;2030;2030;x
Yamamoto;41548;JAP;2000;2030;2030;2030;3;9;0;3;0;5;1;Yamamoto2;2003;2030;2030;x
Hiramoto;41549;JAP;2000;2030;2030;2030;3;9;8192;1;0;5;2;Hiramoto;2003;2030;2030;x
Hirata;41550;JAP;2000;2000;2030;2030;2;9;0;3;0;5;2;Hirata;2003;2030;2030;x
Hokasono;41551;JAP;2000;2000;2000;2030;1;9;4096;3;0;5;2;Hokasono;2003;2030;2030;x
Ishino;41552;JAP;2000;2030;2030;2030;3;9;4096;4;0;5;2;Ishino;2003;2030;2030;x
Kataoka;41553;JAP;2000;2000;2030;2030;2;9;0;2;0;5;2;Kataoka;2003;2030;2030;x
Koga;41554;JAP;2000;2030;2030;2030;3;9;0;1;0;5;2;Koga;2003;2030;2030;x
Komatsu;41555;JAP;2000;2030;2030;2030;3;9;131072;3;0;5;2;Komatsu;2003;2030;2030;x
Komezawa;41556;JAP;2000;2030;2030;2030;3;9;16384;2;0;5;2;Komezawa;2003;2030;2030;x
Kuramoto;41557;JAP;2000;2000;2030;2030;2;9;131072;1;0;5;2;Kuramoto;2003;2030;2030;x
Maehara;41558;JAP;2000;2030;2030;2030;3;9;0;3;0;5;2;Maehara;2003;2030;2030;x
Miyagawa;41559;JAP;2000;2030;2030;2030;3;9;8192;2;0;5;2;Miyagawa;2003;2030;2030;x
Miyamoto;41560;JAP;2000;2030;2030;2030;3;9;0;3;0;5;2;Miyamoto;2003;2030;2030;x
Morimoto;41561;JAP;2000;2030;2030;2030;3;9;0;1;0;5;2;Morimoto;2003;2030;2030;x
Nagata;41562;JAP;2000;2000;2030;2030;2;9;0;3;0;5;2;Nagata;2003;2030;2030;x
Nakata;41563;JAP;2000;2030;2030;2030;3;9;131072;3;0;5;2;Nakata;2003;2030;2030;x
Onoda;41564;JAP;2000;2000;2030;2030;2;9;0;2;0;5;2;Onoda;2003;2030;2030;x;
Otani;41565;JAP;2000;2030;2030;2030;3;9;131072;2;0;5;2;Otani;2003;2030;2030;x;
Oue;41566;JAP;2000;2030;2030;2030;3;9;0;3;0;5;2;Oue;2003;2030;2030;x;
Sakata;41567;JAP;2000;2030;2030;2030;3;9;0;1;0;5;2;Sakata;2003;2030;2030;x;
Sugiyama;41568;JAP;2000;2030;2030;2030;3;9;0;2;0;5;2;Sugiyama;2003;2030;2030;x;
Takahashi;41569;JAP;2000;2030;2030;2030;3;9;131072;2;0;5;2;Takahashi;2003;2030;2030;x;
Takuma;41570;JAP;2000;2030;2030;2030;3;9;0;2;0;5;2;Takuma;2003;2030;2030;x;
Tamogami;41571;JAP;2000;2000;2000;2030;1;9;0;3;0;5;2;Tamogami;2003;2010;x;*
Tanii;41572;JAP;2000;2030;2030;2030;3;9;65536;1;0;5;2;Tanii;2003;2030;2030;x;
Yada;41573;JAP;2000;2000;2030;2030;2;9;0;2;0;5;2;Yada;2003;2030;2030;x;
Yamamoto;41574;JAP;2000;2030;2030;2030;3;9;131072;4;0;5;2;Yamamoto3;2003;2030;2030;x;
Yoshida;41575;JAP;2000;2000;2000;2030;1;9;0;3;0;5;2;Yoshida;2003;2008;x;
Yoshioka;41576;JAP;2000;2030;2030;2030;3;9;0;1;0;5;2;Yoshioka;2003;2030;2030;x;
