Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abdullah;556000;JOR;2003;2003;2003;2003;0;2;4;1;0;5;0;;2003;2040;2040;X
Ahti;556001;JOR;2003;2003;1990;1990;2;3;2;1;0;5;0;;2003;2040;2040;X
al-Amir;556002;JOR;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
al-Hashimi;556003;JOR;2003;1990;1990;1990;3;5;16;1;0;5;0;;2003;2040;2040;X
al-Jafaar;556004;JOR;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
al-Wali;556005;JOR;2003;1990;1990;1990;3;2;2;0;0;5;0;;2003;2040;2040;X
el-Nizar Ali;556009;JOR;2003;2003;1990;1990;2;4;256;1;0;5;0;;2003;2040;2040;X
el-Rihaz;556010;JOR;2003;1990;1990;1990;3;2;128;0;0;5;0;;2003;2040;2040;X
Glubb;556011;JOR;2003;2003;1945;1990;1;6;5;3;0;5;0;;2003;2040;2040;X
Mecit;556012;JOR;2003;2003;1990;1990;2;4;0;1;0;5;1;;2003;2040;2040;X
Naif;556013;JOR;2003;2003;2003;1990;2;3;0;2;0;5;1;;2003;2040;2040;X
Sayed;556016;JOR;2003;1990;1990;1990;3;3;0;0;0;5;1;;2003;2040;2040;X
el-Adir;556017;JOR;2003;1990;1990;1990;3;2;2024;0;0;5;1;;2003;2040;2040;X
Lloyd-Elford;556018;JOR;2003;2003;1990;1990;2;6;4608;1;0;5;1;;2003;2040;2040;X
al-Afiz;556020;JOR;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
al-Khaliq;556021;JOR;2003;2003;1990;1990;2;3;32768;1;0;5;2;;2003;2040;2040;X
