Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abzalgul;520000;KAZ;2003;2003;1990;1990;2;4;521;1;0;5;0;;2003;2040;2040;X
Aneshan;520001;KAZ;2003;1942;1990;1990;2;3;2;1;0;5;0;;2003;2040;2040;X
Bigeldinov;520002;KAZ;2003;2003;2003;1990;1;4;16;2;0;5;0;;2003;2040;2040;X
Bohnstedt;520003;KAZ;2003;1990;1990;1990;3;3;514;1;0;5;0;;2003;2040;2040;X
Bukaiklianov;520004;KAZ;2003;2003;2003;1990;1;3;1;1;0;5;0;;2003;2040;2040;X
Mametova;520007;KAZ;2003;1990;1990;1990;3;6;9;3;0;5;0;;2003;2040;2040;X
Sakhno;520008;KAZ;2003;2003;1990;1990;2;3;8;1;0;5;0;;2003;2040;2040;X
Salminov;520009;KAZ;2003;2003;1941;1990;1;4;0;2;0;5;0;;2003;2040;2040;X
Samarskiy;520010;KAZ;2003;1943;1990;1990;3;3;256;1;0;5;0;;2003;2040;2040;X
Sarkisyan;520011;KAZ;2003;1990;1990;1990;3;5;256;3;0;5;0;;2003;2040;2040;X
Sinenko;520014;KAZ;2003;2003;1990;1990;2;2;0;1;0;5;0;;2003;2040;2040;X
Skvortsov;520015;KAZ;2003;1990;1990;1990;3;3;64;2;0;5;0;;2003;2040;2040;X
Sokolov;520016;KAZ;2003;2003;1990;1990;2;2;0;1;0;5;0;;2003;2040;2040;X
Solomatin;520017;KAZ;2003;1990;1990;1990;3;3;128;2;0;5;0;;2003;2040;2040;X
Solyankin;520018;KAZ;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Starkov;520019;KAZ;2003;2003;1990;1990;2;4;128;1;0;5;0;;2003;2040;2040;X
Starokoshko;520020;KAZ;2003;1990;1990;1990;3;2;8;0;0;5;0;;2003;2040;2040;X
Starostin;520021;KAZ;2003;2003;1990;1990;2;4;2;1;0;5;0;;2003;2040;2040;X
Studnev;520022;KAZ;2003;1990;1990;1990;3;2;0;2;0;5;1;;2003;2040;2040;X
Suchkov;520023;KAZ;2003;1990;1990;1990;3;3;0;0;0;5;1;;2003;2040;2040;X
Susaikov;520024;KAZ;2003;2003;1990;1990;2;2;0;1;0;5;1;;2003;2040;2040;X
Talkaher;520025;KAZ;2003;2003;1990;1990;2;3;0;1;0;5;1;;2003;2040;2040;X
Gulimbayzyl;520029;KAZ;2003;2003;2003;1990;1;2;1536;1;0;5;1;;2003;2040;2040;X
Samarskiy;520030;KAZ;2003;1990;1990;1990;3;3;0;3;0;5;1;;2003;2040;2040;X
Sarkisyan;520031;KAZ;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Sergeev;520032;KAZ;2003;2003;2003;1990;1;3;4096;1;0;5;1;;2003;2040;2040;X
