Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Bala;548000;KUR;2003;2003;1990;1990;2;3;8;1;0;5;0;;2003;2100;2100;X
Baltzer;548001;KUR;2003;1990;1990;1990;3;3;2;0;0;5;0;;2003;2100;2100;X
Barzani;548002;KUR;2003;2003;1946;1990;1;6;16;3;0;5;0;;2003;2100;2100;X
Demirkol;548004;KUR;2003;2003;2003;1990;2;3;0;2;0;5;0;;2003;2100;2100;X
Haktanir;548010;KUR;2003;1990;1990;1990;3;3;1;0;0;5;0;;2003;2100;2100;X
Jahanpur;548012;KUR;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2100;2100;X
Lukhman;548014;KUR;2003;1946;1990;1990;2;4;17;1;0;5;0;;2003;2100;2100;X
Maslum;548015;KUR;2003;1990;1990;1990;3;2;256;0;0;5;0;;2003;2100;2100;X
Ocalan;548016;KUR;2003;2003;2003;1990;1;3;1;1;0;5;0;;2003;2100;2100;X
Pakravan;548017;KUR;2003;1990;1990;1990;3;2;1;0;0;5;0;;2003;2100;2100;X
Roohizadegan;548018;KUR;2003;2003;1990;1990;2;3;64;1;0;5;0;;2003;2100;2100;X
Aqiqat;548023;KUR;2003;1990;1990;1990;3;2;2024;0;0;5;1;;2003;2100;2100;X
Inanc;548024;KUR;2003;1990;1990;1990;3;2;8192;0;0;5;1;;2003;2100;2100;X
Killic;548025;KUR;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2100;2100;X
Zafavi;548027;KUR;2003;2003;1990;1990;2;3;2048;1;0;5;1;;2003;2100;2100;X
Demirkol;548029;KUR;2003;2003;2003;1990;2;3;0;1;0;5;1;;2003;2100;2100;X
Vardad;548032;KUR;2003;2003;1990;1990;2;2;0;1;0;5;0;;2003;2100;2100;X
Za'irpur;548033;KUR;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2100;2100;X
Özal;548034;KUR;2003;1990;1990;1990;3;2;0;0;0;5;2;;2003;2100;2100;X
