Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abuzyarov;521000;KYG;2003;1990;1990;1990;3;2;1;0;0;5;0;;2003;2040;2040;X
Altinbek;521001;KYG;2003;2003;1990;1990;2;3;128;1;0;5;0;;2003;2040;2040;X
Baranov;521002;KYG;2003;2003;1990;1990;2;3;4;1;0;5;0;;2003;2040;2040;X
Cholponbek;521004;KYG;2003;2003;1990;1990;2;4;24;1;0;5;0;;2003;2040;2040;X
Croneiss;521005;KYG;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Dushebaev;521006;KYG;2003;2003;1990;1990;2;3;0;1;0;5;0;;2003;2040;2040;X
Dzhandosov;521007;KYG;2003;2003;1990;1990;2;4;16;1;0;5;0;;2003;2040;2040;X
Goryashenko;521010;KYG;2003;2003;1990;1990;2;3;128;1;0;5;0;;2003;2040;2040;X
Hierl;521011;KYG;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Hopf;521012;KYG;2003;1990;1990;1990;3;3;514;1;0;5;0;;2003;2040;2040;X
Jyrgaluul;521016;KYG;2003;1990;1990;1990;3;2;1;0;0;5;0;;2003;2040;2040;X
Kannengiesser;521017;KYG;2003;1990;1990;1990;3;3;64;0;0;5;0;;2003;2040;2040;X
Kubatbekov;521018;KYG;2003;1990;1990;1990;3;2;0;0;0;5;0;;2003;2040;2040;X
Shamaev;521022;KYG;2003;1990;1990;1990;3;4;256;0;0;5;0;;2003;2040;2040;X
Sokolov;521023;KYG;2003;2003;2003;1990;2;4;4;2;0;5;0;;2003;2040;2040;X
Sutalinov;521024;KYG;2003;2003;1990;1990;2;4;128;1;0;5;0;;2003;2040;2040;X
Tahabayev;521025;KYG;2003;2003;1990;1990;3;3;2;1;0;5;0;;2003;2040;2040;X
Toluboyev;521026;KYG;2003;1990;1990;1990;3;3;256;0;0;5;0;;2003;2040;2040;X
Tyrin;521027;KYG;2003;1990;1990;1990;3;2;32;0;0;5;0;;2003;2040;2040;X
Urazbekov;521028;KYG;2003;2003;1990;1990;2;2;0;1;0;5;1;;2003;2040;2040;X
Yachenko;521032;KYG;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Dratsenko;521033;KYG;2003;2003;1990;1990;2;3;2024;1;0;5;1;;2003;2040;2040;X
Hlopov;521034;KYG;2003;1990;1990;1990;3;3;0;0;0;5;1;;2003;2040;2040;X
Mironov;521035;KYG;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Pavlovich;521036;KYG;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Rall;521037;KYG;2003;2003;1990;1990;2;3;0;1;0;5;1;;2003;2040;2040;X
Frunze;521038;KYG;2003;2003;2003;1990;1;4;0;2;0;5;2;;2003;2040;2040;X
Shamaev;521041;KYG;2003;1990;1990;1990;3;3;16384;0;0;5;2;;2003;2040;2040;X
Sokolov;521042;KYG;2003;2003;1990;1990;3;3;4096;1;0;5;2;;2003;2040;2040;X
