Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Hmong;540007;LAO;2003;1990;1990;1990;3;6;16;0;0;5;0;;2003;2040;2040;X
Khong;540008;LAO;2003;1990;1990;1990;3;3;256;0;0;5;0;;2003;2040;2040;X
Pao;540011;LAO;2003;2003;1990;1990;2;4;17;1;0;5;0;;2003;2040;2040;X
Phanmong;540013;LAO;2003;1990;1990;1990;3;3;17;0;0;5;0;;2003;2040;2040;X
Phetsarat;540014;LAO;2003;2003;1990;1990;2;3;2;1;0;5;0;;2003;2040;2040;X
Phichith;540015;LAO;2003;1990;1990;1990;3;2;0;1;0;5;0;;2003;2040;2040;X
Phomvihanh;540016;LAO;2003;1946;1990;1990;2;3;1;1;0;5;0;;2003;2040;2040;X
Phousannani;540017;LAO;2003;2003;1990;1990;2;4;0;1;0;5;0;;2003;2040;2040;X
Sahiaphan;540019;LAO;2003;1990;1990;1990;3;3;16;0;0;5;0;;2003;2040;2040;X
Sasiavong;540020;LAO;2003;2003;2003;2003;0;2;0;2;0;5;0;;2003;2040;2040;X
Sasorith;540021;LAO;2003;2003;1990;1990;2;2;0;1;0;5;0;;2003;2040;2040;X
Savang;540022;LAO;2003;2003;2003;1990;1;2;1;1;0;5;0;;2003;2040;2040;X
Sinaud;540024;LAO;2003;1990;1990;1990;3;3;0;0;0;5;1;;2003;2040;2040;X
Souphanou;540029;LAO;2003;1990;1990;1990;3;2;0;0;0;5;1;;2003;2040;2040;X
Souvanna;540030;LAO;2003;2003;1990;1990;2;2;0;1;0;5;1;;2003;2040;2040;X
Sasorith;540034;LAO;2003;1990;1990;1990;3;2;4096;0;0;5;2;;2003;2040;2040;X
