Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Celmins;19007;LAT;2003;2003;2030;2030;3;4;4;1;0;4;0;;2003;2040;2040;X
Dambitis;19008;LAT;2003;2003;2030;2030;2;5;8;1;0;2;0;;2003;2040;2040;X
Dankers;19009;LAT;2003;2003;2003;2030;2;4;0;1;0;2;0;;2003;2040;2040;X
Duze;19010;LAT;2003;2030;2030;2030;3;3;0;0;0;4;0;;2003;2040;2040;X
Jeske;19014;LAT;2003;2030;2030;2030;3;3;0;0;0;3;0;;2003;2040;2040;X
Klavins;19015;LAT;2003;2003;2003;2030;1;4;513;1;0;5;0;;2003;2040;2040;X
Krustins;19017;LAT;2003;2003;2030;2030;2;4;0;0;0;3;0;;2003;2040;2040;X
Kurelis;19018;LAT;2003;2003;2030;2030;2;3;32;1;0;3;0;;2003;2040;2040;X
Kurse;19019;LAT;2003;2030;2030;2030;3;3;1;0;0;4;0;;2003;2040;2040;X
Silgailis;19024;LAT;2003;2030;2030;2030;3;3;2;0;0;2;0;;2003;2040;2040;X
Skrapce;19025;LAT;2003;2030;2030;2030;3;3;32;0;0;4;0;;2003;2040;2040;X
Sprogis;19026;LAT;2003;2030;2030;2030;3;5;16;0;0;1;0;;2003;2040;2040;X
Tefpers;19027;LAT;2003;2030;2030;2030;3;3;0;0;0;3;1;;2003;2040;2040;X
Vacietis;19028;LAT;2003;2003;1947;2030;2;5;0;2;0;4;1;;2003;2040;2040;X
Virsaitis;19029;LAT;2003;2003;2030;2030;2;4;0;1;0;3;1;;2003;2040;2040;X
Zeibots;19034;LAT;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Basko;19035;LAT;2003;2003;2030;2030;2;4;16384;1;0;3;2;;2003;2040;2040;X
Vacietis;19040;LAT;2003;2003;1947;2030;2;3;0;2;0;4;2;;2003;2040;2040;X
Vaivads;19041;LAT;2003;2030;2030;2030;3;3;0;0;0;4;2;;2003;2040;2040;X
