Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
al-Abboud;529000;LEB;2003;2030;2030;2030;3;2;0;0;0;5;0;;2003;2040;2040;X
al-Arab;529001;LEB;2003;2030;2030;2030;3;2;128;0;0;5;0;;2003;2040;2040;X
al-Hasic;529002;LEB;2003;2030;2030;2030;3;2;1;0;0;5;0;;2003;2040;2040;X
Aoun;529003;LEB;2003;2030;2030;2030;3;2;128;0;0;5;0;;2003;2040;2040;X
Azzam;529004;LEB;2003;2030;2030;2030;3;2;256;0;0;5;0;;2003;2040;2040;X
Barakat;529005;LEB;2003;2003;2030;2030;2;2;2;1;0;5;0;;2003;2040;2040;X
Bitar;529006;LEB;2003;2030;2030;2030;3;2;0;0;0;5;0;;2003;2040;2040;X
Ghanem;529014;LEB;2003;2003;2030;2030;2;2;2;1;0;5;0;;2003;2040;2040;X
Harb;529015;LEB;2003;2030;2030;2030;3;2;1;0;0;5;0;;2003;2040;2040;X
Jad;529016;LEB;2003;2030;2030;2030;3;2;1;0;0;5;0;;2003;2040;2040;X
Khlat;529017;LEB;2003;2030;2030;2030;3;2;0;0;0;5;0;;2003;2040;2040;X
Lahoud;529018;LEB;2003;2003;2030;2030;2;2;16;1;0;5;0;;2003;2040;2040;X
Naoufai;529019;LEB;2003;2003;2030;2030;2;2;0;1;0;5;1;;2003;2040;2040;X
Obeid;529020;LEB;2003;2030;2030;2030;3;2;0;0;0;5;1;;2003;2040;2040;X
Roumiantzoff;529023;LEB;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2040;2040;X
Shmayt;529025;LEB;2003;1947;2030;2030;2;2;0;1;0;5;1;;2003;2040;2040;X
Gabli;529036;LEB;2003;2030;2030;2030;3;2;32768;0;0;5;2;;2003;2040;2040;X
Maadarani;529037;LEB;2003;2030;2030;2030;3;2;0;0;0;5;2;;2003;2040;2040;X
Naoufai;529039;LEB;2003;2003;2030;2030;2;2;0;1;0;5;2;;2003;2040;2040;X
Salem;529040;LEB;2003;2030;2030;2030;3;2;16384;0;0;5;2;;2003;2040;2040;X
Soulat;529041;LEB;2003;2003;2030;2030;2;4;131072;1;0;5;2;;2003;2040;2040;X
Zarzour;529042;LEB;2003;2030;2030;2030;3;2;0;0;0;5;2;;2003;2040;2040;X
