Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Idris I.;576006;LBY;2003;2003;2003;2003;0;2;0;0;0;5;0;;2003;2040;2040;X
Nasi;576010;LBY;2003;2003;2003;2030;1;3;1;1;0;5;0;;2003;2040;2040;X
Ricci;576011;LBY;2003;2030;2030;2030;3;3;0;1;0;5;0;;2003;2040;2040;X
Sakizli;576012;LBY;2003;2003;2003;2030;1;3;64;1;0;5;0;;2003;2040;2040;X
Sidiq;576014;LBY;2003;2003;1946;2030;1;3;2;2;0;5;0;;2003;2040;2040;X
Blagrovan;576016;LBY;2003;2030;2030;2030;3;5;0;0;0;5;1;;2003;2040;2040;X
Cacioppo;576017;LBY;2003;2003;2030;2030;2;4;0;1;0;4;1;;2003;2040;2040;X
Khimlani;576021;LBY;2003;2003;2030;2030;2;2;0;1;0;5;1;;2003;2040;2040;X
Rezza;576029;LBY;2003;2003;2030;2030;2;3;0;1;0;5;2;;2003;2040;2040;X
Soffritti;576031;LBY;2003;2003;2030;2030;2;3;0;1;0;4;2;;2003;2040;2040;X
Umlan;576032;LBY;2003;2030;2030;2030;3;2;32768;0;0;5;2;;2003;2040;2040;X
