Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Zukas;130000;LIT;2000;2000;2030;2030;2;3;0;2;0;3;0;L130000;2000;2030;2030;x
Tutkus;130001;LIT;2000;2030;2030;2030;3;6;512;2;0;2;0;L130001;2000;2030;2030;x
Plieskis;130004;LIT;2000;2030;2030;2030;3;4;2;1;0;5;0;L130004;2000;2030;2030;x
Norgëla;130005;LIT;2000;2030;2030;2030;3;5;18;1;0;5;0;L130005;2000;2030;2030;x
Steponavicius;130006;LIT;2000;2030;2030;2030;3;3;0;1;0;3;0;L130006;2000;2030;2030;x
Balciunas;130007;LIT;2000;2030;2030;2030;3;3;2;1;0;4;0;L130007;2000;2030;2030;x
Bykauskas;130008;LIT;2000;2030;2030;2030;3;3;0;1;0;3;0;L130008;2000;2030;2030;x
Pocius;130009;LIT;2000;2030;2030;2030;3;4;32;1;0;2;0;L130009;2000;2030;2030;x
Eitminavièius;130010;LIT;2000;2030;2030;2030;3;4;0;1;0;2;0;L130010;2000;2030;2030;x
Mazeikis;130011;LIT;2000;2030;2030;2030;3;3;0;1;0;5;0;L130011;2000;2030;2030;x
Gudeika;130012;LIT;2000;2030;2030;2030;3;3;0;1;0;4;0;L130012;2000;2030;2030;x
Leita;130013;LIT;2000;2030;2030;2030;3;3;0;1;0;4;0;L130013;2000;2030;2030;x
Raklevièius;130014;LIT;2000;2030;2030;2030;3;3;0;1;0;4;0;L130014;2000;2030;2030;x
Stankaitis;130015;LIT;2000;2030;2030;2030;3;3;0;1;0;4;1;L130015;2000;2030;2030;x
Kêstutis Macijauskas;130016;LIT;2000;2030;2030;2030;3;4;0;1;0;5;1;L130016;2000;2030;2030;x
Mazeikis;130017;LIT;2000;2030;2030;2030;3;3;0;1;0;5;2;L130011;2000;2030;2030;x
Gudeika;130018;LIT;2000;2030;2030;2030;3;3;0;1;0;4;2;L130012;2000;2030;2030;x
Leita;130019;LIT;2000;2030;2030;2030;3;3;0;1;0;4;2;L130013;2000;2030;2030;x
Raklevièius;130020;LIT;2000;2030;2030;2030;3;3;0;2;0;4;1;L130014;2000;2030;2030;x
