Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Diedrich;400000;LUX;2003;2003;2030;2030;2;3;2;1;0;5;0;;2003;2040;2040;X
Federspiel;400001;LUX;2003;2030;2030;2030;3;3;0;0;0;5;0;;2003;2040;2040;X
Glodt;400004;LUX;2003;2030;2030;2030;3;3;128;0;0;2;0;;2003;2040;2040;X
Haupert;400005;LUX;2003;2003;2030;2030;2;4;513;1;0;5;0;;2003;2040;2040;X
Seurlis;400007;LUX;2003;2030;2030;2030;3;3;0;0;0;5;0;;2003;2040;2040;X
Schmit;400008;LUX;2003;2030;2030;2030;3;3;0;0;0;5;0;;2003;2040;2040;X
Speller;400009;LUX;2003;2003;2003;2030;1;3;0;1;0;5;0;;2003;2040;2040;X
Fischbach;400011;LUX;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Speller;400012;LUX;2003;2003;2030;2030;2;3;0;0;0;5;1;;2003;2040;2040;X
Wagener;400013;LUX;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Diedrich;400014;LUX;2003;2003;2030;2030;2;3;0;1;0;5;2;;2003;2040;2040;X
Federspiel;400015;LUX;2003;2030;2030;2030;3;3;0;0;0;5;2;;2003;2040;2040;X
