Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Abdul Rahman;565000;MLY;2003;2003;2003;2030;2;4;1;1;0;5;0;;2003;2040;2040;X
al-Marhum;565001;MLY;2003;2030;2030;2030;3;4;4;0;0;5;0;;2003;2040;2040;X
al-Mansur;565002;MLY;2003;2003;2030;2030;2;4;1;1;0;5;0;;2003;2040;2040;X
Badlishah;565003;MLY;2003;2030;2030;2030;3;4;1;0;0;5;0;;2003;2040;2040;X
Bassingstoker;565004;MLY;2003;2030;2030;2030;3;3;2;2;0;5;0;;2003;2040;2040;X
Besar;565005;MLY;2003;2030;2030;2030;3;6;528;1;0;5;0;;2003;2040;2040;X
Bimantura;565006;MLY;2003;2030;2030;2030;3;3;1;0;0;5;0;;2003;2040;2040;X
Keen;565013;MLY;2003;2030;2030;2030;3;6;256;1;0;5;0;;2003;2040;2040;X
Mohd;565014;MLY;2003;2030;2030;2030;3;3;2;0;0;5;0;;2003;2040;2040;X
Percival;565016;MLY;2003;2003;2003;2030;2;4;2;2;0;5;0;;2003;2040;2040;X
Templer;565019;MLY;2003;2003;2003;2030;1;6;4;3;0;5;0;;2003;2040;2040;X
Young;565020;MLY;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Atcherley;565021;MLY;2003;2003;2030;2030;2;5;4096;2;0;5;1;;2003;2040;2040;X
Gurney;565022;MLY;2003;2003;2030;2030;2;4;4096;1;0;5;1;;2003;2040;2040;X
Kerr;565023;MLY;2003;2030;2030;2030;3;5;2048;0;0;5;1;;2003;2040;2040;X
Rahman Ali;565024;MLY;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Yew;565028;MLY;2003;2030;2030;2030;3;3;0;1;0;5;1;;2003;2040;2040;X
Choon;565030;MLY;2003;2030;2030;2030;3;3;0;2;0;5;2;;2003;2040;2040;X
Jarman;565032;MLY;2003;2003;2003;2030;1;5;4096;2;0;5;2;;2003;2040;2040;X
Shan;565034;MLY;2003;2030;2030;2030;3;4;65536;1;0;5;2;;2003;2040;2040;X
Wan;565036;MLY;2003;2030;2030;2030;3;4;32768;1;0;5;2;;2003;2040;2040;X
