Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Almazan;4500;MEX;2003;2003;2030;2030;3;5;32;1;0;1;0;;2003;2040;2040;X
Alvarez Algrea;4501;MEX;2003;2030;2030;2030;3;4;128;0;0;5;0;;2003;2040;2040;X
Amaro Dominguez;4502;MEX;2003;2003;2030;2030;2;6;16;1;0;5;0;;2003;2040;2040;X
Ávila Camacho;4503;MEX;2003;2003;2003;2030;1;5;0;1;0;5;0;;2003;2040;2040;X
Ballestreros Miranda;4504;MEX;2003;2030;2030;2030;3;4;32;0;0;1;0;;2003;2040;2040;X
Calles del Rio;4505;MEX;2003;2003;2030;2030;2;4;128;1;0;3;0;;2003;2040;2040;X
Díaz Ovalle;4509;MEX;2003;2003;2030;2030;2;4;1;1;0;4;0;;2003;2040;2040;X
Estrada Reynoso;4510;MEX;2003;2003;2003;2030;1;6;513;1;0;5;0;;2003;2040;2040;X
Figueroa Figueroa;4511;MEX;2003;2003;1946;2030;2;5;2;2;0;5;0;;2003;2040;2040;X
Garcia Barragan;4512;MEX;2003;2003;2030;2030;3;6;256;2;0;5;0;;2003;2040;2040;X
Garza Siller;4513;MEX;2003;2030;2030;2030;3;4;1;0;0;3;0;;2003;2040;2040;X
Guillermo Villasina;4514;MEX;2003;2003;2030;2030;2;4;1;1;0;5;0;;2003;2040;2040;X
Jara Corona;4517;MEX;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2040;2040;X
Lara Viejo;4518;MEX;2003;2030;2030;2030;3;4;4;2;0;4;0;;2003;2040;2040;X
Limon Marquez;4519;MEX;2003;2003;2003;2030;2;5;4;2;0;5;0;;2003;2040;2040;X
Macias Valenzuela;4520;MEX;2003;2003;2030;2030;2;5;0;2;0;5;0;;2003;2040;2040;X
Mugica Valdéz;4521;MEX;2003;2003;2030;2030;2;6;528;1;0;2;0;;2003;2040;2040;X
Olachea Aviles;4522;MEX;2003;1946;2030;2030;3;7;256;1;0;5;0;;2003;2040;2040;X
Palafox;4523;MEX;2003;2003;2003;2030;1;4;64;3;0;2;0;;2003;2040;2040;X
Pro Díaz;4524;MEX;2003;2030;2030;2030;3;4;2;0;0;3;0;;2003;2040;2040;X
Quiroga Escamilla;4525;MEX;2003;2003;2003;2030;1;5;0;2;0;5;0;;2003;2040;2040;X
Serrano;4529;MEX;2003;2003;2030;2030;2;6;513;1;0;3;0;;2003;2040;2040;X
Urquizo Benavides;4530;MEX;2003;2003;2030;2030;2;5;4;1;0;5;0;;2003;2040;2040;X
Zapata Vera;4531;MEX;2003;2030;2030;2030;3;4;32;0;0;5;0;;2003;2040;2040;X
Ángel Castillo;4532;MEX;2003;2003;2030;2030;3;5;0;1;0;5;1;;2003;2040;2040;X
Coello Ochoa;4533;MEX;2003;2030;2030;2030;3;4;2024;0;0;5;1;;2003;2040;2040;X
Corona;4534;MEX;2003;2003;2003;2030;1;5;0;1;0;5;1;;2003;2040;2040;X
Del Mercado;4535;MEX;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2040;2040;X
Gomez Maqueo;4536;MEX;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2040;2040;X
Macias Alvarez;4537;MEX;2003;2003;2030;2030;2;6;8704;1;0;5;1;;2003;2040;2040;X
Meixueiro Alejandre;4538;MEX;2003;2030;2030;2030;3;4;0;0;0;5;1;;2003;2040;2040;X
Niembro Almazán;4539;MEX;2003;2030;2030;2030;3;4;4096;0;0;5;1;;2003;2040;2040;X
Othon Blanco;4540;MEX;2003;2003;2003;2030;1;6;2560;1;0;5;1;;2003;2040;2040;X
Toledo Hiram;4543;MEX;2003;2003;2003;2030;1;6;4608;1;0;2;1;;2003;2040;2040;X
Zermenao Araico;4544;MEX;2003;2003;2030;2030;3;5;4096;1;0;5;1;;2003;2040;2040;X
Cardenas Rodriguez;4545;MEX;2003;2003;2030;2030;3;4;0;1;0;5;2;;2003;2040;2040;X
Gorriz;4551;MEX;2003;2030;2030;2030;3;4;0;0;0;5;2;;2003;2040;2040;X
Macias Alvarez;4553;MEX;2003;2003;2030;2030;2;5;131584;1;0;5;2;;2003;2040;2040;X
Olachea Aviles;4554;MEX;2003;1946;2030;2030;3;5;0;1;0;5;2;;2003;2040;2040;X
Rojas Razo;4555;MEX;2003;2003;2030;2030;3;5;16384;1;0;5;2;;2003;2040;2040;X
Ruiz Gavino;4556;MEX;2003;2003;2030;2030;2;6;32768;1;0;5;2;;2003;2040;2040;X
