Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Duudei;330004;MON;2003;2003;2030;2030;2;3;1;1;0;5;0;;2003;2040;2040;X
Feklenko;330005;MON;2003;2030;2030;2030;3;3;4;0;0;5;0;;2003;2040;2040;X
Irgel;330006;MON;2003;1945;2030;2030;3;4;0;1;0;5;0;;2003;2040;2040;X
Lee Shou-hsin;330010;MON;2003;2003;2030;2030;2;3;256;1;0;2;0;;2003;2040;2040;X
Luvsan;330011;MON;2003;2003;2003;2030;1;3;0;1;0;5;0;;2003;2040;2040;X
Mindro;330014;MON;2003;2030;2030;2030;3;4;128;0;0;5;0;;2003;2040;2040;X
Missan;330015;MON;2003;2030;2030;2030;3;3;0;0;0;5;0;;2003;2040;2040;X
Luvsan;330018;MON;2003;2003;2030;2030;2;3;0;1;0;5;1;;2003;2040;2040;X
Pyrselov;330019;MON;2003;2003;2030;2030;2;3;0;1;0;5;1;;2003;2040;2040;X
Luvsan;330020;MON;2003;2030;2030;2030;3;3;0;0;0;5;1;;2003;2040;2040;X
Ulanhu;330023;MON;2003;1944;1947;2030;2;3;0;2;0;5;2;;2003;2040;2040;X
Zhalnin;330024;MON;2003;2003;2030;2030;2;4;4096;1;0;5;2;;2003;2040;2040;X
