Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
da Rocha Belez Ferraz;569002;MOZ;2003;2003;2030;2030;2;4;4;1;0;5;0;;2003;2040;2040;X
de Castro de Abreu é Mota;569004;MOZ;2003;2003;2030;2030;2;4;514;1;0;5;0;;2003;2040;2040;X
de Silva Bastos;569005;MOZ;2003;2003;2030;2030;2;4;2;1;0;5;0;;2003;2040;2040;X
Pereira Cabral;569012;MOZ;2003;2003;2003;2003;0;4;513;1;0;5;0;;2003;2040;2040;X
Silva Nunes;569013;MOZ;2003;2030;2030;2030;3;4;128;1;0;5;0;;2003;2040;2040;X
Sinel de Cordes;569014;MOZ;2003;2030;2030;2030;3;2;512;1;0;5;0;;2003;2040;2040;X
Taveira Pereira;569015;MOZ;2003;2030;2030;2030;3;3;128;0;0;5;0;;2003;2040;2040;X
de Sousa é Vasconcelos;569016;MOZ;2003;2003;2003;2030;1;5;8704;1;0;5;1;;2003;2040;2040;X
Garcia Rosado;569017;MOZ;2003;2003;2030;2030;2;3;0;0;0;5;1;;2003;2040;2040;X
Pereira Bastos;569018;MOZ;2003;2030;2030;2030;3;3;2048;1;0;5;1;;2003;2040;2040;X
Ponjo;569019;MOZ;2003;2030;2030;2030;3;3;4096;0;0;5;1;;2003;2040;2040;X
Sá Aruajo;569024;MOZ;2003;2003;2030;2030;2;4;4096;1;0;5;2;;2003;2040;2040;X
Val-Covo;569025;MOZ;2003;2030;2030;2030;3;3;131072;0;0;5;2;;2003;2040;2040;X
