Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Aung San;563001;BUR;2003;2030;2030;2030;2;4;8;1;0;5;0;;2003;2030;2030;x
Ba Gyi;563002;BUR;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Htunyin Nawngwawn;563007;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Khun Sa;563008;BUR;2003;2030;2030;2030;2;4;128;0;0;5;0;;2003;2030;2030;x
Khunserk Mangrai;563009;BUR;2003;2030;2030;2030;2;4;128;2;0;5;0;;2003;2030;2030;x
Lun Thi;563011;BUR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Maung Khin;563012;BUR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Maung Thein;563013;BUR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Merrick;563014;BUR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Mya Bo;563015;BUR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Myint Swe;563016;BUR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Ne Win;563017;BUR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Nyunt Tin;563018;BUR;2003;2003;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Ohn Myint;563019;BUR;2003;2003;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Pyi Sone;563020;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Sai Hla;563021;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Saw Oo;563022;BUR;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Saw Tun;563023;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Sein Htwa;563024;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Smith Dun;563025;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Thaik Tun;563026;BUR;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Than Shwe;563027;BUR;2003;2030;2030;2030;2;4;0;1;0;5;0;;2003;2030;2030;x
Thapa;563028;BUR;2003;2030;2030;2030;2;4;0;0;0;5;0;;2003;2030;2030;x
Thein Nyunt;563029;BUR;2003;2030;2030;2030;2;4;0;2;0;5;0;;2003;2030;2030;x
Tin Hlaing;563030;BUR;2003;2030;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Tin Htut;563031;BUR;2003;2003;2030;2030;2;4;0;1;0;5;1;;2003;2030;2030;x
Wing Maun;563032;BUR;2003;2003;2030;2030;2;4;0;2;0;5;1;;2003;2030;2030;x
Soe Buu;563037;BUR;2003;2003;2030;2030;2;4;65536;1;0;5;2;;2003;2030;2030;x
Thaw Ka;563038;BUR;2003;2003;2030;2030;2;4;8704;2;0;5;2;;2003;2030;2030;x
Aik Luk;563039;BUR;2003;2003;2030;2030;2;4;32768;1;0;5;2;;2003;2030;2030;x
