Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Baber;410000;NEP;2003;2003;2030;2030;2;2;16;1;0;5;0;;2003;2040;2040;X
Dhir;410002;NEP;2003;2003;2030;2030;3;3;4;1;0;5;0;;2003;2040;2040;X
Gehendra;410003;NEP;2003;2030;2030;2030;3;2;1;0;0;5;0;;2003;2040;2040;X
Kiran;410004;NEP;2003;2003;2030;2030;2;2;1;1;0;5;0;;2003;2040;2040;X
Mainwaring;410005;NEP;2003;2030;2030;2030;3;3;128;1;0;5;0;;2003;2040;2040;X
Mohan;410006;NEP;2003;2030;2030;2030;3;2;2;0;0;5;0;;2003;2040;2040;X
Nara;410007;NEP;2003;2003;1947;2030;1;3;16;2;0;5;0;;2003;2040;2040;X
Ojasuni;410008;NEP;2003;2003;2003;2003;0;2;512;1;0;5;0;;2003;2040;2040;X
Padma;410009;NEP;2003;2003;2003;2030;1;2;512;1;0;5;0;;2003;2040;2040;X
Rudra;410011;NEP;2003;2003;2003;2030;1;3;2;2;0;5;0;;2003;2040;2040;X
Thapa;410012;NEP;2003;2003;2030;2030;2;2;0;1;0;5;0;;2003;2040;2040;X
Gehendra;410016;NEP;2003;2003;2030;2030;3;2;0;1;0;5;2;;2003;2040;2040;X
Kiran;410017;NEP;2003;2003;2030;2030;2;2;0;1;0;5;2;;2003;2040;2040;X
