Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
van Uhm;58001;HOL;2000;2000;2000;2100;0;6;6;4;0;5;0;L58001;2000;2030;2030;x
van Diepenbrugge;58002;HOL;2000;2000;2000;2100;1;6;260;3;0;5;0;L58002;2000;2030;2030;x
Urlings;58003;HOL;2000;2000;2000;2100;1;6;130;2;0;5;0;L58003;2000;2030;2030;x
van Baal;58004;HOL;2000;2000;2000;2100;2;6;0;1;0;5;0;L58004;2000;2030;2030;x
Striek;58005;HOL;2000;2000;2100;2100;2;6;0;2;0;5;0;L58005;2000;2030;2030;x
Godderij;58006;HOL;2000;2000;2100;2100;2;6;0;1;0;5;0;L58006;2000;2030;2030;x
de Jonge;58007;HOL;2000;2100;2100;2100;2;6;0;1;0;5;0;L58007;2000;2030;2030;x
Kelder;58008;HOL;2000;2000;2000;2100;0;6;4096;2;0;5;1;L58008;2000;2030;2030;x
Zuiderwijk;58009;HOL;2000;2000;2100;2100;1;6;264;2;0;5;0;L58009;2000;2030;2030;x
van der Til;58010;HOL;2000;2000;2000;2100;2;6;0;2;0;5;1;L58010;2000;2030;2030;x
Ramaekers;58011;HOL;2000;2100;2100;2100;3;6;0;2;0;5;1;l58011;2000;2030;2030;x
Snoeks;58012;HOL;2000;2100;2100;2100;2;6;0;1;0;5;1;L58012;2000;2030;2030;x
Flieringa;58013;HOL;2000;2100;2100;2100;2;6;0;1;0;5;1;L58013;2000;2030;2030;x
Sijtsma;58014;HOL;2000;2100;2100;2100;2;6;0;1;0;5;1;L58014;2000;2030;2030;x
de Jong;58015;HOL;2000;2100;2000;2100;0;6;65536;2;0;5;2;L58015;2000;2030;2030;x
Meulman;58016;HOL;2000;2000;2100;2100;1;6;8192;3;0;5;2;L58016;2000;2030;2030;x
van den Born;58017;HOL;2000;2000;2100;2100;3;6;16384;2;0;5;2;L58017;2000;2030;2030;x
de Zeeuw;58018;HOL;2000;2100;2100;2100;3;6;0;2;0;5;2;L58018;2000;2030;2030;x
Franken;58019;HOL;2000;2100;2100;2100;2;6;16384;1;0;5;2;L58019;2000;2030;2030;x
Bergsma;58020;HOL;2000;2100;2100;2100;2;6;0;2;0;5;2;L58020;2000;2030;2030;x
Buitenga;58021;HOL;2000;2100;2100;2100;3;6;0;3;0;5;2;L58021;2000;2030;2030;x
Lenselink;58022;HOL;2000;2100;2100;2100;2;6;8192;2;0;5;1;L58022;2000;2030;2030;x
Bindt;58023;HOL;2000;2100;2100;2100;2;6;0;3;0;5;1;L58023;2000;2030;2030;x
Nagtegaal;58024;HOL;2000;2100;2100;2100;2;6;0;1;0;5;1;L58024;2000;2030;2030;x
van Loon;58025;HOL;2000;2000;2000;2100;2;6;35;2;0;5;0;L58025;2000;2030;2030;x
De Vries;58026;HOL;2000;2100;2100;2100;2;6;1;1;0;5;0;L58026;2000;2030;2030;x
Veen;58027;HOL;2000;2100;2100;2100;2;6;2024;1;0;5;1;L58027;2000;2030;2030;x
Beuving;58028;HOL;2000;2000;2100;2100;2;6;0;1;0;5;0;L58028;2000;2030;2030;x
Bertholee;58029;HOL;2000;2000;2100;2100;2;6;1;1;0;5;0;L58029;2000;2030;2030;x
Cammaert;58030;HOL;2000;2100;2100;2100;1;6;256;3;0;5;0;L58030;2000;2030;2030;x
Borsboom;58031;HOL;2000;2100;2100;2100;2;6;0;1;0;5;1;L58031;2000;2030;2030;x
Hardenbol;58032;HOL;2000;2100;2100;2100;3;5;4;1;0;5;0;L58032;2000;2030;2030;x
Morsink;58033;HOL;2000;2100;2100;2100;3;5;1;2;0;5;0;L58033;2000;2030;2030;x
Visser;58034;HOL;2000;2100;2100;2100;2;6;0;1;0;5;1;L58034;2000;2030;2030;x
Middendorp;58035;HOL;2000;2100;2100;2100;3;5;4;1;0;5;0;L58035;2000;2030;2030;x
Gijsbers;58036;HOL;2000;2100;2100;2100;3;5;256;2;0;5;0;L58036;2000;2030;2030;x
de Kruif;58037;HOL;2000;2100;2100;2100;2;5;4;2;0;5;0;L58037;2000;2030;2030;x
Vooijs;58038;HOL;2000;2100;2100;2100;3;6;0;2;0;5;1;L58038;2000;2030;2030;x
van den Heuvel;58039;HOL;2000;2100;2100;2100;2;5;0;2;0;5;0;L58039;2000;2030;2030;x
Verkerk;58040;HOL;2000;2100;2100;2100;3;5;256;2;0;5;0;L58040;2000;2030;2030;x
Tieskens;58041;HOL;2000;2100;2100;2100;3;5;32;1;0;5;0;L58041;2000;2030;2030;x
Oliemans;58042;HOL;2000;2100;2100;2100;3;5;0;2;0;5;2;L58042;2000;2030;2030;x
Heine;58043;HOL;2000;2100;2100;2100;3;5;0;2;0;5;1;L58043;2000;2030;2030;x
Hardenbol;58044;HOL;2000;2100;2100;2100;3;5;4;1;0;5;0;L58044;2000;2030;2030;x
