Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Jerry Mateparae;58501;NZL;2003;2003;2003;2003;0;9;289;3;0;5;0;jerrymateparae;2003;2100;2100;X
Louis Gardiner;58502;NZL;2003;2003;2011;2100;0;9;1;2;0;5;0;louisgardiner;2003;2100;2100;X
Edward Crisp;58503;NZL;2003;2003;2010;2100;2;9;256;2;0;5;0;edwardcrisp;2003;2100;2100;X
Glen King;58504;NZL;2003;2011;2100;2100;2;9;160;2;0;5;0;glenking;2003;2100;2100;X
John Hamilton;58505;NZL;2003;2003;2003;2009;0;9;0;2;0;5;2;johnhamilton;2003;2100;2100;X
Bruce Ferguson;58506;NZL;2003;2003;2003;2003;0;9;77824;3;0;5;2;bruceferguson;2003;2100;2100;X
David Bamfield;58507;NZL;2003;2003;2003;2010;0;9;32768;1;0;5;2;davidbamfield;2003;2100;2100;X
Richard Newlands;58508;NZL;2003;2003;2010;2100;0;9;131072;2;0;5;2;richardnewlands;2003;2100;2100;X
PJ Stockwell;58509;NZL;2003;2003;2010;2100;0;9;0;1;0;5;2;pjstockwell;2003;2100;2100;X
Keith Gell;58510;NZL;2003;2009;2011;2100;0;9;196608;4;0;5;2;keithgell;2003;2100;2100;X
Terence Gardiner;58511;NZL;2003;2003;2009;2100;0;9;65536;2;0;5;2;terencegardiner;2003;2100;2100;X
David Ian Ledson;58512;NZL;2003;2003;2009;2100;0;9;8192;3;0;5;1;davidianledson;2003;2100;2100;X
Jack Steer;58513;NZL;2003;2003;2009;2100;1;9;8192;1;0;5;1;jacksteer;2003;2100;2100;X
David Anson;58514;NZL;2003;2003;2009;2100;1;9;0;1;0;5;1;davidanson;2003;2100;2100;X
Peter Arnold;58515;NZL;2003;2006;2011;2100;1;9;0;1;0;5;1;peterarnold;2003;2100;2100;X
Paul Rennie;58516;NZL;2003;2006;2011;2100;2;9;0;5;6144;5;1;paulrennie;2003;2100;2100;X
