Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Kim;60501;U09;2003;2030;2030;2030;3;7;12288;3;0;5;1;;2003;2030;2030;x
Lee;60502;U09;2003;2003;2003;2030;3;6;16384;2;0;5;2;;2003;2030;2030;x
Park;60503;U09;2003;2003;2003;2030;1;6;8192;2;0;5;1;;2003;2030;2030;x
Su;60504;U09;2003;2030;2030;2030;3;6;0;2;0;5;0;;2003;2030;2030;x
Bae;60505;U09;2003;2030;2030;2030;3;6;0;2;0;5;2;;2003;2030;2030;x
Choe;60506;U09;2003;2003;2003;2030;1;7;81920;3;0;5;2;;2003;2030;2030;x
Seol;60507;U09;2003;2003;2003;2003;3;7;8;3;0;5;0;;2003;2030;2030;x
Kyung;60508;U09;2003;2003;2003;2030;1;6;0;2;0;5;0;;2003;2030;2030;x
Song-Kwon;60509;U09;2003;2030;2030;2030;3;6;4096;2;0;5;2;;2003;2030;2030;x
Song;60510;U09;2003;2003;2003;2030;2;6;2;2;0;5;0;;2003;2030;2030;x
Kwon;60511;U09;2003;2030;2030;2030;3;6;0;2;0;5;2;;2003;2030;2030;x
Myong;60512;U09;2003;2003;2003;2003;2;7;4096;3;0;5;2;;2003;2030;2030;x
Pahn;60513;U09;2003;2030;2030;2030;3;6;4096;2;0;5;1;;2003;2030;2030;x
Lyuh;60514;U09;2003;2030;2030;2030;3;6;4;2;0;5;0;;2003;2030;2030;x
Byun;60515;U09;2003;2030;2030;2030;3;5;0;1;0;5;0;;2003;2030;2030;x
Sa-Ik;60516;U09;2003;2030;2030;2030;3;5;0;1;0;5;0;;2003;2030;2030;x
Jeong;60517;U09;2003;2003;2030;2030;2;6;32;2;0;5;0;;2003;2030;2030;x
Son;60518;U09;2003;2003;2003;2030;2;7;4;3;0;5;0;;2003;2030;2030;x
Moon;60519;U09;2003;2003;2030;2030;2;7;256;3;0;5;0;;2003;2030;2030;x
Ohm;60520;U09;2003;2003;2003;2030;3;5;0;1;0;5;0;;2003;2030;2030;x
Lim;60521;U09;2003;2030;2030;2030;3;6;4096;2;0;5;1;;2003;2030;2030;x
Min;60522;U09;2003;2003;2030;2030;2;6;0;2;0;5;0;;2003;2030;2030;x
Song;60523;U09;2003;2030;2030;2030;3;6;64;2;0;5;0;;2003;2030;2030;x
Wang;60524;U09;2003;2003;2003;2003;0;6;128;2;0;5;0;;2003;2030;2030;x
Yeong;60525;U09;2003;2003;2003;2003;3;7;4096;3;0;5;2;;2003;2030;2030;x
Ryu;60526;U09;2003;2030;2030;2030;3;6;0;2;0;5;1;;2003;2030;2030;x
Kim-Ryu;60527;U09;2003;2003;2030;2030;2;7;6144;3;0;5;1;;2003;2030;2030;x
Kim;60528;U09;2003;2030;2030;2030;3;7;12288;3;0;5;1;;2003;2030;2030;x
Lee;60529;U09;2003;2003;2003;2030;3;6;16384;2;0;5;2;;2003;2030;2030;x
Park;60530;U09;2003;2003;2003;2030;1;6;8192;2;0;5;1;;2003;2030;2030;x
Su;60531;U09;2003;2030;2030;2030;3;6;0;2;0;5;0;;2003;2030;2030;x
Bae;60532;U09;2003;2030;2030;2030;3;6;0;2;0;5;2;;2003;2030;2030;x
Choe;60533;U09;2003;2003;2003;2030;1;7;81920;3;0;5;2;;2003;2030;2030;x
Seol;60534;U09;2003;2003;2003;2003;3;7;8;3;0;5;0;;2003;2030;2030;x
Kyung;60535;U09;2003;2003;2003;2030;1;6;0;2;0;5;0;;2003;2030;2030;x
Song-Kwon;60536;U09;2003;2030;2030;2030;3;6;4096;2;0;5;2;;2003;2030;2030;x
Song;60537;U09;2003;2003;2003;2030;2;6;2;2;0;5;0;;2003;2030;2030;x
Kwon;60538;U09;2003;2030;2030;2030;3;6;0;2;0;5;2;;2003;2030;2030;x
Myong;60539;U09;2003;2003;2003;2003;2;7;4096;3;0;5;2;;2003;2030;2030;x
Pahn;60540;U09;2003;2030;2030;2030;3;6;4096;2;0;5;1;;2003;2030;2030;x
Lyuh;60541;U09;2003;2030;2030;2030;3;6;4;2;0;5;0;;2003;2030;2030;x
Byun;60554;U09;2003;2030;2030;2030;3;5;0;1;0;5;0;;2003;2030;2030;x
Sa-Ik;60542;U09;2003;2030;2030;2030;3;5;0;1;0;5;0;;2003;2030;2030;x
Jeong;60543;U09;2003;2003;2030;2030;2;6;32;2;0;5;0;;2003;2030;2030;x
Son;60544;U09;2003;2003;2003;2030;2;7;4;3;0;5;0;;2003;2030;2030;x
Moon;60545;U09;2003;2003;2030;2030;2;7;256;3;0;5;0;;2003;2030;2030;x
Ohm;60546;U09;2003;2003;2003;2030;3;5;0;1;0;5;0;;2003;2030;2030;x
Lim;60547;U09;2003;2030;2030;2030;3;6;4096;2;0;5;1;;2003;2030;2030;x
Min;60548;U09;2003;2003;2030;2030;2;6;0;2;0;5;0;;2003;2030;2030;x
Song;60549;U09;2003;2030;2030;2030;3;6;64;2;0;5;0;;2003;2030;2030;x
Wang;60550;U09;2003;2003;2003;2003;0;6;128;2;0;5;0;;2003;2030;2030;x
Yeong;60551;U09;2003;2003;2003;2003;3;7;4096;3;0;5;2;;2003;2030;2030;x
Ryu;60552;U09;2003;2030;2030;2030;3;6;0;2;0;5;1;;2003;2030;2030;x
Kim-Ryu;60553;U09;2003;2003;2030;2030;2;7;6144;3;0;5;1;;2003;2030;2030;x
